date;humidity_turkey
1/31/2018;82.66994349
2/28/2018;79.75268852
3/31/2018;74.71462466
4/30/2018;61.28965835
5/31/2018;67.38666897
6/30/2018;61.269527
7/31/2018;52.35229878
8/31/2018;50.5110291
9/30/2018;52.94368273
10/31/2018;62.96972356
11/30/2018;76.01901559
12/31/2018;86.51430489
1/31/2019;88.27801452
2/28/2019;81.02532905
3/31/2019;76.09453384
4/30/2019;74.64043889
5/31/2019;64.7327106
6/30/2019;62.77017202
7/31/2019;53.27911362
8/31/2019;51.56884643
9/30/2019;52.46149804
10/31/2019;59.23424929
11/30/2019;60.61286342
12/31/2019;78.859476
1/31/2020;82.65728906
2/29/2020;81.41319748
3/31/2020;74.97598675
4/30/2020;69.45366585
5/31/2020;63.94128446
6/30/2020;58.98742785
7/31/2020;51.22024915
8/31/2020;46.54150076
9/30/2020;48.49522812
10/31/2020;50.55766196
11/30/2020;70.07687324
12/31/2020;78.62711657
1/31/2021;78.67909174
2/28/2021;74.41341401
3/31/2021;72.67123615
4/30/2021;68.4043432
5/31/2021;55.9406781
6/30/2021;56.36995366
7/31/2021;50.53489335
8/31/2021;48.79259743
9/30/2021;55.76476341
10/31/2021;59.50918913
11/30/2021;70.74903635
12/31/2021;79.34521141
1/31/2022;85.17100782
2/28/2022;81.25733531
3/31/2022;78.05635636
4/30/2022;65.8329534
5/31/2022;63.42722351
6/30/2022;61.2245279
7/31/2022;51.73520934
8/31/2022;50.7701832
9/30/2022;49.19533861
10/31/2022;62.36721196
11/30/2022;72.17981736
12/31/2022;79.07773454
1/31/2023;73.04072869
2/28/2023;78.39423465
3/31/2023;76.06598009
4/30/2023;73.45148096
5/31/2023;69.69087055
6/30/2023;67.19995435
7/31/2023;51.79357999
8/31/2023;47.15792168
9/30/2023;52.79791588
10/31/2023;61.56267745
11/30/2023;74.36959908
12/31/2023;81.60075545
1/31/2024;84.16451885
2/29/2024;78.23803017
3/31/2024;73.9443635
4/30/2024;66.12001166
5/31/2024;68.07419307
6/30/2024;51.95317758
7/31/2024;53.74303938
8/31/2024;49.7564474
9/30/2024;59.03215335
10/31/2024;60.57964974
11/30/2024;72.37872841
12/31/2024;82.5467471
1/31/2025;77.61677117
2/28/2025;77.82957153
3/31/2025;67.46873468
4/30/2025;71.61375409
5/31/2025;62.16394451
6/30/2025;50.67577287
7/31/2025;45.69341347
8/31/2025;46.85779489
9/30/2025;52.84830432
10/31/2025;65.4974234
11/30/2025;64.92735786
12/31/2025;79.45882282
