date,precip_spain
2018-01-31,58.31647867948186
2018-02-28,59.17485093215157
2018-03-31,133.32625968983473
2018-04-30,76.7223935190738
2018-05-31,54.02832411865559
2018-06-30,47.29733932040142
2018-07-31,22.470737477477837
2018-08-31,18.71020448014125
2018-09-30,31.23771906950792
2018-10-31,85.28841866058383
2018-11-30,87.69877490076951
2018-12-31,21.715841555189222
2019-01-31,38.413274866643235
2019-02-28,15.507026796304544
2019-03-31,19.387636800124284
2019-04-30,79.59267625518765
2019-05-31,22.73864200721404
2019-06-30,16.030907905510592
2019-07-31,21.199027557374865
2019-08-31,21.89204268784591
2019-09-30,44.78741411048897
2019-10-31,56.056084799615974
2019-11-30,102.89866750909124
2019-12-31,87.56477303862178
2020-01-31,56.42101926411559
2020-02-29,7.3099160884142504
2020-03-31,85.89414015017607
2020-04-30,94.13527059165848
2020-05-31,54.19983906007291
2020-06-30,31.405693369459755
2020-07-31,15.642637935175582
2020-08-31,29.372742707445756
2020-09-30,36.41706432276338
2020-10-31,73.68812489826945
2020-11-30,72.88791986673264
2020-12-31,81.1103205805128
2021-01-31,73.7259495801444
2021-02-28,59.49419640172166
2021-03-31,17.609079816702874
2021-04-30,59.941788954675225
2021-05-31,31.989669254036126
2021-06-30,50.30750391371546
2021-07-31,9.50148077010942
2021-08-31,16.34511218765532
2021-09-30,57.00012556481082
2021-10-31,50.611955349598745
2021-11-30,58.73716659489052
2021-12-31,53.8607846746758
2022-01-31,15.225531493161018
2022-02-28,9.858431107521382
2022-03-31,93.05896488213054
2022-04-30,62.217481424130256
2022-05-31,20.99563228083117
2022-06-30,16.545862735428177
2022-07-31,7.880675982505144
2022-08-31,16.668830945857117
2022-09-30,36.46209237224688
2022-10-31,45.302395326893425
2022-11-30,61.57971378191888
2022-12-31,106.09768284944211
2023-01-31,54.94936600879404
2023-02-28,18.246232465934348
2023-03-31,17.74454993559017
2023-04-30,12.707059624748172
2023-05-31,49.49466466603855
2023-06-30,62.68876854134845
2023-07-31,8.062812839531443
2023-08-31,11.85977378445264
2023-09-30,66.7543455070111
2023-10-31,84.15707762203921
2023-11-30,52.537676586782666
2023-12-31,38.939225326540864
2024-01-31,55.68020248659651
2024-02-29,56.61026325302304
2024-03-31,98.0559034327079
2024-04-30,28.310204024807696
2024-05-31,35.22507862501416
2024-06-30,45.475976308276536
2024-07-31,12.453338091405184
2024-08-31,23.08283427366657
2024-09-30,56.35115909285062
2024-10-31,119.25376738147673
2024-11-30,35.8670592577741
2024-12-31,21.42361914767922
2025-01-31,70.3807579680333
2025-02-28,31.427055279780202
2025-03-31,138.3187742070678
2025-04-30,58.956269731092306
2025-05-31,50.82982358827365
2025-06-30,22.685846723383307
2025-07-31,18.748426630890414
2025-08-31,14.714420782878733
2025-09-30,27.702784268984463
2025-10-31,50.41468775082926
2025-11-30,77.0639035580966
2025-12-31,72.79413563517807
