date;humidity_bolivia
1/31/2018;79.17030552
2/28/2018;79.69033266
3/31/2018;77.51442319
4/30/2018;74.44854454
5/31/2018;69.52118848
6/30/2018;67.40078698
7/31/2018;57.02482888
8/31/2018;55.76777055
9/30/2018;52.06513495
10/31/2018;68.62202373
11/30/2018;73.70662586
12/31/2018;75.78659459
1/31/2019;76.49044366
2/28/2019;78.01812355
3/31/2019;78.98564125
4/30/2019;77.88136824
5/31/2019;72.53803426
6/30/2019;66.20186385
7/31/2019;59.99579742
8/31/2019;46.82618886
9/30/2019;47.24118882
10/31/2019;56.06366389
11/30/2019;66.41977057
12/31/2019;74.72010872
1/31/2020;74.43756715
2/29/2020;79.35779034
3/31/2020;75.23607066
4/30/2020;69.69733232
5/31/2020;64.16808678
6/30/2020;67.16606124
7/31/2020;57.65603517
8/31/2020;53.6137955
9/30/2020;51.21071979
10/31/2020;54.40899527
11/30/2020;54.46317581
12/31/2020;70.23704912
1/31/2021;78.24308665
2/28/2021;77.03399155
3/31/2021;79.43535599
4/30/2021;76.53520948
5/31/2021;68.34173078
6/30/2021;63.70794925
7/31/2021;51.73598387
8/31/2021;46.8405939
9/30/2021;50.24985996
10/31/2021;53.8713508
11/30/2021;69.85725319
12/31/2021;80.12080666
1/31/2022;77.24687099
2/28/2022;78.54979782
3/31/2022;77.37991717
4/30/2022;70.44736546
5/31/2022;63.84775772
6/30/2022;62.70029828
7/31/2022;54.09254314
8/31/2022;49.12264206
9/30/2022;47.4693532
10/31/2022;60.00780612
11/30/2022;52.30002187
12/31/2022;71.90159221
1/31/2023;75.94998676
2/28/2023;79.37249541
3/31/2023;81.68657635
4/30/2023;78.25214056
5/31/2023;73.96693485
6/30/2023;64.02251355
7/31/2023;55.03338778
8/31/2023;46.04326211
9/30/2023;47.56345436
10/31/2023;49.57545126
11/30/2023;55.39719118
12/31/2023;67.85203082
1/31/2024;73.97790947
2/29/2024;75.31499987
3/31/2024;76.26532841
4/30/2024;76.34635366
5/31/2024;64.6207362
6/30/2024;52.33567791
7/31/2024;46.18229727
8/31/2024;42.05756377
9/30/2024;43.29188192
10/31/2024;55.53575002
11/30/2024;70.5557713
12/31/2024;70.83649184
1/31/2025;75.92957413
2/28/2025;76.95384162
3/31/2025;82.08213601
4/30/2025;80.42193191
5/31/2025;74.30115102
6/30/2025;72.7158081
7/31/2025;60.77196686
8/31/2025;51.12596849
9/30/2025;50.67101583
10/31/2025;55.39832865
11/30/2025;60.53047216
12/31/2025;74.29185916
