date;humidity_india
1/31/2018;43.95616523
2/28/2018;41.60173136
3/31/2018;35.29372074
4/30/2018;39.63703345
5/31/2018;43.79695155
6/30/2018;60.19061137
7/31/2018;76.51025934
8/31/2018;80.45919715
9/30/2018;77.46619916
10/31/2018;63.39367952
11/30/2018;56.11812881
12/31/2018;52.3364703
1/31/2019;47.72155802
2/28/2019;46.85166268
3/31/2019;40.92147239
4/30/2019;38.32411454
5/31/2019;40.49381444
6/30/2019;53.59551771
7/31/2019;74.65976859
8/31/2019;81.99212399
9/30/2019;83.43730279
10/31/2019;78.3078388
11/30/2019;76.21027308
12/31/2019;71.92796633
1/31/2020;67.72775364
2/29/2020;53.82621871
3/31/2020;52.32962375
4/30/2020;43.83419325
5/31/2020;46.32525975
6/30/2020;67.67306842
7/31/2020;78.43315632
8/31/2020;83.60019005
9/30/2020;81.06206031
10/31/2020;70.86169861
11/30/2020;66.91678266
12/31/2020;62.81963605
1/31/2021;57.65785216
2/28/2021;43.88065422
3/31/2021;36.29064251
4/30/2021;36.01737582
5/31/2021;52.94470046
6/30/2021;68.24484117
7/31/2021;77.31118314
8/31/2021;80.32132615
9/30/2021;83.49649873
10/31/2021;76.69546391
11/30/2021;71.75590993
12/31/2021;68.46806091
1/31/2022;68.09536166
2/28/2022;54.45415214
3/31/2022;39.80905195
4/30/2022;36.47183238
5/31/2022;47.01638432
6/30/2022;58.91153931
7/31/2022;79.58497175
8/31/2022;83.35478216
9/30/2022;82.84382127
10/31/2022;76.55530166
11/30/2022;69.1890816
12/31/2022;64.07817309
1/31/2023;56.89938783
2/28/2023;41.2103595
3/31/2023;46.43636695
4/30/2023;42.86231656
5/31/2023;48.76732352
6/30/2023;57.79805112
7/31/2023;79.71151055
8/31/2023;80.51473057
9/30/2023;79.91799865
10/31/2023;69.63031884
11/30/2023;66.00383205
12/31/2023;63.68068448
1/31/2024;56.45720751
2/29/2024;48.14897193
3/31/2024;41.56169182
4/30/2024;38.48675915
5/31/2024;43.47450741
6/30/2024;58.86880181
7/31/2024;78.60787673
8/31/2024;84.25799144
9/30/2024;83.26364169
10/31/2024;77.60541781
11/30/2024;69.22051102
12/31/2024;65.35752163
