date,temp_romania
2018-01-31,-1.1626566477424594
2018-02-28,-2.0422903133631043
2018-03-31,1.2083010382900132
2018-04-30,13.300846294792647
2018-05-31,17.07828282300265
2018-06-30,19.650182280909576
2018-07-31,20.175209941934103
2018-08-31,22.443014219814767
2018-09-30,16.85161005156459
2018-10-31,11.844812761031
2018-11-30,3.9370471401856517
2018-12-31,-2.4633919342562014
2019-01-31,-3.926298787863256
2019-02-28,0.15296065644653703
2019-03-31,5.55240533879686
2019-04-30,9.386232310987445
2019-05-31,14.223690635940518
2019-06-30,21.18855529519396
2019-07-31,20.97080248958969
2019-08-31,22.886053900466706
2019-09-30,17.530157276281017
2019-10-31,12.410068792588755
2019-11-30,7.9248226646000814
2019-12-31,1.6583950206562894
2020-01-31,-1.4873998143768523
2020-02-29,1.915976073230166
2020-03-31,5.1496444934645975
2020-04-30,9.143303509444012
2020-05-31,13.257580949732395
2020-06-30,18.714242681399888
2020-07-31,20.82499289692232
2020-08-31,21.87241541513835
2020-09-30,18.360495600776733
2020-10-31,11.710701423456491
2020-11-30,3.6765198304361815
2020-12-31,1.0269683521708561
2021-01-31,-1.477844853766061
2021-02-28,0.6440561357725314
2021-03-31,1.769188743976513
2021-04-30,6.4811574476330245
2021-05-31,13.538181747922266
2021-06-30,19.00397797271523
2021-07-31,23.163614436889475
2021-08-31,21.72252259542787
2021-09-30,15.409159354028962
2021-10-31,8.250969243970461
2021-11-30,5.148107934386112
2021-12-31,-0.35147602871537015
2022-01-31,-2.0871055390200897
2022-02-28,1.0384450237912393
2022-03-31,1.4946819862487164
2022-04-30,8.407974996558943
2022-05-31,15.74981715629923
2022-06-30,21.0962545778659
2022-07-31,23.32603124507518
2022-08-31,22.998764971304485
2022-09-30,15.166070047520568
2022-10-31,11.791190577145901
2022-11-30,6.159044521518676
2022-12-31,1.3283695853787696
2023-01-31,2.220632314236321
2023-02-28,-0.5914658652783513
2023-03-31,5.082783077166709
2023-04-30,7.724451537263812
2023-05-31,14.17362977867612
2023-06-30,18.844151515468646
2023-07-31,22.735853317619686
2023-08-31,23.37913501929581
2023-09-30,19.35748962274307
2023-10-31,13.710556729162812
2023-11-30,5.048735443083172
2023-12-31,1.563329587131683
2024-01-31,-1.0906144822814343
2024-02-29,5.102333815097487
2024-03-31,6.40824943875439
2024-04-30,12.508544454614587
2024-05-31,15.068626314746103
2024-06-30,22.602914900737062
2024-07-31,25.09936020874664
2024-08-31,24.701252075717267
2024-09-30,18.15224775085511
2024-10-31,11.188549353692082
2024-11-30,2.804326012437987
2024-12-31,0.24521293636869504
2025-01-31,1.1816896240274066
2025-02-28,-2.086057634310238
2025-03-31,7.260253433090703
2025-04-30,10.235501032765331
2025-05-31,13.080706005975648
2025-06-30,21.502074634643968
2025-07-31,23.50745843508722
2025-08-31,22.26816271569366
2025-09-30,18.035629508103394
2025-10-31,8.559428640500258
2025-11-30,6.429391005672368
2025-12-31,1.3682490716918947
