date,humidity_france
2018-01-31,90.77882206379036
2018-02-28,86.52531716224051
2018-03-31,85.78464094747848
2018-04-30,81.43516334531553
2018-05-31,81.99862755152988
2018-06-30,80.27119235299429
2018-07-31,71.95610090979199
2018-08-31,69.35632720320962
2018-09-30,67.74528825569219
2018-10-31,76.85757524253057
2018-11-30,86.86793890523889
2018-12-31,90.04121720264699
2019-01-31,89.55038586069487
2019-02-28,82.54206572306005
2019-03-31,77.85146115484685
2019-04-30,77.04378953806348
2019-05-31,77.13732879218493
2019-06-30,71.69328939667339
2019-07-31,62.382690382005755
2019-08-31,64.64214509561856
2019-09-30,65.74199460793524
2019-10-31,80.54733573205222
2019-11-30,88.32797231507317
2019-12-31,89.03812658799735
2020-01-31,88.89078367514071
2020-02-29,84.58754695879684
2020-03-31,81.42657434837281
2020-04-30,77.04951556362788
2020-05-31,77.47987537238677
2020-06-30,78.64414381594601
2020-07-31,67.49668498856474
2020-08-31,65.80777689394182
2020-09-30,68.4638529501248
2020-10-31,83.03662842906802
2020-11-30,85.91610434159126
2020-12-31,91.6305408695243
2021-01-31,91.51217867588932
2021-02-28,87.24210289777093
2021-03-31,81.5199055669206
2021-04-30,76.4957503230641
2021-05-31,79.39911225031166
2021-06-30,78.6945071227988
2021-07-31,77.57881196532595
2021-08-31,73.66406327550735
2021-09-30,76.41967739514179
2021-10-31,80.67283740124694
2021-11-30,88.47210504253377
2021-12-31,90.58272495861243
2022-01-31,86.854324394645
2022-02-28,85.68254056027595
2022-03-31,79.70709294884739
2022-04-30,78.29066988326502
2022-05-31,73.0067711956944
2022-06-30,69.01729488373391
2022-07-31,59.07054898501529
2022-08-31,61.03231063084025
2022-09-30,71.15321431083662
2022-10-31,78.7705990904931
2022-11-30,86.57626011600765
2022-12-31,90.24257786216697
2023-01-31,90.0077378413954
2023-02-28,84.41612811459525
2023-03-31,82.27593557378515
2023-04-30,79.1995416725104
2023-05-31,78.72970419505698
2023-06-30,72.5888234468373
2023-07-31,67.7051973792444
2023-08-31,67.02331096501416
2023-09-30,66.2559873703636
2023-10-31,71.95452231722682
2023-11-30,85.50718297966893
2023-12-31,88.95906436663257
2024-01-31,88.44646365380501
2024-02-29,87.2389886657404
2024-03-31,84.52465854420026
2024-04-30,80.5296781766474
2024-05-31,83.65429589491599
2024-06-30,80.6068987275545
2024-07-31,76.73340785619166
2024-08-31,72.63887372741888
2024-09-30,79.102042027035
2024-10-31,84.84094577235791
2024-11-30,86.66553389211073
2024-12-31,88.50509215969628
2025-01-31,88.96289936964797
2025-02-28,87.52436192792996
2025-03-31,82.79262745429178
2025-04-30,79.25885358391983
2025-05-31,74.98168023333437
2025-06-30,69.05758249087906
2025-07-31,65.26988466874192
2025-08-31,61.818008242717866
2025-09-30,72.47659910070537
2025-10-31,77.24170133645737
2025-11-30,83.11925936247724
2025-12-31,88.2190789436489
