date;temp_honduras
1/31/2018;20.08056393
2/28/2018;21.38866592
3/31/2018;23.51298478
4/30/2018;25.11041731
5/31/2018;25.05136792
6/30/2018;23.14760734
7/31/2018;23.72190929
8/31/2018;23.52114638
9/30/2018;23.6131177
10/31/2018;22.55236768
11/30/2018;22.66652864
12/31/2018;21.60747603
1/31/2019;21.73223476
2/28/2019;23.7917103
3/31/2019;24.41850238
4/30/2019;26.22647064
5/31/2019;25.79427696
6/30/2019;25.48574478
7/31/2019;25.19438814
8/31/2019;25.32177958
9/30/2019;24.82756223
10/31/2019;23.17862402
11/30/2019;22.4997124
12/31/2019;22.39675824
1/31/2020;22.43718682
2/29/2020;23.54841779
3/31/2020;24.66396762
4/30/2020;27.72456296
5/31/2020;25.9289511
6/30/2020;23.66971401
7/31/2020;23.73615081
8/31/2020;23.59516233
9/30/2020;23.79719568
10/31/2020;22.75642713
11/30/2020;22.13777652
12/31/2020;20.39907516
1/31/2021;20.58924434
2/28/2021;21.01856038
3/31/2021;22.06762829
4/30/2021;24.15183598
5/31/2021;25.42244663
6/30/2021;24.43501571
7/31/2021;23.75036252
8/31/2021;23.47772013
9/30/2021;23.41372271
10/31/2021;23.3763933
11/30/2021;21.2471546
12/31/2021;21.34972368
1/31/2022;21.02412713
2/28/2022;21.70912995
3/31/2022;23.82040039
4/30/2022;25.21232659
5/31/2022;24.53021026
6/30/2022;22.73370015
7/31/2022;23.05909208
8/31/2022;23.01540482
9/30/2022;23.0139088
10/31/2022;22.75787803
11/30/2022;22.07909208
12/31/2022;20.56154837
1/31/2023;20.83994925
2/28/2023;21.85670749
3/31/2023;24.16754934
4/30/2023;25.94973495
5/31/2023;26.68668654
6/30/2023;24.91493676
7/31/2023;24.1305599
8/31/2023;24.55436558
9/30/2023;24.81450656
10/31/2023;23.99239587
11/30/2023;22.63563039
12/31/2023;21.85120277
1/31/2024;22.33157496
2/29/2024;22.24093612
3/31/2024;26.4563071
4/30/2024;26.94364779
5/31/2024;28.44372432
6/30/2024;24.84033593
7/31/2024;23.92883831
8/31/2024;24.02024974
9/30/2024;23.98888907
10/31/2024;23.04527511
11/30/2024;22.23782164
12/31/2024;21.21789495
1/31/2025;20.93436558
2/28/2025;21.92988721
3/31/2025;23.4560348
4/30/2025;23.26199791
5/31/2025;25.66209538
6/30/2025;23.62397647
7/31/2025;23.53523564
8/31/2025;24.00289777
9/30/2025;23.83766938
10/31/2025;22.89139048
11/30/2025;21.93530895
12/31/2025;21.80486184
