date;humidity_thailand
1/31/2018;74.84858653
2/28/2018;68.35805315
3/31/2018;65.85237894
4/30/2018;69.67485498
5/31/2018;79.93789461
6/30/2018;84.1892418
7/31/2018;86.80223414
8/31/2018;87.25626253
9/30/2018;86.43855302
10/31/2018;84.94675586
11/30/2018;80.69838638
12/31/2018;75.62314381
1/31/2019;69.34692204
2/28/2019;61.58617727
3/31/2019;58.00494184
4/30/2019;60.70056306
5/31/2019;74.11425694
6/30/2019;81.40460275
7/31/2019;81.05816951
8/31/2019;85.85016646
9/30/2019;85.98646134
10/31/2019;83.1129511
11/30/2019;77.54611989
12/31/2019;68.61948562
1/31/2020;62.34457968
2/29/2020;56.27405221
3/31/2020;57.49931343
4/30/2020;63.76456843
5/31/2020;72.85396365
6/30/2020;84.0003675
7/31/2020;84.56543737
8/31/2020;86.63012671
9/30/2020;87.59911983
10/31/2020;88.39782029
11/30/2020;84.89220745
12/31/2020;79.00778215
1/31/2021;69.21625799
2/28/2021;63.58848548
3/31/2021;61.54157075
4/30/2021;75.03277078
5/31/2021;80.9918035
6/30/2021;84.00066959
7/31/2021;86.01704474
8/31/2021;86.34523333
9/30/2021;87.99952129
10/31/2021;87.9691948
11/30/2021;85.91433397
12/31/2021;80.30550186
1/31/2022;73.31482971
2/28/2022;73.63934176
3/31/2022;72.74042553
4/30/2022;71.66818631
5/31/2022;83.73201922
6/30/2022;85.38553143
7/31/2022;86.69796482
8/31/2022;87.6933372
9/30/2022;88.52485735
10/31/2022;87.04177035
11/30/2022;85.52342662
12/31/2022;80.23697174
1/31/2023;73.14798467
2/28/2023;67.28615315
3/31/2023;62.04642425
4/30/2023;60.7779523
5/31/2023;70.48638412
6/30/2023;80.03226198
7/31/2023;83.51425925
8/31/2023;84.99813337
9/30/2023;87.42096192
10/31/2023;87.07266497
11/30/2023;84.01378534
12/31/2023;77.42479028
1/31/2024;70.0442988
2/29/2024;60.88626575
3/31/2024;60.66700403
4/30/2024;54.44304935
5/31/2024;72.2752161
6/30/2024;81.84788511
7/31/2024;85.78621797
8/31/2024;86.10372826
9/30/2024;86.85428165
10/31/2024;85.51529198
11/30/2024;82.86896695
12/31/2024;75.34904348
1/31/2025;65.51488591
2/28/2025;62.29828384
3/31/2025;60.00237699
4/30/2025;67.21518091
5/31/2025;76.9089032
6/30/2025;83.98703229
7/31/2025;85.28985816
8/31/2025;84.34696652
9/30/2025;86.88784653
10/31/2025;86.34759808
11/30/2025;84.16206158
12/31/2025;78.92024626
