date;temp_bolivia
1/31/2018;21.3481103
2/28/2018;21.18978541
3/31/2018;21.31743415
4/30/2018;21.1472308
5/31/2018;19.20889824
6/30/2018;16.62926276
7/31/2018;18.2745613
8/31/2018;18.31981618
9/30/2018;21.82547429
10/31/2018;22.51948443
11/30/2018;22.12988022
12/31/2018;21.65004246
1/31/2019;22.20186168
2/28/2019;21.69568093
3/31/2019;21.33342956
4/30/2019;20.40120663
5/31/2019;18.65797826
6/30/2019;18.80141408
7/31/2019;18.04055989
8/31/2019;19.77266484
9/30/2019;23.35377564
10/31/2019;23.38223564
11/30/2019;23.38073561
12/31/2019;22.22805881
1/31/2020;22.82052775
2/29/2020;21.89277149
3/31/2020;22.46245554
4/30/2020;20.56238334
5/31/2020;18.38759458
6/30/2020;18.69202942
7/31/2020;18.40430396
8/31/2020;20.20402793
9/30/2020;22.71890427
10/31/2020;24.37007723
11/30/2020;24.12336959
12/31/2020;22.86936163
1/31/2021;21.37944681
2/28/2021;21.6255039
3/31/2021;21.0164411
4/30/2021;19.87511683
5/31/2021;18.80905366
6/30/2021;17.58615347
7/31/2021;18.27590099
8/31/2021;20.68893464
9/30/2021;23.99042442
10/31/2021;23.71982112
11/30/2021;22.20220701
12/31/2021;21.74535171
1/31/2022;22.05255853
2/28/2022;21.45529247
3/31/2022;20.8377086
4/30/2022;20.51428033
5/31/2022;18.2190142
6/30/2022;17.50405125
7/31/2022;20.31266687
8/31/2022;19.20556353
9/30/2022;21.19966339
10/31/2022;21.76138986
11/30/2022;22.55324261
12/31/2022;22.24061202
1/31/2023;21.60691313
2/28/2023;20.9964818
3/31/2023;21.30831716
4/30/2023;20.23502238
5/31/2023;19.65127478
6/30/2023;17.79767613
7/31/2023;19.84124489
8/31/2023;22.18259971
9/30/2023;24.75195796
10/31/2023;26.08885067
11/30/2023;25.67090995
12/31/2023;24.59030747
1/31/2024;23.71937031
2/29/2024;23.1542979
3/31/2024;23.05527933
4/30/2024;22.45094106
5/31/2024;19.6886782
6/30/2024;20.84432628
7/31/2024;18.72552383
8/31/2024;20.64779241
9/30/2024;23.85228121
10/31/2024;24.82875822
11/30/2024;23.2978028
12/31/2024;22.92809791
1/31/2025;22.44701194
2/28/2025;22.44943649
3/31/2025;21.31780126
4/30/2025;19.86163846
5/31/2025;19.27988138
6/30/2025;16.96052704
7/31/2025;17.4856048
8/31/2025;19.45296831
9/30/2025;23.38448464
10/31/2025;22.90472253
11/30/2025;23.30317074
12/31/2025;22.04944204
