date,solar_angola
2018-01-31,175.37867667297184
2018-02-28,155.32648998507
2018-03-31,173.49127907263508
2018-04-30,160.31176079648844
2018-05-31,159.7137775838059
2018-06-30,161.72764683379646
2018-07-31,166.3804169821342
2018-08-31,155.8936805785774
2018-09-30,163.0968368512298
2018-10-31,179.05194528893958
2018-11-30,178.05178364688595
2018-12-31,176.30406534894647
2019-01-31,173.29970007202743
2019-02-28,163.9704384513933
2019-03-31,183.12148983807597
2019-04-30,164.39096437790275
2019-05-31,165.9272353417412
2019-06-30,163.65689146612834
2019-07-31,164.36009018923275
2019-08-31,159.7419167291908
2019-09-30,166.8362424457009
2019-10-31,173.47079544300703
2019-11-30,165.47436283758273
2019-12-31,176.26129390512548
2020-01-31,168.12269967185057
2020-02-29,153.61398603875477
2020-03-31,168.8165205139607
2020-04-30,160.49167266121566
2020-05-31,172.80934123490357
2020-06-30,159.54588645510484
2020-07-31,167.652553984525
2020-08-31,155.91343098955485
2020-09-30,164.24549230333378
2020-10-31,181.4637173290621
2020-11-30,163.96687513535167
2020-12-31,169.46338706959887
2021-01-31,178.251765616835
2021-02-28,162.52140503808442
2021-03-31,166.4068249757022
2021-04-30,164.22160353758983
2021-05-31,168.96468718114974
2021-06-30,156.12629991479312
2021-07-31,166.53994553290266
2021-08-31,158.7853126150433
2021-09-30,165.8034612586371
2021-10-31,175.4334089494779
2021-11-30,168.6144350884134
2021-12-31,175.3999165118482
2022-01-31,174.14975737214877
2022-02-28,153.2135904056701
2022-03-31,167.92375253427517
2022-04-30,157.08574064904835
2022-05-31,171.38868493471207
2022-06-30,157.85488106118396
2022-07-31,156.88898346689624
2022-08-31,161.23341406225987
2022-09-30,159.30413584462912
2022-10-31,164.51898096780985
2022-11-30,164.467895860127
2022-12-31,176.5540999572523
2023-01-31,155.48165939086425
2023-02-28,162.65180678871303
2023-03-31,166.54214187798365
2023-04-30,160.18609672417602
2023-05-31,167.13093405771923
2023-06-30,147.91514008647073
2023-07-31,159.9517795417533
2023-08-31,162.81056546889675
2023-09-30,161.6621143822671
2023-10-31,172.27629818124822
2023-11-30,156.87322988943004
2023-12-31,168.9942245134964
2024-01-31,176.22169215731938
2024-02-29,167.97466497669345
2024-03-31,176.29064977162616
2024-04-30,165.5440076435667
2024-05-31,176.58743346871285
2024-06-30,156.9605705819036
2024-07-31,156.53097401380037
2024-08-31,164.23120150804402
2024-09-30,166.74512066548846
2024-10-31,181.4387213707567
2024-11-30,152.83831532505167
2024-12-31,172.00560671300354
2025-01-31,167.6807503310111
2025-02-28,147.80937609451775
2025-03-31,160.6711065874561
2025-04-30,149.91059870526334
2025-05-31,165.02800928328827
2025-06-30,153.8401855443023
2025-07-31,164.49320670628214
2025-08-31,167.90526641453368
2025-09-30,161.72021940410863
2025-10-31,170.52659096750028
2025-11-30,167.55219432332837
2025-12-31,173.22407811823788
