date,temp_germany
2018-01-31,2.7807133627042466
2018-02-28,-2.3333184353731187
2018-03-31,1.495432625304178
2018-04-30,11.526666530283096
2018-05-31,15.553625895926299
2018-06-30,17.867366142879273
2018-07-31,20.80490604923429
2018-08-31,20.653533811751274
2018-09-30,15.638327074175779
2018-10-31,10.946257273685987
2018-11-30,4.659147338874801
2018-12-31,3.0112761819920686
2019-01-31,0.028319405105155813
2019-02-28,2.73912897979851
2019-03-31,6.07094003102303
2019-04-30,9.096999501163399
2019-05-31,11.167455152589795
2019-06-30,19.97748006869146
2019-07-31,19.661983473462115
2019-08-31,19.895453182273304
2019-09-30,14.578760700500528
2019-10-31,10.680760518946235
2019-11-30,4.73103889938202
2019-12-31,2.9425824250357953
2020-01-31,2.6879300759543807
2020-02-29,4.5699640221581195
2020-03-31,4.52035449301681
2020-04-30,9.601352191757853
2020-05-31,11.782250636088383
2020-06-30,17.08330689502747
2020-07-31,18.209449030986296
2020-08-31,20.53539871227931
2020-09-30,15.39173633371932
2020-10-31,9.921152352345606
2020-11-30,5.773665688440391
2020-12-31,1.7418021085177875
2021-01-31,-0.858723123115382
2021-02-28,0.3712325354090043
2021-03-31,4.23646375598622
2021-04-30,5.637196314539895
2021-05-31,10.425497481139551
2021-06-30,18.953001919730887
2021-07-31,18.735747808477587
2021-08-31,16.807422821953864
2021-09-30,15.601325552317448
2021-10-31,9.598228737549661
2021-11-30,4.436991013763407
2021-12-31,1.5788709021069474
2022-01-31,2.0097703194822247
2022-02-28,3.7276642161673714
2022-03-31,4.382889916624605
2022-04-30,7.403459500319808
2022-05-31,14.334206914343685
2022-06-30,18.729893068958415
2022-07-31,19.878224586732586
2022-08-31,21.24894232719517
2022-09-30,14.086134410805814
2022-10-31,12.581320211806572
2022-11-30,6.025972883035176
2022-12-31,0.9405603742257085
2023-01-31,2.9120119798663078
2023-02-28,2.6542593222207276
2023-03-31,5.120239575270199
2023-04-30,7.308150054169376
2023-05-31,12.839014230599252
2023-06-30,18.5487756340466
2023-07-31,19.278284567503512
2023-08-31,18.824638658805274
2023-09-30,18.007064624132518
2023-10-31,11.89045417553402
2023-11-30,5.191610112325692
2023-12-31,3.0508227580350606
2024-01-31,0.5640535418180016
2024-02-29,5.715593721892334
2024-03-31,6.978663638167125
2024-04-30,9.61942740203617
2024-05-31,14.906086945531177
2024-06-30,16.760223654443948
2024-07-31,19.009393088050658
2024-08-31,20.157934405563342
2024-09-30,15.83704746324651
2024-10-31,10.979927056087957
2024-11-30,4.711376745049656
2024-12-31,2.3625721809140177
2025-01-31,1.0620704251466158
2025-02-28,0.7959058312377952
2025-03-31,5.602396545334685
2025-04-30,10.21236946464366
2025-05-31,12.925639101894147
2025-06-30,18.475764875336445
2025-07-31,19.173755476978094
2025-08-31,18.901230237818165
2025-09-30,15.084317396836411
2025-10-31,9.856225091548644
2025-11-30,4.575773048452752
2025-12-31,2.5113303924475217
