date;precip_china
1/31/2018;20.98298589
2/28/2018;8.949319231
3/31/2018;30.51533149
4/30/2018;43.45308173
5/31/2018;73.5548782
6/30/2018;98.6084131
7/31/2018;132.5249966
8/31/2018;125.3603204
9/30/2018;74.99550169
10/31/2018;29.89633733
11/30/2018;26.98444307
12/31/2018;17.50447708
1/31/2019;14.79748903
2/28/2019;24.02113594
3/31/2019;33.06292657
4/30/2019;49.36793864
5/31/2019;69.76054524
6/30/2019;110.2636318
7/31/2019;129.2497373
8/31/2019;109.1336934
9/30/2019;59.47516341
10/31/2019;39.95588679
11/30/2019;22.18611585
12/31/2019;10.30069188
1/31/2020;23.24403458
2/29/2020;24.77056501
3/31/2020;43.64222055
4/30/2020;39.85906707
5/31/2020;78.72421453
6/30/2020;133.8824323
7/31/2020;138.1909452
8/31/2020;137.0257485
9/30/2020;100.7561047
10/31/2020;41.3779818
11/30/2020;19.34167458
12/31/2020;6.661450391
1/31/2021;6.549907737
2/28/2021;22.71539899
3/31/2021;31.4969399
4/30/2021;46.39559603
5/31/2021;89.69713123
6/30/2021;110.1133888
7/31/2021;138.9077337
8/31/2021;131.4208707
9/30/2021;84.13174427
10/31/2021;46.72462193
11/30/2021;21.86891393
12/31/2021;8.787100953
1/31/2022;16.9364295
2/28/2022;27.49306328
3/31/2022;43.07684229
4/30/2022;50.41143909
5/31/2022;82.82240647
6/30/2022;128.0017319
7/31/2022;110.8936063
8/31/2022;90.6671706
9/30/2022;54.8568235
10/31/2022;36.88536066
11/30/2022;30.65533983
12/31/2022;8.273944515
1/31/2023;11.19922596
2/28/2023;17.1232935
3/31/2023;31.83562976
4/30/2023;50.61953368
5/31/2023;66.16957505
6/30/2023;94.28402535
7/31/2023;128.2962713
8/31/2023;120.3982955
9/30/2023;73.79918741
10/31/2023;37.42137278
11/30/2023;23.28363856
12/31/2023;12.72057495
1/31/2024;19.39337324
2/29/2024;25.83967369
3/31/2024;26.6069887
4/30/2024;75.50270626
5/31/2024;81.11793386
6/30/2024;132.7231854
7/31/2024;157.1204391
8/31/2024;105.3207449
9/30/2024;83.88732064
10/31/2024;39.83620895
11/30/2024;22.69565117
12/31/2024;5.03135719
1/31/2025;9.461910197
2/28/2025;11.53612674
3/31/2025;31.39280125
4/30/2025;44.10194157
5/31/2025;84.67962483
6/30/2025;120.3313272
7/31/2025;120.4519425
8/31/2025;124.2307472
9/30/2025;94.03407125
10/31/2025;56.54998664
11/30/2025;21.49716858
12/31/2025;9.387740903
