date,precip_romania
2018-01-31,39.71141514015879
2018-02-28,60.477951681532865
2018-03-31,81.50748678111418
2018-04-30,25.752935936604718
2018-05-31,61.99541645350101
2018-06-30,162.17284095726552
2018-07-31,121.02684465742261
2018-08-31,34.42385933519523
2018-09-30,29.16132682699621
2018-10-31,22.116428764722233
2018-11-30,43.62243822816606
2018-12-31,64.00279874969124
2019-01-31,63.42899643719297
2019-02-28,20.875992623232808
2019-03-31,23.519593629208554
2019-04-30,61.67284931407844
2019-05-31,127.14068111178004
2019-06-30,107.38133053112573
2019-07-31,54.38437362024277
2019-08-31,42.500671453050664
2019-09-30,29.075726577785478
2019-10-31,32.34835310165805
2019-11-30,57.154240969491624
2019-12-31,32.058173641734996
2020-01-31,11.84100270471547
2020-02-29,54.654194446798286
2020-03-31,50.75963346305301
2020-04-30,22.179862670156883
2020-05-31,92.19454405447557
2020-06-30,157.65728634983395
2020-07-31,93.21251176811002
2020-08-31,52.35717338046903
2020-09-30,66.45837867374568
2020-10-31,85.638619247804
2020-11-30,19.735615760850344
2020-12-31,72.10022842637288
2021-01-31,74.71349622233122
2021-02-28,38.00773021307663
2021-03-31,56.23476642847837
2021-04-30,57.14734681364138
2021-05-31,91.12408406430951
2021-06-30,89.63366237944552
2021-07-31,73.91932828338884
2021-08-31,59.93336363850058
2021-09-30,30.570172773564238
2021-10-31,31.716424814539153
2021-11-30,37.98310953963748
2021-12-31,88.96350933281259
2022-01-31,27.87306800825631
2022-02-28,20.823076370379923
2022-03-31,15.447528914214264
2022-04-30,74.5512373374928
2022-05-31,52.02544632857858
2022-06-30,37.04574523903398
2022-07-31,53.62357325511345
2022-08-31,79.85630678260324
2022-09-30,105.19492527410647
2022-10-31,21.146177637967984
2022-11-30,63.47104430044865
2022-12-31,49.349377736219466
2023-01-31,75.19223814566732
2023-02-28,48.4528344067104
2023-03-31,33.23831886523818
2023-04-30,79.41487898118942
2023-05-31,54.53702363348845
2023-06-30,99.92665766471491
2023-07-31,80.22690773602459
2023-08-31,52.321553843996384
2023-09-30,38.33931421610367
2023-10-31,25.504971080248737
2023-11-30,99.64510854223016
2023-12-31,42.65828186288518
2024-01-31,43.14823482140353
2024-02-29,25.252869472505186
2024-03-31,43.747811898711504
2024-04-30,55.59198936085651
2024-05-31,61.179014964914195
2024-06-30,69.65243843079365
2024-07-31,61.7124932864558
2024-08-31,30.687676012718967
2024-09-30,84.13376678501609
2024-10-31,27.211348890631097
2024-11-30,48.025470317976286
2024-12-31,52.152631764509316
2025-01-31,17.288915875911915
2025-02-28,12.026924448996514
2025-03-31,58.544507567622986
2025-04-30,35.40994457801492
2025-05-31,123.52241935516102
2025-06-30,16.945319754678167
2025-07-31,85.65971874112617
2025-08-31,35.704491201043155
2025-09-30,41.874771098600014
2025-10-31,95.21292843234265
2025-11-30,82.38179925830525
2025-12-31,14.30644300356401
