date,temp_sweden
2018-01-31,-7.874757033591556
2018-02-28,-10.104226024770202
2018-03-31,-7.429664556329847
2018-04-30,1.125554529635311
2018-05-31,11.22870006011732
2018-06-30,12.03316099334502
2018-07-31,18.571993903853873
2018-08-31,13.809538248445886
2018-09-30,9.523536573067963
2018-10-31,3.4703094995282178
2018-11-30,-0.25430461669789967
2018-12-31,-5.482074262971126
2019-01-31,-8.528711231879388
2019-02-28,-5.147297647962846
2019-03-31,-3.507507851605272
2019-04-30,3.377513465684634
2019-05-31,6.607728447574832
2019-06-30,13.346635977625667
2019-07-31,14.816518866704238
2019-08-31,14.259649692146258
2019-09-30,8.422514919585755
2019-10-31,1.2397644178795535
2019-11-30,-3.999581031403627
2019-12-31,-3.7110665968862055
2020-01-31,-2.0784266309704402
2020-02-29,-3.784722140028566
2020-03-31,-2.327380020909095
2020-04-30,1.25253469372152
2020-05-31,5.02707037144172
2020-06-30,15.163731576867773
2020-07-31,12.850154370798519
2020-08-31,14.364988897476108
2020-09-30,9.392388590283804
2020-10-31,4.1669647478064356
2020-11-30,1.3290935821728371
2020-12-31,-3.1673125220000578
2021-01-31,-10.133091768173271
2021-02-28,-8.314708699520477
2021-03-31,-2.1291461998450267
2021-04-30,0.5953329259815298
2021-05-31,6.184439887696295
2021-06-30,14.382918498388193
2021-07-31,17.059373327912926
2021-08-31,12.578753785091424
2021-09-30,8.50339241429836
2021-10-31,4.278586622341424
2021-11-30,-2.4087331025471315
2021-12-31,-8.087279234556059
2022-01-31,-5.568470680292095
2022-02-28,-5.847345279234326
2022-03-31,-1.4984866280083857
2022-04-30,0.9428517457303313
2022-05-31,7.256257601453508
2022-06-30,13.861090647190988
2022-07-31,14.574452465092417
2022-08-31,14.691117627035718
2022-09-30,8.677719733779751
2022-10-31,5.033749404104772
2022-11-30,-0.329914214068698
2022-12-31,-8.034248499963395
2023-01-31,-5.20855824922574
2023-02-28,-4.388346730453223
2023-03-31,-5.606649781593162
2023-04-30,1.149580703420972
2023-05-31,7.817689911657442
2023-06-30,14.348328435417573
2023-07-31,14.552892357579502
2023-08-31,14.276935552525782
2023-09-30,11.235578006361493
2023-10-31,0.9103904468493025
2023-11-30,-6.148992971681425
2023-12-31,-8.841195531759602
2024-01-31,-9.245647049457794
2024-02-29,-6.1495488016191695
2024-03-31,-2.311370484309963
2024-04-30,-0.3080897273208218
2024-05-31,10.587217506839293
2024-06-30,13.26322762685768
2024-07-31,15.20059001236894
2024-08-31,14.664611862511933
2024-09-30,10.542911199008469
2024-10-31,4.5979861510959115
2024-11-30,-0.6711064911637057
2024-12-31,-4.299281429242646
2025-01-31,-5.877659846504753
2025-02-28,-4.974846574244159
2025-03-31,-0.8419077924794531
2025-04-30,3.3848734829556846
2025-05-31,6.723047369107798
2025-06-30,11.753363095449448
2025-07-31,17.63073302661341
2025-08-31,13.253286588990909
2025-09-30,11.338951302883704
2025-10-31,4.587217590809873
2025-11-30,-2.1506880334829095
2025-12-31,-2.6339587187809053
