date,solar_serbia
2018-01-31,45.623831602559555
2018-02-28,48.70824882037607
2018-03-31,84.1626884644833
2018-04-30,156.75540534607296
2018-05-31,194.54976579225962
2018-06-30,162.2216589967881
2018-07-31,174.344663002621
2018-08-31,179.09627247596634
2018-09-30,137.66222712205476
2018-10-31,94.84374971807578
2018-11-30,50.0602063000642
2018-12-31,33.23309340972852
2019-01-31,33.95964426073074
2019-02-28,67.56728379933563
2019-03-31,122.93673432971855
2019-04-30,136.0317885571422
2019-05-31,138.05678555189493
2019-06-30,199.19816510666632
2019-07-31,197.43803520615202
2019-08-31,189.2079580323776
2019-09-30,128.25489740124038
2019-10-31,102.43003858571133
2019-11-30,44.6665508079302
2019-12-31,36.01192788601638
2020-01-31,50.72616482963077
2020-02-29,68.18168107138672
2020-03-31,102.42823305061229
2020-04-30,170.61253270266835
2020-05-31,154.55148142889215
2020-06-30,167.7532642994524
2020-07-31,198.19555004521277
2020-08-31,176.58090575213095
2020-09-30,137.50506749403394
2020-10-31,81.7630192364544
2020-11-30,43.46351411025352
2020-12-31,32.2772119091353
2021-01-31,40.752527370817056
2021-02-28,69.51349929032695
2021-03-31,106.75164840628602
2021-04-30,131.18428143988822
2021-05-31,179.9319858020016
2021-06-30,204.37904879027255
2021-07-31,199.9032120361759
2021-08-31,176.04863616313068
2021-09-30,128.50601702824093
2021-10-31,81.65418193193754
2021-11-30,48.07500208033331
2021-12-31,29.668667231011888
2022-01-31,48.536164588057474
2022-02-28,67.40734618969267
2022-03-31,121.81764857156226
2022-04-30,139.55419242198298
2022-05-31,195.40558742088135
2022-06-30,206.73084479687995
2022-07-31,212.51431259823582
2022-08-31,160.6129323994566
2022-09-30,109.15393236281277
2022-10-31,97.41575758222463
2022-11-30,44.00734592899065
2022-12-31,37.49865468565094
2023-01-31,36.932642317817425
2023-02-28,68.0157186831456
2023-03-31,106.6038629496223
2023-04-30,117.07039327741751
2023-05-31,147.91245427071044
2023-06-30,164.20971019121484
2023-07-31,214.64880679781572
2023-08-31,177.85775963232322
2023-09-30,135.94598959365558
2023-10-31,94.21167376974152
2023-11-30,45.81742594546772
2023-12-31,41.358472534575
2024-01-31,46.42309916302548
2024-02-29,68.85068600133938
2024-03-31,107.59196802816561
2024-04-30,157.23497062176153
2024-05-31,170.57674591091177
2024-06-30,199.02985684944537
2024-07-31,215.98947801012065
2024-08-31,182.7662440778693
2024-09-30,116.60814845853449
2024-10-31,95.13175839026907
2024-11-30,52.96468797457779
2024-12-31,33.362984588347636
2025-01-31,46.28086806559863
2025-02-28,70.1158645250371
2025-03-31,98.88977626403792
2025-04-30,139.37092206060174
2025-05-31,171.61541073798944
2025-06-30,229.87578925132038
2025-07-31,194.08599662379737
2025-08-31,181.13673731720607
2025-09-30,129.61154563388297
2025-10-31,73.43136010779769
2025-11-30,43.98290480596011
2025-12-31,40.72612929971989
