date;precip_ghana
1/31/2018;2.060285259
2/28/2018;59.54235491
3/31/2018;77.90344423
4/30/2018;89.29896608
5/31/2018;155.8777467
6/30/2018;191.4169322
7/31/2018;220.1323503
8/31/2018;170.0133082
9/30/2018;239.1501876
10/31/2018;124.8084017
11/30/2018;37.8767779
12/31/2018;5.002956112
1/31/2019;9.685836108
2/28/2019;29.61175773
3/31/2019;72.33874086
4/30/2019;126.832222
5/31/2019;165.0754451
6/30/2019;178.2885289
7/31/2019;192.2892405
8/31/2019;135.4007852
9/30/2019;211.8236318
10/31/2019;295.6463528
11/30/2019;38.26100196
12/31/2019;13.31805792
1/31/2020;1.886617731
2/29/2020;18.80421742
3/31/2020;96.77666081
4/30/2020;111.7471897
5/31/2020;192.1984138
6/30/2020;221.5244192
7/31/2020;171.8336907
8/31/2020;95.65479374
9/30/2020;208.4269377
10/31/2020;215.9798478
11/30/2020;52.68902631
12/31/2020;26.45589412
1/31/2021;26.48317744
2/28/2021;30.03653474
3/31/2021;112.0739426
4/30/2021;82.03640743
5/31/2021;117.8537396
6/30/2021;152.7604999
7/31/2021;201.4453911
8/31/2021;228.839491
9/30/2021;242.1489022
10/31/2021;185.5394725
11/30/2021;70.77940657
12/31/2021;10.32685968
1/31/2022;27.31012525
2/28/2022;22.64140723
3/31/2022;82.283695
4/30/2022;150.1804073
5/31/2022;200.2689159
6/30/2022;240.291907
7/31/2022;168.9715399
8/31/2022;262.7723502
9/30/2022;295.0435494
10/31/2022;167.529915
11/30/2022;49.54402599
12/31/2022;14.73468866
1/31/2023;8.168298148
2/28/2023;15.62747943
3/31/2023;141.1555044
4/30/2023;111.5357681
5/31/2023;149.1943349
6/30/2023;239.0823331
7/31/2023;244.4071665
8/31/2023;177.069518
9/30/2023;239.4104646
10/31/2023;190.7382108
11/30/2023;98.47055363
12/31/2023;7.870258322
1/31/2024;16.65046834
2/29/2024;16.89841279
3/31/2024;112.2798827
4/30/2024;83.04673297
5/31/2024;142.9448342
6/30/2024;208.0416492
7/31/2024;144.6098012
8/31/2024;149.7296672
9/30/2024;166.0509822
10/31/2024;267.7278292
11/30/2024;23.81660137
12/31/2024;4.520127716
1/31/2025;14.53941509
2/28/2025;31.92892743
3/31/2025;102.0325789
4/30/2025;93.01120006
5/31/2025;194.6095912
6/30/2025;225.8354689
7/31/2025;129.8960713
8/31/2025;113.7841035
9/30/2025;217.0818477
10/31/2025;169.6066537
11/30/2025;67.62414243
12/31/2025;43.89409688
