date,solar_sweden
2018-01-31,5.994469451559069
2018-02-28,21.184677710067607
2018-03-31,70.04393079125234
2018-04-30,118.47633356226734
2018-05-31,179.4549727649714
2018-06-30,171.77433691635903
2018-07-31,181.87728303554556
2018-08-31,113.96793684532028
2018-09-30,72.99269258833883
2018-10-31,35.91375771199215
2018-11-30,8.900737543374404
2018-12-31,3.348548012392452
2019-01-31,6.921002118727104
2019-02-28,22.39663824904915
2019-03-31,65.75579171710586
2019-04-30,131.31137191600544
2019-05-31,141.35869153864408
2019-06-30,160.95761882606047
2019-07-31,160.18849743099238
2019-08-31,112.49738579286092
2019-09-30,68.52648365510493
2019-10-31,30.031343229377573
2019-11-30,8.164515969389448
2019-12-31,3.3862910978307776
2020-01-31,6.101292065532856
2020-02-29,23.78587888623827
2020-03-31,67.2068793975719
2020-04-30,120.97881200692609
2020-05-31,166.73620132944643
2020-06-30,186.20400140910266
2020-07-31,139.86398360539215
2020-08-31,131.51286764365355
2020-09-30,70.14103415037903
2020-10-31,26.08652303249095
2020-11-30,8.765838377514878
2020-12-31,2.819667196896242
2021-01-31,6.927749217741837
2021-02-28,22.96412410388556
2021-03-31,65.58501810632225
2021-04-30,125.14804119166223
2021-05-31,144.5174908261215
2021-06-30,170.64224439685887
2021-07-31,167.9567684825167
2021-08-31,117.00476389510403
2021-09-30,65.75026536203823
2021-10-31,27.477463767588763
2021-11-30,9.063762913508976
2021-12-31,3.924086578341857
2022-01-31,7.726688507192711
2022-02-28,24.17162108498978
2022-03-31,75.93904852401835
2022-04-30,122.059853799699
2022-05-31,154.56514197509185
2022-06-30,168.75335345082263
2022-07-31,151.9056963111884
2022-08-31,123.097460356631
2022-09-30,68.20074253177081
2022-10-31,33.420927780282256
2022-11-30,8.594355125451665
2022-12-31,3.7107902746260018
2023-01-31,6.94129906222917
2023-02-28,23.775105581853683
2023-03-31,69.00787242053092
2023-04-30,119.93809528341879
2023-05-31,176.63175478353972
2023-06-30,185.33228028548388
2023-07-31,147.4054020804133
2023-08-31,101.65317280355191
2023-09-30,67.4032293816255
2023-10-31,34.01445139563594
2023-11-30,8.418715849993605
2023-12-31,3.5893042741249968
2024-01-31,7.290504713573689
2024-02-29,21.26570837104494
2024-03-31,59.42362346652959
2024-04-30,110.6749822664384
2024-05-31,179.25749621894082
2024-06-30,166.17428478500366
2024-07-31,141.8842907740025
2024-08-31,114.98284037448842
2024-09-30,76.28266878453233
2024-10-31,32.29939006223586
2024-11-30,10.746868769977462
2024-12-31,3.94065462363101
2025-01-31,6.780172807288647
2025-02-28,22.97950389714686
2025-03-31,70.32628621969118
2025-04-30,115.88785888981788
2025-05-31,149.3467269959441
2025-06-30,152.62454513724205
2025-07-31,171.16197006121845
2025-08-31,120.61214501963502
2025-09-30,66.20884950791051
2025-10-31,31.19821038526973
2025-11-30,9.377501705414543
2025-12-31,3.827090685203575
