date;precip_turkey
1/31/2018;82.79589533
2/28/2018;60.46290676
3/31/2018;64.59842276
4/30/2018;16.94871828
5/31/2018;71.31112329
6/30/2018;49.72908387
7/31/2018;22.18623176
8/31/2018;11.35303943
9/30/2018;31.02544955
10/31/2018;53.92306029
11/30/2018;63.78418753
12/31/2018;119.1606278
1/31/2019;111.4390244
2/28/2019;53.29064413
3/31/2019;51.51190743
4/30/2019;61.69773737
5/31/2019;36.18840449
6/30/2019;46.92070686
7/31/2019;25.36159674
8/31/2019;20.57847128
9/30/2019;19.19339276
10/31/2019;31.52304226
11/30/2019;34.85048803
12/31/2019;96.73174651
1/31/2020;68.61289622
2/29/2020;74.04814668
3/31/2020;57.60690851
4/30/2020;46.13207283
5/31/2020;59.84570336
6/30/2020;43.37822165
7/31/2020;12.33265251
8/31/2020;10.18122443
9/30/2020;11.20856683
10/31/2020;27.33544331
11/30/2020;42.57472095
12/31/2020;52.81681715
1/31/2021;95.78623325
2/28/2021;37.81987657
3/31/2021;73.95203585
4/30/2021;31.16971468
5/31/2021;24.22708752
6/30/2021;37.97762136
7/31/2021;18.68592641
8/31/2021;19.85488482
9/30/2021;35.74373371
10/31/2021;35.64038466
11/30/2021;46.56011463
12/31/2021;82.74262515
1/31/2022;93.95097515
2/28/2022;61.94118742
3/31/2022;70.63249562
4/30/2022;27.03798057
5/31/2022;39.80797063
6/30/2022;55.1114587
7/31/2022;12.48924779
8/31/2022;16.99005254
9/30/2022;25.76177899
10/31/2022;32.59087228
11/30/2022;47.61123955
12/31/2022;40.615262
1/31/2023;40.9205452
2/28/2023;44.93006511
3/31/2023;91.62316984
4/30/2023;77.62504349
5/31/2023;67.22753772
6/30/2023;57.62076911
7/31/2023;22.96220491
8/31/2023;7.520554478
9/30/2023;20.68551803
10/31/2023;36.44175662
11/30/2023;107.4047017
12/31/2023;69.98972418
1/31/2024;87.96127585
2/29/2024;33.07019386
3/31/2024;65.68691079
4/30/2024;26.717067
5/31/2024;62.50952079
6/30/2024;13.3712921
7/31/2024;35.39458679
8/31/2024;13.09206631
9/30/2024;41.82675375
10/31/2024;31.86198178
11/30/2024;60.58163766
12/31/2024;86.79385911
1/31/2025;37.16749
2/28/2025;51.03046543
3/31/2025;37.52739922
4/30/2025;69.18104588
5/31/2025;44.80054004
6/30/2025;12.48151168
7/31/2025;9.004155594
8/31/2025;7.84122809
9/30/2025;29.24545904
10/31/2025;58.94036011
11/30/2025;37.39572381
12/31/2025;77.55167338
