date,temp_spain
2018-01-31,5.640210034634092
2018-02-28,4.147330410572487
2018-03-31,7.086234378082109
2018-04-30,11.25800270073478
2018-05-31,14.46865714768695
2018-06-30,19.404896608668807
2018-07-31,22.992385023567163
2018-08-31,24.339818690932695
2018-09-30,21.366209478242155
2018-10-31,13.922342612947286
2018-11-30,8.812583622261702
2018-12-31,7.455105093914463
2019-01-31,4.561414174138713
2019-02-28,7.393342869523169
2019-03-31,9.699844643419205
2019-04-30,10.70278333762002
2019-05-31,15.878663644638838
2019-06-30,20.261127999378846
2019-07-31,24.43477768151628
2019-08-31,23.884044595232467
2019-09-30,19.505205891884305
2019-10-31,15.255636704208422
2019-11-30,8.297324042020369
2019-12-31,7.739974726856521
2020-01-31,5.77626328239272
2020-02-29,9.310805011469595
2020-03-31,9.320242586662685
2020-04-30,11.987566190872258
2020-05-31,17.278225639645562
2020-06-30,19.350525653528457
2020-07-31,24.899751753787832
2020-08-31,23.68873960760398
2020-09-30,19.31810441094521
2020-10-31,12.906034439856597
2020-11-30,10.524128242483036
2020-12-31,5.879905587718687
2021-01-31,3.981307556721593
2021-02-28,8.077151658176499
2021-03-31,8.803326374368618
2021-04-30,11.304812175837016
2021-05-31,15.458867566263264
2021-06-30,20.07494433477775
2021-07-31,23.294501497978022
2021-08-31,23.881560587442753
2021-09-30,19.459319313980057
2021-10-31,14.949566325917212
2021-11-30,7.302320843067437
2021-12-31,7.657445202762679
2022-01-31,5.295757962273679
2022-02-28,7.932082770142617
2022-03-31,8.523229210060375
2022-04-30,10.721125172266301
2022-05-31,18.142906532027922
2022-06-30,22.43063232567544
2022-07-31,26.47944375556549
2022-08-31,25.487772803731364
2022-09-30,19.94154516922049
2022-10-31,17.388068986559986
2022-11-30,10.755438283133683
2022-12-31,8.58787208270364
2023-01-31,4.8330189787506495
2023-02-28,5.489449459722181
2023-03-31,10.717238834664103
2023-04-30,14.595845044354917
2023-05-31,16.08940294268028
2023-06-30,21.38173374753064
2023-07-31,25.154759241932304
2023-08-31,25.287361408497098
2023-09-30,20.06906836961553
2023-10-31,17.123573581004237
2023-11-30,10.75887534492962
2023-12-31,6.7554586016213785
2024-01-31,7.468478754545819
2024-02-29,8.671247215828796
2024-03-31,9.736754180744608
2024-04-30,12.564078980455715
2024-05-31,15.69761679644986
2024-06-30,20.18974932594746
2024-07-31,25.04945428892088
2024-08-31,25.55906668724488
2024-09-30,18.526844811330665
2024-10-31,15.183625536743294
2024-11-30,11.513191880201198
2024-12-31,6.511661195296254
2025-01-31,6.327720258679186
2025-02-28,7.747630033523993
2025-03-31,8.147609961967412
2025-04-30,12.45641002267968
2025-05-31,15.951337688224365
2025-06-30,23.744253351393663
2025-07-31,24.416452880205703
2025-08-31,25.657047312615973
2025-09-30,19.943880646379174
2025-10-31,16.335482894599984
2025-11-30,8.9614046542629
2025-12-31,6.217863651908597
