date,solar_france
2018-01-31,44.83273150594459
2018-02-28,66.03879438026297
2018-03-31,94.81690547626624
2018-04-30,134.00216991702024
2018-05-31,162.12162119870518
2018-06-30,178.9975363652295
2018-07-31,195.20698621904367
2018-08-31,168.27880848908399
2018-09-30,138.6724127385701
2018-10-31,95.19524700632653
2018-11-30,54.25469897477367
2018-12-31,41.07853092344775
2019-01-31,47.78986551018218
2019-02-28,78.46160737232418
2019-03-31,116.967036900947
2019-04-30,137.45221855022334
2019-05-31,162.80536928351552
2019-06-30,182.82452783223948
2019-07-31,197.54528536235043
2019-08-31,166.4109933416022
2019-09-30,130.3982440632075
2019-10-31,82.16618962416143
2019-11-30,52.99365785064635
2019-12-31,43.61131646789336
2020-01-31,52.02351467399763
2020-02-29,68.76953280707137
2020-03-31,112.5308726496135
2020-04-30,150.21939905581286
2020-05-31,185.1448818193687
2020-06-30,169.656365586785
2020-07-31,195.55276612412158
2020-08-31,164.37115949035376
2020-09-30,129.90632384280386
2020-10-31,79.61677615469007
2020-11-30,60.45986668586291
2020-12-31,41.429451923765825
2021-01-31,45.96000030373717
2021-02-28,65.76657669489573
2021-03-31,116.55464552736409
2021-04-30,148.43984541180438
2021-05-31,161.3478305099172
2021-06-30,169.74044544983107
2021-07-31,165.67206081788476
2021-08-31,154.94665518639258
2021-09-30,127.08320939206573
2021-10-31,96.75749458835095
2021-11-30,54.318730911646014
2021-12-31,41.6570528877157
2022-01-31,52.843691832742756
2022-02-28,68.99415782051045
2022-03-31,108.80067141101719
2022-04-30,136.74398451833744
2022-05-31,180.7681352485277
2022-06-30,181.5762438244807
2022-07-31,210.77345264372642
2022-08-31,174.91763604265248
2022-09-30,125.8802682714357
2022-10-31,89.58010382590203
2022-11-30,55.7608868719454
2022-12-31,41.75476041649496
2023-01-31,44.810416799905774
2023-02-28,70.60583062209251
2023-03-31,103.40844833541787
2023-04-30,132.32933755480087
2023-05-31,168.7786061273058
2023-06-30,185.4495839230342
2023-07-31,180.2906941103574
2023-08-31,161.27894687130276
2023-09-30,136.49990914401604
2023-10-31,94.85562583387822
2023-11-30,55.20994619963521
2023-12-31,44.49261416591153
2024-01-31,52.05413698829292
2024-02-29,63.62575525686585
2024-03-31,103.3929381994127
2024-04-30,131.41224185082288
2024-05-31,149.19455636201113
2024-06-30,166.15582373498168
2024-07-31,177.5033690828747
2024-08-31,170.5481028997287
2024-09-30,111.72394853350829
2024-10-31,83.68606235594166
2024-11-30,55.556151264603734
2024-12-31,42.923909403115566
2025-01-31,49.732152597087456
2025-02-28,65.78622313629658
2025-03-31,110.21025536728358
2025-04-30,145.09930981696036
2025-05-31,173.25415536165238
2025-06-30,188.98911238602352
2025-07-31,181.86325003239142
2025-08-31,167.82550305883808
2025-09-30,119.6561759138553
2025-10-31,91.2723973396076
2025-11-30,56.991059653082395
2025-12-31,34.30429416284209
