date,value
2019-01-31,6214.11
2019-02-28,3871.78
2019-03-31,2913.02
2019-04-30,4385.64
2019-05-31,6968.4800000000005
2019-06-30,10523.179999999998
2019-07-31,11836.599999999999
2019-08-31,13012.359999999999
2019-09-30,17072.609999999997
2019-10-31,15083.169999999998
2019-11-30,9764.499999999998
2019-12-31,5477.889999999999
2020-01-31,6268.47
2020-02-29,6042.639999999999
2020-03-31,5704.08
2020-04-30,4665.21
2020-05-31,8422.89
2020-06-30,16399.35
2020-07-31,13497.179999999998
2020-08-31,18623.969999999998
2020-09-30,17162.889999999996
2020-10-31,12159.369999999999
2020-11-30,8439.5
2020-12-31,6554.18
2021-01-31,5557.089999999999
2021-02-28,3038.28
2021-03-31,3904.3399999999997
2021-04-30,4486.08
2021-05-31,9769.96
2021-06-30,16017.22
2021-07-31,14791.459999999997
2021-08-31,18914.879999999997
2021-09-30,14924.64
2021-10-31,10145.63
2021-11-30,5280.24
2021-12-31,4611.74
2022-01-31,4839.5
2022-02-28,4066.6400000000003
2022-03-31,3748.2400000000002
2022-04-30,3891.3799999999997
2022-05-31,6800.069999999999
2022-06-30,13186.22
2022-07-31,12890.619999999997
2022-08-31,17662.01
2022-09-30,19181.879999999997
2022-10-31,9088.829999999998
2022-11-30,7802.45
2022-12-31,6085.65
2023-01-31,4905.599999999999
2023-02-28,3359.01
2023-03-31,3839.5800000000004
2023-04-30,4740.63
2023-05-31,6249.86
2023-06-30,7407.469999999999
2023-07-31,10232.299999999997
2023-08-31,12350.249999999998
2023-09-30,9310.969999999998
2023-10-31,13185.439999999997
2023-11-30,8409.199999999999
2023-12-31,7389.97
2024-01-31,6991.55
2024-02-29,4532.91
2024-03-31,4588.03
2024-04-30,3515.32
2024-05-31,5201.790000000001
2024-06-30,12738.47
2024-07-31,13672.96
2024-08-31,12721.349999999997
2024-09-30,16836.87
2024-10-31,10123.16
2024-11-30,7346.9
2024-12-31,5110.19
2025-01-31,5259.98
2025-02-28,3524.4799999999996
2025-03-31,3709.01
2025-04-30,3594.9
2025-05-31,7635.61
2025-06-30,15444.069999999998
2025-07-31,11319.220000000001
2025-08-31,13328.419999999998
2025-09-30,17623.55
2025-10-31,12145.049999999997
2025-11-30,5557.030000000001
2025-12-31,7426.61
2026-01-31,6236.62
2026-02-28,-501670.20999999996
2026-03-31,-251748.0
