date,solar_czechia
2018-01-31,23.666393324927185
2018-02-28,49.69171319611822
2018-03-31,76.20390934217744
2018-04-30,146.34755410309145
2018-05-31,175.90377056403418
2018-06-30,152.3384743589895
2018-07-31,173.56072538388148
2018-08-31,152.56213218025525
2018-09-30,109.8038382060097
2018-10-31,70.98559800032326
2018-11-30,32.057288461768096
2018-12-31,18.39102661553461
2019-01-31,26.652303521622773
2019-02-28,55.88691278685097
2019-03-31,85.63437853933009
2019-04-30,136.339882820031
2019-05-31,131.2961761618232
2019-06-30,197.93631692283992
2019-07-31,165.67528453026702
2019-08-31,139.8241548127968
2019-09-30,102.17727897496842
2019-10-31,68.41633787228457
2019-11-30,26.705813846355927
2019-12-31,23.21820804299702
2020-01-31,28.643243812228462
2020-02-29,44.89405305189847
2020-03-31,99.05936227399152
2020-04-30,160.27485077005022
2020-05-31,153.7950933247534
2020-06-30,140.50351769207444
2020-07-31,170.32270702618996
2020-08-31,143.89322249661805
2020-09-30,105.95043410264073
2020-10-31,52.383414222588364
2020-11-30,29.80233512834843
2020-12-31,20.813472863313596
2021-01-31,24.801239205402386
2021-02-28,47.44507217136469
2021-03-31,86.40109835935992
2021-04-30,117.62294102630644
2021-05-31,140.09564009403178
2021-06-30,185.42369256564166
2021-07-31,162.09664585602144
2021-08-31,125.44485382975333
2021-09-30,105.33229077007714
2021-10-31,75.58857868438963
2021-11-30,26.85857128240456
2021-12-31,19.809630333557525
2022-01-31,26.473015419261333
2022-02-28,50.55991685518933
2022-03-31,110.62740467556985
2022-04-30,112.83193435914754
2022-05-31,165.9235913503994
2022-06-30,182.0940620521117
2022-07-31,170.76874641937775
2022-08-31,141.75970817134856
2022-09-30,91.02101487201317
2022-10-31,66.87375111148188
2022-11-30,31.654879230953853
2022-12-31,20.365078265223875
2023-01-31,23.608736239564006
2023-02-28,43.58993165843067
2023-03-31,80.51698650496864
2023-04-30,103.31433384623482
2023-05-31,164.526623777005
2023-06-30,170.7728876927354
2023-07-31,169.27327753905726
2023-08-31,131.4949534619282
2023-09-30,121.44628769249994
2023-10-31,65.14276012908142
2023-11-30,30.197226667088245
2023-12-31,19.635025880579484
2024-01-31,29.868460256737784
2024-02-29,41.70289280389311
2024-03-31,87.4195077096307
2024-04-30,126.69205333357101
2024-05-31,153.71667577850656
2024-06-30,164.7024482057221
2024-07-31,170.7212462055745
2024-08-31,151.91058822244582
2024-09-30,98.76199128213213
2024-10-31,59.648234812205864
2024-11-30,33.06093256452488
2024-12-31,22.52827204308044
2025-01-31,26.897447017366698
2025-02-28,51.823631282405685
2025-03-31,98.73049016251487
2025-04-30,133.40543692362704
2025-05-31,155.10026433292842
2025-06-30,183.25892000082078
2025-07-31,147.16335977021856
2025-08-31,156.56977614598412
2025-09-30,96.93563435902985
2025-10-31,55.76222212879293
2025-11-30,32.962343589961804
2025-12-31,24.15558884762747
