date,temp_austria
2018-01-31,-0.29323530662854747
2018-02-28,-5.5914771990349905
2018-03-31,-0.13133154691787685
2018-04-30,10.537172700547476
2018-05-31,13.734391232525992
2018-06-30,15.999414332347545
2018-07-31,17.866141918719684
2018-08-31,18.95849617454956
2018-09-30,13.802282449499309
2018-10-31,9.192818575020793
2018-11-30,3.3095238971933485
2018-12-31,-1.1248308798492672
2019-01-31,-4.577447122525981
2019-02-28,-0.46035234667705804
2019-03-31,3.7619604399376354
2019-04-30,7.363257939040198
2019-05-31,8.444433721469167
2019-06-30,18.77183399283611
2019-07-31,18.237137633004167
2019-08-31,18.053549611486492
2019-09-30,12.740879747766812
2019-10-31,9.2952770137526
2019-11-30,3.2368422498579394
2019-12-31,-0.18175875910949038
2020-01-31,-1.123327705914759
2020-02-29,1.4913393365298047
2020-03-31,2.2720757549393675
2020-04-30,8.072927488350663
2020-05-31,10.038869765698202
2020-06-30,14.27359850210153
2020-07-31,16.864134627623013
2020-08-31,17.694664351472625
2020-09-30,13.264393923497924
2020-10-31,7.009907968925852
2020-11-30,3.3901126240297996
2020-12-31,-1.338601660483363
2021-01-31,-3.950165876860703
2021-02-28,-0.19304716556825896
2021-03-31,1.152370118357593
2021-04-30,3.92102001794006
2021-05-31,8.629424444719339
2021-06-30,17.48542201435378
2021-07-31,17.96709885476092
2021-08-31,15.467586089667366
2021-09-30,13.711236824871797
2021-10-31,7.030233689187461
2021-11-30,1.8267323168000715
2021-12-31,-1.8405489288652082
2022-01-31,-1.7890963167896698
2022-02-28,-0.02870584338530197
2022-03-31,2.1388198553551665
2022-04-30,5.459851656910954
2022-05-31,13.421567275561333
2022-06-30,17.793503411843385
2022-07-31,18.455671197856898
2022-08-31,18.160326088473667
2022-09-30,11.586491574424814
2022-10-31,11.04616752540714
2022-11-30,3.5186583407103287
2022-12-31,-1.2473190041805238
2023-01-31,-0.671999501484748
2023-02-28,-0.7979805570755322
2023-03-31,3.532387652129249
2023-04-30,4.7311464650415855
2023-05-31,11.008340041848582
2023-06-30,16.089462203234582
2023-07-31,18.529256528402637
2023-08-31,17.936498995824675
2023-09-30,16.178396353863477
2023-10-31,11.157080301261267
2023-11-30,2.313556013158356
2023-12-31,-0.019567037652457264
2024-01-31,-2.307220203222449
2024-02-29,3.6556813102286947
2024-03-31,5.198115813516983
2024-04-30,8.113984245077967
2024-05-31,12.401960439937636
2024-06-30,16.408333640176718
2024-07-31,19.093924222363132
2024-08-31,20.218361286320167
2024-09-30,12.938516399293144
2024-10-31,9.728349134492378
2024-11-30,2.3903793413045746
2024-12-31,-0.8254843598284797
2025-01-31,-1.2877435254002054
2025-02-28,-0.7103995660481628
2025-03-31,3.968486713693698
2025-04-30,8.544380100426203
2025-05-31,10.443955579206518
2025-06-30,18.18591194023216
2025-07-31,16.913366852370064
2025-08-31,17.728550447108454
2025-09-30,13.764691997616081
2025-10-31,6.840535474005548
2025-11-30,1.8878581888860033
2025-12-31,-0.08666014225744845
