date;precip_brazil
1/31/2018;165.3096131
2/28/2018;239.5835852
3/31/2018;173.7780447
4/30/2018;147.9392592
5/31/2018;92.94290965
6/30/2018;48.83007459
7/31/2018;43.11966872
8/31/2018;47.26649694
9/30/2018;65.53741975
10/31/2018;110.0036787
11/30/2018;170.3903128
12/31/2018;174.1675809
1/31/2019;158.0253103
2/28/2019;187.6930354
3/31/2019;182.5422948
4/30/2019;154.3533453
5/31/2019;108.0949039
6/30/2019;58.62337491
7/31/2019;48.49903015
8/31/2019;34.02252968
9/30/2019;45.45703773
10/31/2019;94.80101859
11/30/2019;119.058993
12/31/2019;143.8055574
1/31/2020;162.3383136
2/29/2020;177.5247752
3/31/2020;204.6479764
4/30/2020;176.5651703
5/31/2020;133.8626302
6/30/2020;79.5744289
7/31/2020;49.94265465
8/31/2020;39.57259546
9/30/2020;48.21561951
10/31/2020;97.66794166
11/30/2020;115.4858959
12/31/2020;138.3718536
1/31/2021;172.2382014
2/28/2021;186.2774641
3/31/2021;177.45143
4/30/2021;142.4449926
5/31/2021;91.83587639
6/30/2021;70.80416808
7/31/2021;55.13026065
8/31/2021;45.79250255
9/30/2021;71.29211323
10/31/2021;131.4916199
11/30/2021;193.9601253
12/31/2021;254.5602568
1/31/2022;214.859875
2/28/2022;193.4262869
3/31/2022;223.331643
4/30/2022;152.9310371
5/31/2022;109.696812
6/30/2022;80.8483696
7/31/2022;55.05717233
8/31/2022;53.01655111
9/30/2022;63.20802022
10/31/2022;114.3433295
11/30/2022;154.0101753
12/31/2022;198.8904181
1/31/2023;194.2180055
2/28/2023;171.4323674
3/31/2023;186.2605841
4/30/2023;136.174072
5/31/2023;103.4118881
6/30/2023;58.4995234
7/31/2023;44.80731206
8/31/2023;37.85376761
9/30/2023;48.97197203
10/31/2023;87.37459956
11/30/2023;90.98586951
12/31/2023;129.7547777
1/31/2024;171.171915
2/29/2024;156.9322031
3/31/2024;167.7553693
4/30/2024;150.2151914
5/31/2024;97.83121419
6/30/2024;55.61205826
7/31/2024;36.55886955
8/31/2024;24.42791023
9/30/2024;32.9173591
10/31/2024;78.4975149
11/30/2024;118.4240542
12/31/2024;138.6324769
1/31/2025;159.7640804
2/28/2025;166.475523
3/31/2025;149.3153428
4/30/2025;120.6240567
5/31/2025;78.75799795
6/30/2025;104.2283214
7/31/2025;42.28690257
8/31/2025;33.81792997
9/30/2025;45.47874969
10/31/2025;69.86565584
11/30/2025;91.97422176
12/31/2025;160.8948033
