date;humidity_ghana
1/31/2018;47.76469128
2/28/2018;54.55041178
3/31/2018;67.51479225
4/30/2018;71.93362278
5/31/2018;77.69145937
6/30/2018;83.05948593
7/31/2018;86.63267557
8/31/2018;85.51926259
9/30/2018;87.61457634
10/31/2018;84.00980225
11/30/2018;75.5982667
12/31/2018;61.72968236
1/31/2019;53.30647095
2/28/2019;53.87894707
3/31/2019;60.4595633
4/30/2019;72.80091429
5/31/2019;80.44391616
6/30/2019;84.1992071
7/31/2019;85.10464976
8/31/2019;85.18830887
9/30/2019;86.35252038
10/31/2019;87.74140912
11/30/2019;77.09300555
12/31/2019;64.87483005
1/31/2020;56.18481666
2/29/2020;48.53058272
3/31/2020;67.76576252
4/30/2020;74.97434442
5/31/2020;79.12319299
6/30/2020;84.27589981
7/31/2020;86.29591815
8/31/2020;83.05024279
9/30/2020;85.10401814
10/31/2020;83.01210382
11/30/2020;75.58544143
12/31/2020;67.23189786
1/31/2021;59.19096631
2/28/2021;55.66362097
3/31/2021;69.01991002
4/30/2021;70.78837576
5/31/2021;76.40332723
6/30/2021;80.4397878
7/31/2021;84.32231011
8/31/2021;85.54395293
9/30/2021;85.74989898
10/31/2021;84.52665929
11/30/2021;79.23031578
12/31/2021;66.54062264
1/31/2022;55.46440176
2/28/2022;54.88531574
3/31/2022;68.14047313
4/30/2022;75.56086333
5/31/2022;82.33937087
6/30/2022;84.04535349
7/31/2022;85.36807435
8/31/2022;86.73246519
9/30/2022;87.45018019
10/31/2022;83.75621836
11/30/2022;75.64410709
12/31/2022;67.80520217
1/31/2023;61.0000834
2/28/2023;58.17891645
3/31/2023;69.17077842
4/30/2023;74.69283355
5/31/2023;78.96908606
6/30/2023;84.25083411
7/31/2023;86.42338105
8/31/2023;87.06309316
9/30/2023;86.74562346
10/31/2023;85.19644686
11/30/2023;80.70553144
12/31/2023;61.73872276
1/31/2024;56.11025833
2/29/2024;54.94857708
3/31/2024;67.50359264
4/30/2024;70.86885232
5/31/2024;74.89032959
6/30/2024;81.76969232
7/31/2024;83.91666298
8/31/2024;82.04531348
9/30/2024;82.75962511
10/31/2024;84.43017933
11/30/2024;71.13738108
12/31/2024;60.63218597
1/31/2025;54.25294225
2/28/2025;55.46950734
3/31/2025;67.61203708
4/30/2025;68.81278994
5/31/2025;77.26497175
6/30/2025;81.60525867
7/31/2025;83.43783603
8/31/2025;81.46077104
9/30/2025;82.49268589
10/31/2025;81.86026457
11/30/2025;70.88745469
12/31/2025;66.2014768
