date;temp_indonesia
1/31/2018;24.77018306
2/28/2018;24.95202123
3/31/2018;25.12898265
4/30/2018;25.43617681
5/31/2018;25.36723038
6/30/2018;24.7118583
7/31/2018;24.44664599
8/31/2018;24.48783561
9/30/2018;24.7549848
10/31/2018;25.44886956
11/30/2018;25.54802925
12/31/2018;25.31873768
1/31/2019;25.02669868
2/28/2019;25.21027819
3/31/2019;25.16337779
4/30/2019;25.57627318
5/31/2019;25.43536876
6/30/2019;24.84593027
7/31/2019;24.24264743
8/31/2019;24.4931991
9/30/2019;24.87963587
10/31/2019;25.35116482
11/30/2019;25.83007544
12/31/2019;25.66657516
1/31/2020;25.51006806
2/29/2020;25.45188578
3/31/2020;25.53590387
4/30/2020;25.55627612
5/31/2020;25.6657461
6/30/2020;24.85693515
7/31/2020;24.46719638
8/31/2020;24.72285824
9/30/2020;24.96513352
10/31/2020;25.17673268
11/30/2020;25.3282971
12/31/2020;24.89301015
1/31/2021;24.69459692
2/28/2021;24.83377763
3/31/2021;24.86850731
4/30/2021;25.03639231
5/31/2021;25.37875555
6/30/2021;24.81172009
7/31/2021;24.57561285
8/31/2021;24.6708085
9/30/2021;24.87563883
10/31/2021;25.41934993
11/30/2021;25.21457255
12/31/2021;25.0426175
1/31/2022;24.80325749
2/28/2022;24.74013541
3/31/2022;25.13951102
4/30/2022;25.28968892
5/31/2022;25.41998904
6/30/2022;24.77411859
7/31/2022;24.64104161
8/31/2022;24.71880351
9/30/2022;24.95446888
10/31/2022;25.21376977
11/30/2022;25.14742274
12/31/2022;24.81709966
1/31/2023;24.65634835
2/28/2023;24.73049954
3/31/2023;25.04308451
4/30/2023;25.39464811
5/31/2023;25.54649107
6/30/2023;25.12588365
7/31/2023;24.84151043
8/31/2023;24.90069954
9/30/2023;25.16631319
10/31/2023;25.95772683
11/30/2023;26.13896044
12/31/2023;25.89008369
1/31/2024;25.62081694
2/29/2024;25.84694065
3/31/2024;25.89792839
4/30/2024;26.17379818
5/31/2024;26.03161437
6/30/2024;25.27361297
7/31/2024;24.90948414
8/31/2024;25.10657043
9/30/2024;25.57360308
10/31/2024;25.83528764
11/30/2024;25.82302245
12/31/2024;25.38196272
1/31/2025;25.07353506
2/28/2025;25.08272319
3/31/2025;25.3219928
4/30/2025;25.27388814
5/31/2025;25.57516746
6/30/2025;24.92419635
7/31/2025;24.80290858
8/31/2025;24.60224784
9/30/2025;25.03913086
10/31/2025;25.3734894
11/30/2025;25.23605045
12/31/2025;25.11731367
