date;temp_brazil
1/31/2018;25.54215484
2/28/2018;25.00448479
3/31/2018;25.36959012
4/30/2018;24.44008803
5/31/2018;23.84232174
6/30/2018;23.36810606
7/31/2018;23.95740073
8/31/2018;25.07856032
9/30/2018;26.76245018
10/31/2018;27.20608401
11/30/2018;26.22875528
12/31/2018;25.36422584
1/31/2019;25.98962317
2/28/2019;25.86474717
3/31/2019;25.48835597
4/30/2019;25.25467657
5/31/2019;24.74790837
6/30/2019;24.1657188
7/31/2019;23.87725021
8/31/2019;25.35356151
9/30/2019;27.62112282
10/31/2019;27.34601443
11/30/2019;27.10842281
12/31/2019;26.72226145
1/31/2020;26.30277846
2/29/2020;25.95092741
3/31/2020;25.52141414
4/30/2020;24.68970486
5/31/2020;23.6916709
6/30/2020;23.94929168
7/31/2020;24.01991956
8/31/2020;25.34379612
9/30/2020;27.33703968
10/31/2020;27.65251766
11/30/2020;26.40784864
12/31/2020;26.55127507
1/31/2021;26.06672326
2/28/2021;25.66450539
3/31/2021;25.25583478
4/30/2021;24.82102831
5/31/2021;24.22635209
6/30/2021;23.9895456
7/31/2021;23.759687
8/31/2021;25.71777753
9/30/2021;27.26188398
10/31/2021;26.81240804
11/30/2021;25.62987162
12/31/2021;25.46476831
1/31/2022;25.15101538
2/28/2022;25.24189233
3/31/2022;24.90893456
4/30/2022;24.64214106
5/31/2022;23.11380387
6/30/2022;22.8904051
7/31/2022;23.95052921
8/31/2022;24.44198633
9/30/2022;26.13014378
10/31/2022;26.72173153
11/30/2022;25.36150878
12/31/2022;25.27423476
1/31/2023;24.92721461
2/28/2023;25.32458666
3/31/2023;25.19033005
4/30/2023;24.74343892
5/31/2023;24.32474987
6/30/2023;23.57497319
7/31/2023;24.49558535
8/31/2023;26.50178791
9/30/2023;28.50060163
10/31/2023;29.23971041
11/30/2023;29.01554328
12/31/2023;28.305826
1/31/2024;27.05172203
2/29/2024;26.82264243
3/31/2024;26.96508553
4/30/2024;26.12082838
5/31/2024;25.54534697
6/30/2024;25.14324554
7/31/2024;24.73548119
8/31/2024;26.22389113
9/30/2024;28.63006988
10/31/2024;29.07071143
11/30/2024;27.69593552
12/31/2024;27.16560862
1/31/2025;26.32124136
2/28/2025;26.27044294
3/31/2025;26.30586401
4/30/2025;25.76471177
5/31/2025;25.00556337
6/30/2025;24.07990813
7/31/2025;24.03741234
8/31/2025;25.67070606
9/30/2025;27.69580429
10/31/2025;27.79963949
11/30/2025;27.77587918
12/31/2025;26.566751
