date,precip_bolivia
2018-01-31,210.5512676011064
2018-02-28,153.1693068204149
2018-03-31,118.94239705332241
2018-04-30,56.83185893432714
2018-05-31,50.44906472642071
2018-06-30,28.697477138210587
2018-07-31,9.975802066041528
2018-08-31,44.911680986381846
2018-09-30,46.406001422461614
2018-10-31,112.26669074524413
2018-11-30,153.22101944557025
2018-12-31,166.00173664432577
2019-01-31,147.42045195117834
2019-02-28,165.4961596304289
2019-03-31,120.71728635564062
2019-04-30,94.872782815389
2019-05-31,44.52462530598008
2019-06-30,30.925810745864748
2019-07-31,27.29388207360497
2019-08-31,3.9336930426393617
2019-09-30,21.862627045155982
2019-10-31,56.804441232138636
2019-11-30,138.74462613512102
2019-12-31,171.1148935631937
2020-01-31,124.7618585019238
2020-02-29,181.76437632915784
2020-03-31,92.3397898253447
2020-04-30,68.85559721754446
2020-05-31,42.52475624337568
2020-06-30,128.44691340853097
2020-07-31,24.454553342027562
2020-08-31,44.94712686281459
2020-09-30,23.083636747584357
2020-10-31,58.085336086734216
2020-11-30,72.95108558154215
2020-12-31,164.9277772076555
2021-01-31,184.71987103052214
2021-02-28,133.70577456719565
2021-03-31,150.99263536566204
2021-04-30,89.24996206063689
2021-05-31,17.58150233323403
2021-06-30,31.463675149350358
2021-07-31,9.318247538186903
2021-08-31,16.71593331439758
2021-09-30,23.381200884789585
2021-10-31,66.56707526456134
2021-11-30,136.1172373735231
2021-12-31,226.27727874338933
2022-01-31,118.33674175478914
2022-02-28,137.90176358827037
2022-03-31,124.48528169490427
2022-04-30,39.08008877112331
2022-05-31,30.0389144492363
2022-06-30,27.54065614700916
2022-07-31,18.7626499720773
2022-08-31,34.44835767573153
2022-09-30,45.082272608593506
2022-10-31,87.88168053730887
2022-11-30,52.555836988227604
2022-12-31,172.8947421429009
2023-01-31,161.53471196500607
2023-02-28,143.66133901356085
2023-03-31,172.38351418064582
2023-04-30,83.04761863263012
2023-05-31,59.56016943567958
2023-06-30,27.771872052187526
2023-07-31,10.02257156716511
2023-08-31,10.83763879148984
2023-09-30,26.208844965722424
2023-10-31,56.36892019960959
2023-11-30,84.97567870782117
2023-12-31,126.21596648025997
2024-01-31,150.49845101119652
2024-02-29,171.32965773597365
2024-03-31,96.32481373426099
2024-04-30,70.66032910014098
2024-05-31,28.237919447325755
2024-06-30,18.124632624988855
2024-07-31,3.2023706350096877
2024-08-31,17.056357041597188
2024-09-30,18.61415943515211
2024-10-31,84.55927030153359
2024-11-30,140.8924895583027
2024-12-31,104.67728490023006
2025-01-31,186.52290753917984
2025-02-28,143.4266317951943
2025-03-31,211.81194826729583
2025-04-30,101.6425150430546
2025-05-31,48.18874056546861
2025-06-30,96.45113041561038
2025-07-31,3.575053834947093
2025-08-31,13.571036435203895
2025-09-30,33.93957665717464
2025-10-31,62.77872877423336
2025-11-30,86.6042177810192
2025-12-31,180.9877406410092
