date,solar_nigeria
2018-01-31,172.99544322398242
2018-02-28,155.9917098886566
2018-03-31,188.07212595155303
2018-04-30,175.09421998538156
2018-05-31,174.7991737051225
2018-06-30,158.78783467466204
2018-07-31,153.0726967347156
2018-08-31,146.1856786062987
2018-09-30,157.22022808244708
2018-10-31,176.75156378386652
2018-11-30,172.2971384064783
2018-12-31,167.37807010305454
2019-01-31,173.14533240675698
2019-02-28,153.82862170280498
2019-03-31,187.7925353144096
2019-04-30,180.01763994432991
2019-05-31,176.36746754427813
2019-06-30,159.5619351642879
2019-07-31,151.1006454390207
2019-08-31,141.588391763474
2019-09-30,153.7303369842413
2019-10-31,152.88320665257825
2019-11-30,171.09211140040537
2019-12-31,180.48155891201407
2020-01-31,174.835152083955
2020-02-29,167.47860597247924
2020-03-31,184.93984174688265
2020-04-30,182.62587021007465
2020-05-31,182.01043873193544
2020-06-30,162.65307644054417
2020-07-31,149.53608772684268
2020-08-31,144.97102174277933
2020-09-30,142.6838230898764
2020-10-31,175.9256557536381
2020-11-30,175.58693698982052
2020-12-31,175.91341222780432
2021-01-31,182.6747784470766
2021-02-28,165.59466792204347
2021-03-31,175.92412644569671
2021-04-30,194.64986327539438
2021-05-31,189.66238472198503
2021-06-30,161.631792031288
2021-07-31,148.0222652370456
2021-08-31,148.91867964315793
2021-09-30,155.18942052397145
2021-10-31,180.1195891377503
2021-11-30,172.73724277839665
2021-12-31,167.84951000869071
2022-01-31,173.24449658063864
2022-02-28,171.89065044792096
2022-03-31,171.64706059286488
2022-04-30,173.09034646085
2022-05-31,176.10371366987647
2022-06-30,155.52869962971985
2022-07-31,149.16060018220375
2022-08-31,135.25549769445473
2022-09-30,146.3034500057146
2022-10-31,173.69513252285606
2022-11-30,174.95146850826265
2022-12-31,171.09657709466376
2023-01-31,174.12091486140974
2023-02-28,164.58482537576617
2023-03-31,184.069593883216
2023-04-30,171.61502936839506
2023-05-31,179.35731276002306
2023-06-30,152.97457901726315
2023-07-31,162.6840824475993
2023-08-31,147.23642489054382
2023-09-30,157.65938853988564
2023-10-31,165.23826833373127
2023-11-30,156.60262684128548
2023-12-31,177.80511471492335
2024-01-31,182.31249357127714
2024-02-29,163.53694040559202
2024-03-31,183.74259309450113
2024-04-30,178.85886828291868
2024-05-31,176.78959793780172
2024-06-30,153.3372516974009
2024-07-31,141.5070431859641
2024-08-31,130.25321376495688
2024-09-30,152.57316147404305
2024-10-31,167.3976484096385
2024-11-30,180.850190508909
2024-12-31,173.86824433322937
2025-01-31,177.43081665600857
2025-02-28,160.30117849023696
2025-03-31,193.92780046157083
2025-04-30,183.5337188701619
2025-05-31,179.88461451811966
2025-06-30,165.54912661380678
2025-07-31,143.77284410185837
2025-08-31,138.69343456877698
2025-09-30,152.12007831222184
2025-10-31,174.84517253171128
2025-11-30,173.92084974438475
2025-12-31,172.7001499
