date,solar_spain
2018-01-31,69.7457841295569
2018-02-28,86.3934537257904
2018-03-31,120.32757507843246
2018-04-30,156.6443516256721
2018-05-31,194.33205698858347
2018-06-30,209.30330737899908
2018-07-31,237.50616126812486
2018-08-31,208.18551906442096
2018-09-30,155.18962462925478
2018-10-31,109.49527821060305
2018-11-30,65.67570716300257
2018-12-31,65.38972271438121
2019-01-31,76.95393570953685
2019-02-28,105.84912535853026
2019-03-31,158.5718620097356
2019-04-30,156.25745358398433
2019-05-31,224.09545865071175
2019-06-30,231.18629198026883
2019-07-31,228.74982576506767
2019-08-31,205.52904597905652
2019-09-30,151.66147409683893
2019-10-31,115.17709583488914
2019-11-30,66.4521592733404
2019-12-31,57.60892414017719
2020-01-31,65.55935071482953
2020-02-29,100.46085025926268
2020-03-31,124.95108807630184
2020-04-30,139.5151523830821
2020-05-31,207.43434569618017
2020-06-30,221.80889823420856
2020-07-31,238.71041830597514
2020-08-31,209.30581449802358
2020-09-30,154.10123851676605
2020-10-31,115.85024171618669
2020-11-30,69.99995298508617
2020-12-31,59.41843357270612
2021-01-31,68.21580553038424
2021-02-28,81.91041271973205
2021-03-31,143.59863345521634
2021-04-30,149.22582370708642
2021-05-31,207.6146286166489
2021-06-30,215.19258000561766
2021-07-31,236.88778873374986
2021-08-31,204.6189842378306
2021-09-30,142.6674330360861
2021-10-31,118.88732848384146
2021-11-30,79.1468406271053
2021-12-31,60.74739714298921
2022-01-31,83.73619732715333
2022-02-28,95.1909766188879
2022-03-31,96.76802605115789
2022-04-30,163.27600533393664
2022-05-31,216.33479880585094
2022-06-30,221.05159602188772
2022-07-31,239.17973673577137
2022-08-31,207.24237351414257
2022-09-30,151.2574244890375
2022-10-31,103.8419520188615
2022-11-30,72.05250786710654
2022-12-31,53.42129665640274
2023-01-31,75.0805274266799
2023-02-28,94.47533228351168
2023-03-31,147.78141290370397
2023-04-30,192.5687054311305
2023-05-31,196.37916900309654
2023-06-30,202.24672114684373
2023-07-31,238.4889477738538
2023-08-31,217.23807671536454
2023-09-30,147.01673935470376
2023-10-31,108.49965387981062
2023-11-30,75.86598352958262
2023-12-31,64.60298914612534
2024-01-31,67.1115104647329
2024-02-29,89.9003879585349
2024-03-31,120.26371987032324
2024-04-30,180.000472709893
2024-05-31,214.7317462474048
2024-06-30,207.277518573688
2024-07-31,238.51393626177352
2024-08-31,206.335867035037
2024-09-30,150.958342504265
2024-10-31,94.34339455468292
2024-11-30,71.55159465939548
2024-12-31,67.58461864580948
2025-01-31,67.72025845944431
2025-02-28,88.43738804797599
2025-03-31,113.2238996951762
2025-04-30,163.5439491630803
2025-05-31,206.60839402875843
2025-06-30,216.66841463976166
2025-07-31,234.54708939786792
2025-08-31,199.84049910305814
2025-09-30,156.3162135143141
2025-10-31,112.53815006154204
2025-11-30,74.15683017612233
2025-12-31,54.359748313544806
