date,precip_australia
2018-01-31,91.26947150704017
2018-02-28,68.89960031334799
2018-03-31,42.40983949758773
2018-04-30,7.720404221635025
2018-05-31,7.618971425462553
2018-06-30,14.529802791978707
2018-07-31,9.301546774880165
2018-08-31,13.043323259121797
2018-09-30,5.154965405185395
2018-10-31,20.664872768946974
2018-11-30,27.378411423936264
2018-12-31,36.415885885695886
2019-01-31,44.98704518718289
2019-02-28,38.35735104648733
2019-03-31,47.48016346679808
2019-04-30,19.019941524260062
2019-05-31,10.871130036685788
2019-06-30,16.80199201060536
2019-07-31,7.888454185737116
2019-08-31,7.924242762029412
2019-09-30,4.511399054182433
2019-10-31,7.148307622751203
2019-11-30,9.359098312161292
2019-12-31,13.488425061781495
2020-01-31,78.24855394737862
2020-02-29,84.4635641603779
2020-03-31,47.15303216056005
2020-04-30,24.57005084309349
2020-05-31,15.135873262402646
2020-06-30,9.376672243718932
2020-07-31,11.687711209533527
2020-08-31,15.995716103996656
2020-09-30,12.981231843823295
2020-10-31,27.197374987174364
2020-11-30,19.039878449974292
2020-12-31,80.37007940971905
2021-01-31,70.31409835955154
2021-02-28,73.61273971061945
2021-03-31,66.5787060533032
2021-04-30,18.835722580839562
2021-05-31,15.768170369598371
2021-06-30,19.792473898021473
2021-07-31,18.66739911483305
2021-08-31,9.360668678382817
2021-09-30,12.324497752824108
2021-10-31,22.586703071410874
2021-11-30,59.9124709872912
2021-12-31,42.62577813145916
2022-01-31,87.09523558514194
2022-02-28,45.47856941704316
2022-03-31,43.37435049943733
2022-04-30,31.809235034682597
2022-05-31,29.69474445357697
2022-06-30,13.802959165434606
2022-07-31,18.849644446171812
2022-08-31,20.653315169008817
2022-09-30,26.890466634367264
2022-10-31,55.16609612446556
2022-11-30,49.50097918588235
2022-12-31,60.133893282614416
2023-01-31,88.45906369155436
2023-02-28,59.9155299149606
2023-03-31,50.565400872369494
2023-04-30,31.501185452131068
2023-05-31,7.3983671105490325
2023-06-30,21.822837916016283
2023-07-31,16.5239357024856
2023-08-31,7.6405174699420115
2023-09-30,4.060995393941632
2023-10-31,7.615335598409831
2023-11-30,39.72667878941375
2023-12-31,40.43598471033231
2024-01-31,101.0138036302854
2024-02-29,61.40913038009159
2024-03-31,90.95391443393096
2024-04-30,22.172145960109756
2024-05-31,16.139304544113507
2024-06-30,19.601921648280687
2024-07-31,16.179489363269024
2024-08-31,13.80882066180446
2024-09-30,14.798649375133122
2024-10-31,16.703206876664208
2024-11-30,45.084325295845375
2024-12-31,56.788441740036845
2025-01-31,53.60085287823315
2025-02-28,70.39026875098581
2025-03-31,73.77597431179159
2025-04-30,30.197638494278422
2025-05-31,17.430380112592953
2025-06-30,12.51094281527047
2025-07-31,19.827954979337655
2025-08-31,15.452468369032626
2025-09-30,11.84487146711219
2025-10-31,19.903776347401323
2025-11-30,34.53933790079195
2025-12-31,64.54409596293898
