date;precip_india
1/31/2018;2.224161703
2/28/2018;8.802759922
3/31/2018;12.82069899
4/30/2018;38.01865862
5/31/2018;58.00818695
6/30/2018;141.6520093
7/31/2018;273.2468021
8/31/2018;227.392793
9/30/2018;124.0998127
10/31/2018;29.09152463
11/30/2018;16.60382456
12/31/2018;15.20087343
1/31/2019;12.83312191
2/28/2019;23.33912702
3/31/2019;14.41989654
4/30/2019;30.09094241
5/31/2019;50.60077348
6/30/2019;108.6361882
7/31/2019;285.9054441
8/31/2019;282.6874303
9/30/2019;256.1187075
10/31/2019;105.6075777
11/30/2019;27.86873867
12/31/2019;17.14466017
1/31/2020;23.53621563
2/29/2020;15.47470979
3/31/2020;41.74200728
4/30/2020;47.41422334
5/31/2020;81.34550723
6/30/2020;205.8202488
7/31/2020;262.0965988
8/31/2020;310.6959456
9/30/2020;180.2607394
10/31/2020;89.36763768
11/30/2020;36.30448357
12/31/2020;14.07176618
1/31/2021;19.3173752
2/28/2021;6.539842267
3/31/2021;12.40519593
4/30/2021;26.97325602
5/31/2021;122.3724077
6/30/2021;182.6852244
7/31/2021;269.3396829
8/31/2021;187.0426269
9/30/2021;222.7259179
10/31/2021;95.98933506
11/30/2021;56.05920781
12/31/2021;21.91658435
1/31/2022;35.20322124
2/28/2022;19.79198015
3/31/2022;7.999516061
4/30/2022;34.00499748
5/31/2022;80.40789103
6/30/2022;156.0946707
7/31/2022;317.4786777
8/31/2022;275.4267829
9/30/2022;182.4367428
10/31/2022;111.3967479
11/30/2022;16.86763101
12/31/2022;15.07982976
1/31/2023;9.955805061
2/28/2023;5.149604098
3/31/2023;42.31912797
4/30/2023;45.56971024
5/31/2023;66.99969436
6/30/2023;153.2917693
7/31/2023;305.0337813
8/31/2023;167.1661965
9/30/2023;189.0553749
10/31/2023;45.09381987
11/30/2023;38.27888514
12/31/2023;27.30740808
1/31/2024;8.183173551
2/29/2024;16.44471996
3/31/2024;29.16772949
4/30/2024;24.35362941
5/31/2024;68.88636379
6/30/2024;168.1318345
7/31/2024;310.4270818
8/31/2024;299.4701066
9/30/2024;200.3193417
10/31/2024;77.10114602
11/30/2024;14.45901899
12/31/2024;26.43279732
