date,precip_uganda
2018-01-31,16.190031794803197
2018-02-28,53.539942384349395
2018-03-31,156.28189633217448
2018-04-30,256.3294904849321
2018-05-31,155.71939091138427
2018-06-30,86.88417139905174
2018-07-31,32.83117124340305
2018-08-31,90.53800017964335
2018-09-30,127.8039570976444
2018-10-31,107.31993427839366
2018-11-30,86.26067542363181
2018-12-31,78.23611714318638
2019-01-31,26.609827603121
2019-02-28,46.07281811308495
2019-03-31,48.936715538660664
2019-04-30,128.99098801316498
2019-05-31,137.29450211626587
2019-06-30,166.97473019575455
2019-07-31,117.92192340937403
2019-08-31,144.85290002321548
2019-09-30,130.21433862579883
2019-10-31,284.9218188312909
2019-11-30,125.38476739005552
2019-12-31,135.19581283203522
2020-01-31,67.97180119524327
2020-02-29,73.54086739086304
2020-03-31,220.6328925370003
2020-04-30,188.5913061050283
2020-05-31,173.20918021681533
2020-06-30,124.04107115295395
2020-07-31,123.48189379842492
2020-08-31,123.14556446649205
2020-09-30,198.54163699507143
2020-10-31,198.22630579524414
2020-11-30,145.57576801601212
2020-12-31,164.28261984970328
2021-01-31,112.63385544928565
2021-02-28,31.737659698501176
2021-03-31,54.21311253954504
2021-04-30,153.16844303639215
2021-05-31,148.10794648178023
2021-06-30,39.3141548190361
2021-07-31,37.9558518996726
2021-08-31,42.423812574140555
2021-09-30,111.14177309031547
2021-10-31,109.20489445246795
2021-11-30,132.9615529204859
2021-12-31,83.90249020311104
2022-01-31,54.86519315291614
2022-02-28,31.5561195830042
2022-03-31,101.89801350394126
2022-04-30,122.68441790503111
2022-05-31,124.53513555718538
2022-06-30,60.765660289046416
2022-07-31,68.40068899197729
2022-08-31,201.93841958193894
2022-09-30,174.98075262999498
2022-10-31,130.272497618343
2022-11-30,122.91488950615872
2022-12-31,83.58511654750312
2023-01-31,18.545011375100657
2023-02-28,39.597124486177776
2023-03-31,223.1517650012803
2023-04-30,190.10556891615713
2023-05-31,99.48610339463892
2023-06-30,111.42955676579948
2023-07-31,66.6637398015572
2023-08-31,54.899466038152035
2023-09-30,195.5636568507854
2023-10-31,166.7215871953309
2023-11-30,220.75825712371065
2023-12-31,59.41870295921882
2024-01-31,55.81536866726067
2024-02-29,64.65555981678457
2024-03-31,74.4158255011283
2024-04-30,174.5541346243767
2024-05-31,106.30712213905835
2024-06-30,115.85311848067927
2024-07-31,116.02740956673476
2024-08-31,124.04080399322834
2024-09-30,123.62163265347482
2024-10-31,218.0658013275981
2024-11-30,139.24682313285066
2024-12-31,80.51900552601839
2025-01-31,30.88882091989816
2025-02-28,49.88978334607327
2025-03-31,104.95831038827625
2025-04-30,107.43037082799398
2025-05-31,156.53940835193436
2025-06-30,79.83470023008223
2025-07-31,89.67756608451809
2025-08-31,141.23318197647544
2025-09-30,84.39319830779615
2025-10-31,123.01883623460854
2025-11-30,107.83994532863595
2025-12-31,48.94926128223053
