date,precip_serbia
2018-01-31,51.944975841286116
2018-02-28,82.48157395538317
2018-03-31,114.23127751580141
2018-04-30,35.96481007809499
2018-05-31,75.27125310183378
2018-06-30,136.12165494598398
2018-07-31,121.59817975471701
2018-08-31,45.13216039846385
2018-09-30,21.860258568029998
2018-10-31,17.22703626764023
2018-11-30,61.72886660266074
2018-12-31,63.83575426694277
2019-01-31,81.75719505273422
2019-02-28,35.28460911245267
2019-03-31,17.37982680222325
2019-04-30,72.65076465286693
2019-05-31,117.0564006781527
2019-06-30,96.38372004792795
2019-07-31,63.216287520258334
2019-08-31,31.7398393104331
2019-09-30,28.21170504177813
2019-10-31,19.294168132299113
2019-11-30,72.95158363081359
2019-12-31,59.14589919664604
2020-01-31,24.530602360692793
2020-02-29,71.31014043438026
2020-03-31,74.30092484068389
2020-04-30,28.379110532827827
2020-05-31,81.55372104662072
2020-06-30,155.58784209299145
2020-07-31,80.4492545268519
2020-08-31,140.3746284797694
2020-09-30,36.99554138490872
2020-10-31,88.1001700091434
2020-11-30,14.103197105345687
2020-12-31,75.69613119530479
2021-01-31,140.68437421484435
2021-02-28,31.048989137073477
2021-03-31,86.79533988744937
2021-04-30,60.30975550808591
2021-05-31,86.87258392308388
2021-06-30,36.51656800914635
2021-07-31,85.69923687461763
2021-08-31,45.64471200145389
2021-09-30,33.241864454643974
2021-10-31,79.96845261688404
2021-11-30,87.45607438756528
2021-12-31,139.0859817823299
2022-01-31,39.43803117841556
2022-02-28,40.4979614763739
2022-03-31,25.79253829116458
2022-04-30,59.52920396861407
2022-05-31,55.53733807796458
2022-06-30,77.7669040982514
2022-07-31,57.231365805896885
2022-08-31,78.53340022477896
2022-09-30,103.48832393079452
2022-10-31,12.56090624831544
2022-11-30,91.41552599291478
2022-12-31,77.07888894858013
2023-01-31,101.02976183571582
2023-02-28,44.504251957170574
2023-03-31,59.66843445990039
2023-04-30,94.55793440528366
2023-05-31,92.67777879847856
2023-06-30,129.84228236932998
2023-07-31,57.13300846458524
2023-08-31,62.095582589172274
2023-09-30,44.24318566658986
2023-10-31,19.637381303910608
2023-11-30,147.46316443188314
2023-12-31,43.549323526048674
2024-01-31,65.20742325454941
2024-02-29,15.175047142879801
2024-03-31,51.99790937851948
2024-04-30,43.095808610065085
2024-05-31,99.33843701774352
2024-06-30,69.56820368235381
2024-07-31,42.64209586320764
2024-08-31,17.643328250214623
2024-09-30,96.76854140865977
2024-10-31,34.24911069963044
2024-11-30,73.32670301253927
2024-12-31,91.53931126253786
2025-01-31,33.6094090975779
2025-02-28,28.48138140660424
2025-03-31,91.39379253901572
2025-04-30,62.02873737577075
2025-05-31,71.79182395490159
2025-06-30,7.913545970019078
2025-07-31,48.894197277486356
2025-08-31,40.82927298270175
2025-09-30,45.30167206508797
2025-10-31,116.46509318462425
2025-11-30,123.3942462314863
2025-12-31,25.268262236940114
