date;humidity_indonesia
1/31/2018;88.15071544
2/28/2018;87.99795263
3/31/2018;87.76860666
4/30/2018;88.11177122
5/31/2018;88.89710225
6/30/2018;88.71778803
7/31/2018;87.91949598
8/31/2018;86.01083453
9/30/2018;84.45916946
10/31/2018;84.09202684
11/30/2018;86.25679611
12/31/2018;87.91728098
1/31/2019;89.08430242
2/28/2019;88.06312993
3/31/2019;87.8017559
4/30/2019;88.67791897
5/31/2019;88.76928827
6/30/2019;89.321294
7/31/2019;86.97622472
8/31/2019;84.94842229
9/30/2019;82.69638926
10/31/2019;83.5514892
11/30/2019;82.86780874
12/31/2019;85.97551305
1/31/2020;87.59224537
2/29/2020;87.76265747
3/31/2020;88.13902563
4/30/2020;88.49707707
5/31/2020;89.38803328
6/30/2020;89.49755121
7/31/2020;88.93394814
8/31/2020;86.99091852
9/30/2020;86.64361954
10/31/2020;86.57261883
11/30/2020;87.58045382
12/31/2020;88.94836283
1/31/2021;89.68336661
2/28/2021;88.94010629
3/31/2021;88.44107094
4/30/2021;87.85528171
5/31/2021;89.26890324
6/30/2021;88.78155031
7/31/2021;88.4360354
8/31/2021;88.21670541
9/30/2021;87.35463542
10/31/2021;86.52355148
11/30/2021;88.02986038
12/31/2021;88.94489888
1/31/2022;88.9732583
2/28/2022;88.31135017
3/31/2022;88.23656884
4/30/2022;88.09686503
5/31/2022;88.49662688
6/30/2022;89.02827504
7/31/2022;88.99512074
8/31/2022;87.86703371
9/30/2022;86.97755378
10/31/2022;87.77247052
11/30/2022;88.13407576
12/31/2022;88.46095634
1/31/2023;88.93536453
2/28/2023;89.07477885
3/31/2023;88.48648681
4/30/2023;88.6086251
5/31/2023;88.95991492
6/30/2023;88.87836557
7/31/2023;88.35517725
8/31/2023;86.40580167
9/30/2023;84.41911686
10/31/2023;83.44324964
11/30/2023;85.27530488
12/31/2023;87.70916606
1/31/2024;88.68963373
2/29/2024;88.35944076
3/31/2024;88.95127335
4/30/2024;89.35302911
5/31/2024;90.06029605
6/30/2024;89.56596739
7/31/2024;88.29383074
8/31/2024;87.31353802
9/30/2024;85.49145446
10/31/2024;85.28282778
11/30/2024;87.15228467
12/31/2024;89.44546669
1/31/2025;89.83554272
2/28/2025;88.83030393
3/31/2025;89.05235064
4/30/2025;88.52686711
5/31/2025;88.99414126
6/30/2025;89.29568261
7/31/2025;88.55924994
8/31/2025;87.75733222
9/30/2025;87.13037604
10/31/2025;86.68858967
11/30/2025;88.28460258
12/31/2025;89.25576858
