date;humidity_senegal
1/31/2018;22.75569217
2/28/2018;30.53087152
3/31/2018;23.23926017
4/30/2018;29.27144278
5/31/2018;31.76515339
6/30/2018;47.61080026
7/31/2018;64.81000478
8/31/2018;71.41348414
9/30/2018;78.96969634
10/31/2018;68.48716845
11/30/2018;52.11180783
12/31/2018;31.16656594
1/31/2019;24.5022871
2/28/2019;19.09753352
3/31/2019;26.42534314
4/30/2019;28.94208125
5/31/2019;33.43514328
6/30/2019;41.18430424
7/31/2019;59.31147988
8/31/2019;69.71399446
9/30/2019;79.12604954
10/31/2019;65.98460333
11/30/2019;48.25757634
12/31/2019;31.9465231
1/31/2020;21.53494098
2/29/2020;19.99779764
3/31/2020;25.17846043
4/30/2020;34.63085869
5/31/2020;36.23150016
6/30/2020;52.44816578
7/31/2020;70.28459316
8/31/2020;79.01702339
9/30/2020;83.16363126
10/31/2020;74.59310246
11/30/2020;60.77342098
12/31/2020;49.95013658
1/31/2021;32.70872014
2/28/2021;25.77101245
3/31/2021;28.78375085
4/30/2021;30.23010408
5/31/2021;34.05482535
6/30/2021;49.64417304
7/31/2021;64.20280549
8/31/2021;81.4607984
9/30/2021;82.14935179
10/31/2021;73.78683901
11/30/2021;57.45137157
12/31/2021;40.91200813
1/31/2022;28.52105631
2/28/2022;24.39313261
3/31/2022;25.83419722
4/30/2022;29.22926448
5/31/2022;35.73293421
6/30/2022;55.1328788
7/31/2022;69.11454662
8/31/2022;80.23290993
9/30/2022;83.82797684
10/31/2022;76.60008427
11/30/2022;54.47815191
12/31/2022;46.03487508
1/31/2023;32.27546845
2/28/2023;29.04854589
3/31/2023;27.0689381
4/30/2023;31.25991135
5/31/2023;36.79395171
6/30/2023;49.45451844
7/31/2023;68.53753075
8/31/2023;76.67133289
9/30/2023;80.76347712
10/31/2023;71.7300599
11/30/2023;42.85929051
12/31/2023;27.80166744
1/31/2024;25.24795452
2/29/2024;19.02117459
3/31/2024;28.01727988
4/30/2024;29.34118969
5/31/2024;33.47776528
6/30/2024;49.56643657
7/31/2024;69.48525908
8/31/2024;77.26303813
9/30/2024;79.73978873
10/31/2024;72.65843202
11/30/2024;53.67318211
12/31/2024;38.27760458
1/31/2025;26.45064082
2/28/2025;24.58748864
3/31/2025;33.42230469
4/30/2025;38.22462837
5/31/2025;38.89973576
6/30/2025;57.65136506
7/31/2025;75.07528534
8/31/2025;80.67510871
9/30/2025;79.668942
10/31/2025;69.28213983
11/30/2025;50.82808294
12/31/2025;38.821888
