date,humidity_germany
2018-01-31,93.79334117456703
2018-02-28,88.57101193563884
2018-03-31,87.08435847050562
2018-04-30,80.22078857137133
2018-05-31,76.49228694096945
2018-06-30,74.04985183511549
2018-07-31,63.22903236835777
2018-08-31,62.80816268287724
2018-09-30,67.63261107785375
2018-10-31,78.01048964397205
2018-11-30,88.960635183972
2018-12-31,93.31661791348667
2019-01-31,91.72561555871707
2019-02-28,85.4660903343504
2019-03-31,83.82376902239425
2019-04-30,75.84651629118333
2019-05-31,75.57599306282071
2019-06-30,68.79992943838182
2019-07-31,64.29292347900105
2019-08-31,67.18565811567872
2019-09-30,72.34417468569173
2019-10-31,85.55681939203224
2019-11-30,93.20798790106969
2019-12-31,92.88494419488313
2020-01-31,93.34213314096414
2020-02-29,87.75420714603494
2020-03-31,81.39659923732889
2020-04-30,71.06214389885604
2020-05-31,72.22571545855007
2020-06-30,74.5933472744469
2020-07-31,67.40274539409262
2020-08-31,68.01459461829995
2020-09-30,71.89004737769801
2020-10-31,86.70893412319266
2020-11-30,91.13891980960757
2020-12-31,94.67844537188182
2021-01-31,94.47172728821188
2021-02-28,91.15642063958636
2021-03-31,82.94493793901314
2021-04-30,77.82506967703868
2021-05-31,80.1969446411106
2021-06-30,75.48371177218368
2021-07-31,79.27030480635064
2021-08-31,79.39879422912676
2021-09-30,79.72471983646564
2021-10-31,83.84018444787185
2021-11-30,92.95005800382067
2021-12-31,94.98715394471988
2022-01-31,93.29982535212746
2022-02-28,88.10323187203512
2022-03-31,77.48185117210122
2022-04-30,78.53179923875372
2022-05-31,74.026593942217
2022-06-30,68.67030631737042
2022-07-31,62.27715425100417
2022-08-31,63.15831655772318
2022-09-30,75.52156018938922
2022-10-31,85.6877432608901
2022-11-30,90.60644206923264
2022-12-31,94.0504242730032
2023-01-31,92.16864687309338
2023-02-28,89.59259615375244
2023-03-31,85.80818263904898
2023-04-30,80.80878865786659
2023-05-31,76.96397111522604
2023-06-30,70.08390551527688
2023-07-31,67.91806487997901
2023-08-31,77.63725610062524
2023-09-30,74.08318180480478
2023-10-31,82.7721079044596
2023-11-30,91.24426835336814
2023-12-31,94.29764668456137
2024-01-31,92.246093733874
2024-02-29,91.73881774723297
2024-03-31,87.2470923547179
2024-04-30,82.3030727326214
2024-05-31,80.76691170385433
2024-06-30,79.55502531851208
2024-07-31,76.78332080620876
2024-08-31,74.2972660457386
2024-09-30,78.23759169848911
2024-10-31,88.9558209597782
2024-11-30,91.99610959598215
2024-12-31,93.90088855280491
2025-01-31,93.41951825728543
2025-02-28,90.51850788546754
2025-03-31,80.68943602388555
2025-04-30,77.7901210076389
2025-05-31,72.48249096966946
2025-06-30,70.99053779761368
2025-07-31,71.58282622057541
2025-08-31,68.13920013727196
2025-09-30,76.44380201560634
2025-10-31,86.18641584069248
2025-11-30,91.90328973661065
2025-12-31,93.99373138980539
