date;humidity_uganda
1/31/2018;48.40829552
2/28/2018;50.3404767
3/31/2018;70.36837032
4/30/2018;78.90992476
5/31/2018;80.16065372
6/30/2018;76.19010889
7/31/2018;69.32049628
8/31/2018;68.18542356
9/30/2018;65.24788388
10/31/2018;71.72577207
11/30/2018;69.21535545
12/31/2018;63.65977059
1/31/2019;51.73036434
2/28/2019;51.44529451
3/31/2019;52.62702734
4/30/2019;65.42047868
5/31/2019;74.90795271
6/30/2019;77.99001767
7/31/2019;74.72425747
8/31/2019;74.1887346
9/30/2019;72.98030518
10/31/2019;79.73628975
11/30/2019;78.69954223
12/31/2019;76.33768428
1/31/2020;65.9618361
2/29/2020;63.51244499
3/31/2020;74.17949424
4/30/2020;77.02959926
5/31/2020;81.85213789
6/30/2020;79.83693658
7/31/2020;78.81205776
8/31/2020;76.56556914
9/30/2020;75.11715509
10/31/2020;78.7225462
11/30/2020;77.2851938
12/31/2020;67.30379959
1/31/2021;69.00863333
2/28/2021;62.12920622
3/31/2021;59.92507146
4/30/2021;73.6220421
5/31/2021;77.51379814
6/30/2021;69.90167475
7/31/2021;67.79317913
8/31/2021;64.08369108
9/30/2021;69.95439297
10/31/2021;67.94789963
11/30/2021;67.32420807
12/31/2021;63.6428183
1/31/2022;56.12422381
2/28/2022;54.86052575
3/31/2022;55.93264321
4/30/2022;66.90258016
5/31/2022;72.39236029
6/30/2022;69.12627828
7/31/2022;65.29442863
8/31/2022;73.5675479
9/30/2022;73.79965752
10/31/2022;71.65664478
11/30/2022;72.75299623
12/31/2022;65.62891387
1/31/2023;52.22050627
2/28/2023;46.67873984
3/31/2023;67.40903004
4/30/2023;75.47111747
5/31/2023;75.28394463
6/30/2023;73.7275478
7/31/2023;69.10413371
8/31/2023;63.58478975
9/30/2023;70.05972934
10/31/2023;73.74663402
11/30/2023;76.71190531
12/31/2023;67.82518202
1/31/2024;62.2902933
2/29/2024;62.21096176
3/31/2024;62.23193525
4/30/2024;74.86617211
5/31/2024;73.10193733
6/30/2024;71.78043111
7/31/2024;72.95228513
8/31/2024;71.91059074
9/30/2024;71.07742864
10/31/2024;75.03877497
11/30/2024;77.10893259
12/31/2024;64.80525355
1/31/2025;53.997913
2/28/2025;46.74585942
3/31/2025;61.10498049
4/30/2025;70.74760815
5/31/2025;75.13439321
6/30/2025;68.23101397
7/31/2025;68.42433163
8/31/2025;69.43605897
9/30/2025;63.1626418
10/31/2025;68.89889805
11/30/2025;64.74615849
12/31/2025;58.63899334
