date;temp_kenya
1/31/2018;26.28217151
2/28/2018;27.45909457
3/31/2018;25.50119707
4/30/2018;23.99651963
5/31/2018;23.6193498
6/30/2018;22.99046675
7/31/2018;22.8609416
8/31/2018;23.79203621
9/30/2018;25.35321005
10/31/2018;25.57285484
11/30/2018;26.06440637
12/31/2018;25.81984568
1/31/2019;26.69132498
2/28/2019;28.0182569
3/31/2019;28.70792958
4/30/2019;27.83542807
5/31/2019;25.67639732
6/30/2019;24.55000811
7/31/2019;24.36248394
8/31/2019;24.788036
9/30/2019;25.68492207
10/31/2019;24.60617718
11/30/2019;24.5382023
12/31/2019;24.40779612
1/31/2020;25.19720927
2/29/2020;26.65447984
3/31/2020;26.75615597
4/30/2020;25.28521421
5/31/2020;24.2076569
6/30/2020;23.78602126
7/31/2020;23.47958954
8/31/2020;24.11358315
9/30/2020;25.14244479
10/31/2020;25.98047959
11/30/2020;25.22964644
12/31/2020;25.68898167
1/31/2021;24.94336651
2/28/2021;26.47208465
3/31/2021;27.08113548
4/30/2021;26.25921677
5/31/2021;24.84141052
6/30/2021;24.07664753
7/31/2021;23.46207148
8/31/2021;24.62296556
9/30/2021;25.51525301
10/31/2021;26.4788452
11/30/2021;26.79654997
12/31/2021;24.28233637
1/31/2022;24.95092282
2/28/2022;26.78998485
3/31/2022;27.71440334
4/30/2022;26.55256007
5/31/2022;25.0002789
6/30/2022;24.11475114
7/31/2022;23.1878186
8/31/2022;23.44084838
9/30/2022;24.5509191
10/31/2022;25.65385562
11/30/2022;25.39599174
12/31/2022;25.93993683
1/31/2023;26.20226442
2/28/2023;27.55732744
3/31/2023;27.04007932
4/30/2023;25.01819112
5/31/2023;24.81956332
6/30/2023;23.82406942
7/31/2023;23.5439632
8/31/2023;24.54903819
9/30/2023;26.13283204
10/31/2023;26.13556444
11/30/2023;23.97374236
12/31/2023;24.90972548
1/31/2024;25.93892112
2/29/2024;27.11927823
3/31/2024;27.66503292
4/30/2024;25.31960237
5/31/2024;24.9640387
6/30/2024;24.47933231
7/31/2024;24.30300022
8/31/2024;24.54153188
9/30/2024;25.90637756
10/31/2024;26.97751287
11/30/2024;25.8817043
12/31/2024;26.01482057
1/31/2025;26.88357061
2/28/2025;27.82357501
3/31/2025;27.45982208
4/30/2025;25.57384937
5/31/2025;25.09533001
6/30/2025;24.47221589
7/31/2025;23.96644736
8/31/2025;23.83125416
9/30/2025;25.38458554
10/31/2025;26.13366184
11/30/2025;26.23643947
12/31/2025;26.86559427
