date,humidity_sweden
2018-01-31,97.85217085136988
2018-02-28,98.03565259771807
2018-03-31,95.51362413858114
2018-04-30,90.23900600638365
2018-05-31,78.264886796298
2018-06-30,75.40808117124213
2018-07-31,75.2227852400925
2018-08-31,82.87771236584841
2018-09-30,85.58341346039205
2018-10-31,92.44232356161547
2018-11-30,97.31612950608707
2018-12-31,98.20516789567398
2019-01-31,97.70365714581783
2019-02-28,96.70811696556653
2019-03-31,93.06564298736018
2019-04-30,80.36731289861076
2019-05-31,81.32881551066684
2019-06-30,78.19084213656942
2019-07-31,78.20181387077291
2019-08-31,84.61297241134623
2019-09-30,87.39905346783993
2019-10-31,94.05151435950127
2019-11-30,97.65922632638285
2019-12-31,98.40899298387616
2020-01-31,96.49143989305769
2020-02-29,95.48730617988593
2020-03-31,91.70108838802648
2020-04-30,84.95242575227081
2020-05-31,80.37351537008949
2020-06-30,75.2335412978558
2020-07-31,82.01269979510722
2020-08-31,80.90516842816552
2020-09-30,87.63229990653464
2020-10-31,95.09731041197408
2020-11-30,96.16635256953657
2020-12-31,98.5821653453321
2021-01-31,98.7220685395128
2021-02-28,98.18633000580493
2021-03-31,93.58115048533989
2021-04-30,84.37449608403479
2021-05-31,84.7290908192143
2021-06-30,77.92729957948629
2021-07-31,77.70183163018568
2021-08-31,83.82244557493141
2021-09-30,88.2186997057578
2021-10-31,94.58029821734235
2021-11-30,97.12134474391979
2021-12-31,97.73953840058154
2022-01-31,96.37631262284644
2022-02-28,97.32555660182754
2022-03-31,90.48088053383525
2022-04-30,85.38070980611214
2022-05-31,81.4087918482809
2022-06-30,79.42276542265057
2022-07-31,79.49659163628797
2022-08-31,82.73467292316286
2022-09-30,87.65912786811585
2022-10-31,93.88205793317202
2022-11-30,95.72114536093288
2022-12-31,98.56882939324628
2023-01-31,98.19557406444146
2023-02-28,96.71068589446828
2023-03-31,93.61959187300043
2023-04-30,88.18990279895067
2023-05-31,78.19484981617778
2023-06-30,74.98329223194771
2023-07-31,81.80976718479026
2023-08-31,87.86392887117977
2023-09-30,90.36136656255734
2023-10-31,92.41818108872707
2023-11-30,97.78197384283314
2023-12-31,98.62540829302121
2024-01-31,98.04962985183936
2024-02-29,97.54511722819159
2024-03-31,95.64575735086001
2024-04-30,90.7154937598555
2024-05-31,80.00829465810061
2024-06-30,80.00994368155686
2024-07-31,83.99807672105591
2024-08-31,85.25492732811765
2024-09-30,88.16151491972366
2024-10-31,93.99017863859984
2024-11-30,95.04646393804056
2024-12-31,97.6799645703188
2025-01-31,97.94492259086566
2025-02-28,97.13502093076244
2025-03-31,92.65125432260396
2025-04-30,84.55823222023221
2025-05-31,81.31537344658666
2025-06-30,80.0439352160979
2025-07-31,77.31266725353366
2025-08-31,83.18634569949431
2025-09-30,89.61530176768889
2025-10-31,94.24646332842953
2025-11-30,97.39995973887616
2025-12-31,97.32248137220856
