date,temp_nigeria
2018-01-31,22.272787937580112
2018-02-28,27.3903410406054
2018-03-31,28.84881285103579
2018-04-30,29.80156632745674
2018-05-31,28.535517218634354
2018-06-30,27.016191050485524
2018-07-31,25.629993887100763
2018-08-31,24.813557379508566
2018-09-30,25.292598694221297
2018-10-31,26.219572188373494
2018-11-30,25.44491327570872
2018-12-31,23.47725869752079
2019-01-31,24.594222741004078
2019-02-28,26.044709180755007
2019-03-31,29.344495739524383
2019-04-30,30.58678268746842
2019-05-31,29.068068583978054
2019-06-30,27.70089169685819
2019-07-31,26.014218976572195
2019-08-31,24.735618137752684
2019-09-30,25.51402328348378
2019-10-31,25.232123643378447
2019-11-30,25.821809615419795
2019-12-31,22.74181470395983
2020-01-31,22.85120363009362
2020-02-29,25.371695365145747
2020-03-31,28.797900549604474
2020-04-30,28.608321082658847
2020-05-31,28.132060331020178
2020-06-30,26.88965500602474
2020-07-31,25.165692853648174
2020-08-31,24.54065443426889
2020-09-30,24.83620196736479
2020-10-31,25.277349688638143
2020-11-30,24.371394426182096
2020-12-31,24.72261749926637
2021-01-31,24.568544372130656
2021-02-28,25.611037259330693
2021-03-31,28.3715009073414
2021-04-30,29.322934038607418
2021-05-31,29.202962278168485
2021-06-30,26.92935281553172
2021-07-31,25.13334958853198
2021-08-31,24.72495354615421
2021-09-30,25.14823411846379
2021-10-31,25.691325716528112
2021-11-30,24.831616688315666
2021-12-31,22.402607892698363
2022-01-31,22.01173281406843
2022-02-28,23.893246169725888
2022-03-31,27.95840826930481
2022-04-30,28.640512604074864
2022-05-31,27.639215447881135
2022-06-30,26.148471492629167
2022-07-31,25.197331622797797
2022-08-31,24.4581519843781
2022-09-30,24.807510752091368
2022-10-31,25.029633217545907
2022-11-30,23.894153149740834
2022-12-31,22.462914341740873
2023-01-31,23.7256784414748
2023-02-28,25.72860398799241
2023-03-31,28.069488478415554
2023-04-30,29.30766229467641
2023-05-31,29.25680005584898
2023-06-30,27.038154228446004
2023-07-31,27.097122114978887
2023-08-31,26.149129031626234
2023-09-30,26.402391900333797
2023-10-31,27.125786545428994
2023-11-30,27.130233275655648
2023-12-31,24.851779587930324
2024-01-31,24.346001468837173
2024-02-29,27.407489650243313
2024-03-31,30.602741924855078
2024-04-30,30.944865741511187
2024-05-31,30.370569160863592
2024-06-30,28.233689906187124
2024-07-31,26.075924401624924
2024-08-31,25.02689359817708
2024-09-30,25.56343925758302
2024-10-31,25.592874178227838
2024-11-30,23.35441993344951
2024-12-31,22.737570357757853
2025-01-31,24.923259121259843
2025-02-28,27.376112522378154
2025-03-31,30.408630718656948
2025-04-30,31.06725727096652
2025-05-31,30.60479695828811
2025-06-30,28.271237651784674
2025-07-31,25.83203618327346
2025-08-31,25.135744478733226
2025-09-30,25.7434968256883
2025-10-31,26.163033131490902
2025-11-30,26.213389513780292
2025-12-31,26.548323952236704
