date,humidity_angola
2018-01-31,74.1311901476806
2018-02-28,77.05519852987955
2018-03-31,77.39812478798187
2018-04-30,77.78138896759546
2018-05-31,68.0830882925053
2018-06-30,49.209265222782214
2018-07-31,43.9919374497813
2018-08-31,41.39285121603042
2018-09-30,49.441998408820275
2018-10-31,54.55885303609754
2018-11-30,60.87190153020627
2018-12-31,67.28080962777946
2019-01-31,73.42145313144583
2019-02-28,69.36511914457078
2019-03-31,62.53980929342177
2019-04-30,58.7747847298145
2019-05-31,44.542751906895575
2019-06-30,35.948321275302334
2019-07-31,30.299072348536065
2019-08-31,35.463026862702364
2019-09-30,39.14056429897894
2019-10-31,54.088145817379676
2019-11-30,62.94040243354944
2019-12-31,68.80974986447914
2020-01-31,74.66187747794241
2020-02-29,75.87211390389967
2020-03-31,79.59978041170736
2020-04-30,79.96962879343457
2020-05-31,69.26680118907349
2020-06-30,59.52538837690983
2020-07-31,48.93116080359716
2020-08-31,42.66592089180533
2020-09-30,42.64037448560228
2020-10-31,48.29697724223105
2020-11-30,64.81080802284224
2020-12-31,70.83189962364894
2021-01-31,70.5314047747235
2021-02-28,75.31433141474241
2021-03-31,76.70293363281525
2021-04-30,72.51455339677895
2021-05-31,61.70468461371237
2021-06-30,47.42195784693894
2021-07-31,39.38123506714905
2021-08-31,39.83364982195663
2021-09-30,41.69437448680886
2021-10-31,52.2721256541589
2021-11-30,62.37277585727561
2021-12-31,67.56892979697813
2022-01-31,71.73755232687652
2022-02-28,72.45182107800828
2022-03-31,78.14578294155582
2022-04-30,77.46567313579214
2022-05-31,58.598439225044686
2022-06-30,49.50584087801529
2022-07-31,44.41055265322956
2022-08-31,39.50203720502613
2022-09-30,42.40903872153827
2022-10-31,47.822352155953375
2022-11-30,63.130731711914706
2022-12-31,64.58141310575431
2023-01-31,74.78334912224103
2023-02-28,66.21491781370746
2023-03-31,70.73541079611476
2023-04-30,68.34355327777813
2023-05-31,50.247672644615676
2023-06-30,40.82732724080538
2023-07-31,37.3160117360039
2023-08-31,34.65874907729738
2023-09-30,38.99008816870511
2023-10-31,49.156403776013214
2023-11-30,61.69975715261306
2023-12-31,67.52699327746244
2024-01-31,63.27755990197075
2024-02-29,62.20421707884366
2024-03-31,62.88093153946817
2024-04-30,63.376861896631645
2024-05-31,42.420251588890366
2024-06-30,37.46048171905634
2024-07-31,29.419559359780152
2024-08-31,29.958997753626996
2024-09-30,36.4977480497732
2024-10-31,43.067573898704225
2024-11-30,59.96266591015884
2024-12-31,62.288605857001215
2025-01-31,63.818613423690515
2025-02-28,74.82524682815045
2025-03-31,73.12942563769818
2025-04-30,74.35901292028555
2025-05-31,56.50462419397543
2025-06-30,43.663947646646996
2025-07-31,39.08980133054328
2025-08-31,33.99482822357276
2025-09-30,36.27908611108433
2025-10-31,44.3335211328358
2025-11-30,55.93953155135112
2025-12-31,61.181778882567315
