date,precip_chile
2018-01-31,52.943050531180326
2018-02-28,37.598030042167274
2018-03-31,66.88197879907298
2018-04-30,84.55746501347376
2018-05-31,57.36782708586565
2018-06-30,65.7551277597991
2018-07-31,42.026991488458776
2018-08-31,66.1552440528219
2018-09-30,68.69416485218015
2018-10-31,47.31961087199882
2018-11-30,56.32761671756603
2018-12-31,46.633690055290515
2019-01-31,48.304835989019146
2019-02-28,34.81019973210181
2019-03-31,41.102262329292
2019-04-30,62.11643347144957
2019-05-31,63.808289238268884
2019-06-30,88.08615522534316
2019-07-31,67.9098380405644
2019-08-31,48.127764573506695
2019-09-30,35.733889159416265
2019-10-31,32.16301069039586
2019-11-30,59.719423449741335
2019-12-31,51.436413024038934
2020-01-31,48.287975714368805
2020-02-29,45.13787292033452
2020-03-31,40.263388171848874
2020-04-30,53.44072500379781
2020-05-31,78.52252672332774
2020-06-30,115.35139356959378
2020-07-31,64.87322410011917
2020-08-31,45.01527249512869
2020-09-30,37.35806323654286
2020-10-31,43.207394199268265
2020-11-30,36.29722317716419
2020-12-31,43.67985109671428
2021-01-31,41.508677750727564
2021-02-28,22.62203077216256
2021-03-31,37.77681856562536
2021-04-30,49.661759468558074
2021-05-31,42.79300515286163
2021-06-30,49.84901946086672
2021-07-31,54.89983913086668
2021-08-31,55.688866505843265
2021-09-30,30.443800634547046
2021-10-31,38.39902448205435
2021-11-30,36.92711695174854
2021-12-31,30.11526800206854
2022-01-31,40.571914939506875
2022-02-28,34.25011969499563
2022-03-31,44.999315493891274
2022-04-30,52.69100226633462
2022-05-31,35.75074135033814
2022-06-30,42.11730906207431
2022-07-31,62.50830779524594
2022-08-31,43.20457038426018
2022-09-30,44.75511891081462
2022-10-31,40.085243783139425
2022-11-30,26.67032723907567
2022-12-31,40.55897959344577
2023-01-31,32.23618960177462
2023-02-28,53.06152468160096
2023-03-31,50.9024001840505
2023-04-30,40.51673688155161
2023-05-31,48.70502217887663
2023-06-30,57.76506481484657
2023-07-31,69.77537567981398
2023-08-31,58.336663980375334
2023-09-30,35.36836972753271
2023-10-31,35.39336119981619
2023-11-30,38.66614664382018
2023-12-31,26.942727792623906
2024-01-31,34.7893709347567
2024-02-29,36.82910920934666
2024-03-31,52.39522351503387
2024-04-30,48.71112830730712
2024-05-31,34.99041792741181
2024-06-30,68.56540010045799
2024-07-31,36.937132694457745
2024-08-31,34.0026116298708
2024-09-30,74.45607345837836
2024-10-31,37.64495743624894
2024-11-30,56.17364079706153
2024-12-31,30.561520362637616
2025-01-31,55.130845347017214
2025-02-28,49.323986734235405
2025-03-31,64.58965036248368
2025-04-30,47.68994551250523
2025-05-31,71.16584598914585
2025-06-30,115.11684554052523
2025-07-31,76.73470908793374
2025-08-31,43.383833535787055
2025-09-30,47.30495740345467
2025-10-31,57.74855148504037
2025-11-30,35.12589706165697
2025-12-31,53.47712191375415
