date,solar_austria
2018-01-31,32.31648265409116
2018-02-28,51.21075315680997
2018-03-31,85.18383416512965
2018-04-30,150.59275114788772
2018-05-31,162.06368592330907
2018-06-30,157.46869334596
2018-07-31,174.2017077494027
2018-08-31,157.06865594884755
2018-09-30,118.47876588593967
2018-10-31,79.79669700257956
2018-11-30,40.1079659777401
2018-12-31,25.19276452856658
2019-01-31,34.26375191331339
2019-02-28,69.95334246491628
2019-03-31,98.40614721119924
2019-04-30,128.19656477147038
2019-05-31,124.69117492270541
2019-06-30,197.9829665810031
2019-07-31,168.50233062912946
2019-08-31,142.5948964368458
2019-09-30,108.4235748584527
2019-10-31,75.23096427589604
2019-11-30,34.20349097679468
2019-12-31,29.515409163192263
2020-01-31,40.65508940361371
2020-02-29,57.245983620268916
2020-03-31,101.55654745445521
2020-04-30,164.2531637268581
2020-05-31,148.819606993056
2020-06-30,146.8262534890582
2020-07-31,177.43023089398955
2020-08-31,148.82627732363062
2020-09-30,112.48463805367307
2020-10-31,61.59257777605113
2020-11-30,43.821642441444354
2020-12-31,26.42449559931454
2021-01-31,35.495303499431564
2021-02-28,64.34428200431486
2021-03-31,99.8590095546651
2021-04-30,127.40188464531913
2021-05-31,143.21649320033185
2021-06-30,194.92295010378066
2021-07-31,168.644990963698
2021-08-31,133.7038161545833
2021-09-30,121.73119911175152
2021-10-31,81.42554304074777
2021-11-30,39.0106088269927
2021-12-31,28.29103530297961
2022-01-31,38.09463690765957
2022-02-28,60.70789873471308
2022-03-31,121.06979083375528
2022-04-30,123.73724908438822
2022-05-31,163.53650449100712
2022-06-30,182.8700544254766
2022-07-31,181.99531156633742
2022-08-31,149.3486279339702
2022-09-30,96.34351742473699
2022-10-31,75.3393355808617
2022-11-30,40.00189151725883
2022-12-31,27.700700504508603
2023-01-31,31.76196158267924
2023-02-28,58.2598079182999
2023-03-31,89.85877930703889
2023-04-30,103.83637480347349
2023-05-31,145.8998092967424
2023-06-30,176.63139645583624
2023-07-31,172.84710969735235
2023-08-31,141.09869996010144
2023-09-30,131.28742669383675
2023-10-31,79.88563072720072
2023-11-30,38.35006739031184
2023-12-31,27.621991301417783
2024-01-31,40.97503072747825
2024-02-29,54.4198056666518
2024-03-31,92.61990043081641
2024-04-30,129.89116389684042
2024-05-31,152.6612607670499
2024-06-30,159.78739233716215
2024-07-31,174.70923672204165
2024-08-31,157.1345365314287
2024-09-30,99.67259419940434
2024-10-31,67.58971775843081
2024-11-30,44.95117709117667
2024-12-31,31.082989051206933
2025-01-31,39.27472746464273
2025-02-28,59.29197443413484
2025-03-31,99.29237011780258
2025-04-30,140.28862430424377
2025-05-31,147.4055609069622
2025-06-30,196.00345644458787
2025-07-31,151.8316127440859
2025-08-31,159.28775024824074
2025-09-30,104.354395169869
2025-10-31,67.21429672331
2025-11-30,42.577688034883565
2025-12-31,34.938440404040406
