date;solar_bolivia
1/31/2018;167.3907283
2/28/2018;146.8280177
3/31/2018;156.8983578
4/30/2018;156.1790217
5/31/2018;145.5982368
6/30/2018;117.5611937
7/31/2018;145.2836364
8/31/2018;152.7412245
9/30/2018;174.1098509
10/31/2018;170.0435902
11/30/2018;159.8583406
12/31/2018;175.5116877
1/31/2019;176.5822445
2/28/2019;148.1374023
3/31/2019;159.5476227
4/30/2019;147.3783358
5/31/2019;138.5778529
6/30/2019;132.7328845
7/31/2019;137.8872646
8/31/2019;162.536337
9/30/2019;161.5110602
10/31/2019;182.4197439
11/30/2019;179.5521326
12/31/2019;168.4463733
1/31/2020;179.934722
2/29/2020;149.1805688
3/31/2020;172.477219
4/30/2020;158.0247155
5/31/2020;147.8608982
6/30/2020;122.8251765
7/31/2020;141.3335454
8/31/2020;155.1564887
9/30/2020;151.8573561
10/31/2020;178.8999304
11/30/2020;193.425531
12/31/2020;176.2004304
1/31/2021;168.5322363
2/28/2021;152.7725525
3/31/2021;159.5931387
4/30/2021;142.8379013
5/31/2021;138.6346075
6/30/2021;117.3956751
7/31/2021;151.353221
8/31/2021;158.3791237
9/30/2021;169.001848
10/31/2021;185.6727047
11/30/2021;160.3647526
12/31/2021;161.5608149
1/31/2022;186.2130638
2/28/2022;156.1073304
3/31/2022;160.8306375
4/30/2022;159.9474718
5/31/2022;141.0003926
6/30/2022;128.7534702
7/31/2022;145.612594
8/31/2022;154.5499757
9/30/2022;155.1666452
10/31/2022;179.3558754
11/30/2022;209.7813302
12/31/2022;177.611453
1/31/2023;183.7633639
2/28/2023;154.0350883
3/31/2023;163.0736117
4/30/2023;149.7632087
5/31/2023;124.4363759
6/30/2023;133.1008157
7/31/2023;143.2543748
8/31/2023;159.7811028
9/30/2023;168.7331723
10/31/2023;180.8853559
11/30/2023;173.7748794
12/31/2023;182.2642848
1/31/2024;183.3134524
2/29/2024;157.8896696
3/31/2024;171.5728757
4/30/2024;146.6542033
5/31/2024;132.638478
6/30/2024;133.3949263
7/31/2024;143.0172839
8/31/2024;139.8680808
9/30/2024;120.3823945
10/31/2024;163.1417601
11/30/2024;170.5719759
12/31/2024;182.1907014
1/31/2025;165.8200432
2/28/2025;162.682241
3/31/2025;147.6985605
4/30/2025;133.7096168
5/31/2025;139.2617515
6/30/2025;118.1559684
7/31/2025;149.3598224
8/31/2025;162.1079544
9/30/2025;170.2343573
10/31/2025;177.1130714
11/30/2025;175.4880771
12/31/2025;174.4868697
