date,precip_germany
2018-01-31,98.38455126787515
2018-02-28,18.703753037337012
2018-03-31,55.631271166454695
2018-04-30,44.5244191282609
2018-05-31,44.685338357349224
2018-06-30,44.12898598768962
2018-07-31,37.34323377173123
2018-08-31,37.615471611191424
2018-09-30,41.668378718145505
2018-10-31,29.696122019576865
2018-11-30,23.938021575599798
2018-12-31,97.65594627520522
2019-01-31,75.56567409861395
2019-02-28,29.461171719080518
2019-03-31,73.60006839434482
2019-04-30,32.38199264277078
2019-05-31,68.67949886647219
2019-06-30,55.68374583179078
2019-07-31,51.791317211376324
2019-08-31,59.68855948277624
2019-09-30,62.27881501555193
2019-10-31,80.86667867635352
2019-11-30,63.63794454476462
2019-12-31,56.794447756102606
2020-01-31,45.007888579896154
2020-02-29,115.37843899015182
2020-03-31,50.802602718867234
2020-04-30,16.335014141865127
2020-05-31,42.778518894193915
2020-06-30,90.79084683947119
2020-07-31,53.48882702559435
2020-08-31,84.76669725508366
2020-09-30,50.5480723125049
2020-10-31,78.78099169281124
2020-11-30,24.862718418350973
2020-12-31,68.22010592102835
2021-01-31,80.44360204989079
2021-02-28,51.08482683928028
2021-03-31,44.90380470203748
2021-04-30,37.66496269180145
2021-05-31,94.00207857556181
2021-06-30,86.29937734015125
2021-07-31,113.61086852543684
2021-08-31,97.16622552663755
2021-09-30,40.30471464518979
2021-10-31,46.117420385230446
2021-11-30,51.41556652010015
2021-12-31,66.37031234997026
2022-01-31,56.139712123535496
2022-02-28,78.86398103061549
2022-03-31,14.645435382198349
2022-04-30,57.80666418567839
2022-05-31,45.239275206032005
2022-06-30,52.67530302327357
2022-07-31,41.497300959891206
2022-08-31,51.78662515930846
2022-09-30,88.2249243325869
2022-10-31,50.17514497215545
2022-11-30,50.41959024328437
2022-12-31,67.9554256411268
2023-01-31,76.86176757714735
2023-02-28,43.84791281763551
2023-03-31,87.16173329190654
2023-04-30,62.70839685429098
2023-05-31,39.65401008908095
2023-06-30,54.421592678703675
2023-07-31,93.14024643712902
2023-08-31,113.99265361047578
2023-09-30,31.833472901900798
2023-10-31,105.00360567568922
2023-11-30,112.50808509121808
2023-12-31,113.8648757443771
2024-01-31,72.87974457062184
2024-02-29,87.67007174146607
2024-03-31,46.669086604366534
2024-04-30,72.46455959185673
2024-05-31,118.47286380496665
2024-06-30,98.64214267041314
2024-07-31,92.17767539591853
2024-08-31,61.20669007020405
2024-09-30,91.63516967426469
2024-10-31,68.04127924994054
2024-11-30,64.3216711008631
2024-12-31,54.76929773333942
2025-01-31,79.46348333835107
2025-02-28,25.81391244832202
2025-03-31,19.33931692606809
2025-04-30,33.30153129147659
2025-05-31,45.68818668096293
2025-06-30,61.92224997133024
2025-07-31,103.55974768256138
2025-08-31,45.00160485586623
2025-09-30,82.70771755755689
2025-10-31,79.97515413170213
2025-11-30,52.73060315748664
2025-12-31,25.445232600524655
