date,temp_costarica
2018-01-31,21.799152050996906
2018-02-28,22.18576218773003
2018-03-31,23.269042316420034
2018-04-30,23.75199324137942
2018-05-31,23.53539308051692
2018-06-30,23.158842799007537
2018-07-31,23.135532742705664
2018-08-31,23.132182782921287
2018-09-30,23.098892678360663
2018-10-31,22.422152855309413
2018-11-30,22.97893258184316
2018-12-31,22.439142075126277
2019-01-31,22.682442155557528
2019-02-28,23.685881898177524
2019-03-31,24.105881898177525
2019-04-30,24.67882284726629
2019-05-31,23.74544295987004
2019-06-30,23.905642477282537
2019-07-31,23.49882284726629
2019-08-31,23.50226258988629
2019-09-30,23.19223266227441
2019-10-31,22.639022364678784
2019-11-30,22.87882284726629
2019-12-31,22.972312469239412
2020-01-31,22.895772163600654
2020-02-29,23.418942557713784
2020-03-31,24.052322445110036
2020-04-30,24.378972485325658
2020-05-31,24.19889267836066
2020-06-30,23.285542718576284
2020-07-31,22.89886275074879
2020-08-31,23.058932581843163
2020-09-30,22.885632501411912
2020-10-31,22.795662429023785
2020-11-30,22.388882702490044
2020-12-31,22.105792115341906
2021-01-31,22.13905229229066
2021-02-28,22.939142075126277
2021-03-31,23.3657522118594
2021-04-30,23.652352372721904
2021-05-31,23.47216283118004
2021-06-30,23.192202734662537
2021-07-31,23.32546291161129
2021-08-31,22.802222686403788
2021-09-30,22.932212710533168
2021-10-31,23.032152855309413
2021-11-30,22.42212292769754
2021-12-31,22.63892260597253
2022-01-31,22.329012388808156
2022-02-28,22.899032340549407
2022-03-31,23.7692717614444
2022-04-30,23.868772967913166
2022-05-31,23.478852774878163
2022-06-30,22.435512790964417
2022-07-31,22.995492839223164
2022-08-31,22.89550281509379
2022-09-30,22.838922605972538
2022-10-31,22.66553274270566
2022-11-30,22.37218278292129
2022-12-31,22.22576218773003
2023-01-31,22.279132099255655
2023-02-28,22.865832018824403
2023-03-31,23.22910217164378
2023-04-30,24.31554271857629
2023-05-31,24.948922605972538
2023-06-30,24.088872726619414
2023-07-31,23.998782943783787
2023-08-31,24.04554271857629
2023-09-30,24.192142879438787
2023-10-31,23.542152855309414
2023-11-30,23.465502815093792
2023-12-31,23.455832018824402
2024-01-31,23.7025119866519
2024-02-29,23.7392318579619
2024-03-31,25.285662429023784
2024-04-30,24.922202734662534
2024-05-31,24.852043120732542
2024-06-30,23.785542718576284
2024-07-31,23.745542718576285
2024-08-31,23.735552694446913
2024-09-30,23.705702332506277
2024-10-31,23.385522766835035
2024-11-30,22.558922605972533
2024-12-31,22.702272565756907
2025-01-31,22.725642477282534
2025-02-28,23.162272565756908
2025-03-31,24.068892678360665
2025-04-30,24.085552694446914
2025-05-31,24.02880289552504
2025-06-30,23.42225261401566
2025-07-31,23.56218278292129
2025-08-31,23.488842799007536
2025-09-30,23.35216283118004
2025-10-31,22.808862750748787
2025-11-30,22.84891263010191
2025-12-31,22.475672404894414
