date,precip_austria
2018-01-31,98.28355706146564
2018-02-28,44.13214266102558
2018-03-31,60.277632402797934
2018-04-30,38.939366574947975
2018-05-31,103.69697002857058
2018-06-30,147.1687389000519
2018-07-31,92.20033622942472
2018-08-31,115.37984196990976
2018-09-30,108.05755807531185
2018-10-31,64.18561621745313
2018-11-30,36.54676135088359
2018-12-31,113.29621412184159
2019-01-31,114.3026241743554
2019-02-28,34.95627728864861
2019-03-31,66.87548855222795
2019-04-30,51.99434840395003
2019-05-31,168.7841233542861
2019-06-30,64.1534882008316
2019-07-31,109.47691187549538
2019-08-31,109.13146629391014
2019-09-30,96.2648072562889
2019-10-31,68.94532927543479
2019-11-30,97.39323887609135
2019-12-31,71.80808114276502
2020-01-31,30.529391983239766
2020-02-29,93.3600321218468
2020-03-31,50.44168372377854
2020-04-30,38.04999815893967
2020-05-31,112.36430160911989
2020-06-30,192.00038410031175
2020-07-31,154.9175995167774
2020-08-31,193.29692071341455
2020-09-30,134.9743868139812
2020-10-31,118.69332068130622
2020-11-30,22.471483968918918
2020-12-31,67.76111615650547
2021-01-31,77.38753759584365
2021-02-28,33.90612401673597
2021-03-31,48.14500567953737
2021-04-30,50.5086926718295
2021-05-31,140.82332951922547
2021-06-30,88.17986958747396
2021-07-31,163.65470355508646
2021-08-31,180.77485271950783
2021-09-30,55.31655227723484
2021-10-31,34.548290981417146
2021-11-30,73.37632572614338
2021-12-31,71.71001263352733
2022-01-31,43.684651746524565
2022-02-28,59.663923882730344
2022-03-31,15.763024901368674
2022-04-30,70.5318641601351
2022-05-31,102.97094676734051
2022-06-30,150.40234992219328
2022-07-31,115.27385032024766
2022-08-31,128.08544178597708
2022-09-30,121.70987924672548
2022-10-31,66.99017695263157
2022-11-30,64.95592253430348
2022-12-31,54.331218554676
2023-01-31,52.067038294017635
2023-02-28,51.90281543092859
2023-03-31,65.44833015645173
2023-04-30,132.76580546314963
2023-05-31,121.86798506135813
2023-06-30,86.82519112962572
2023-07-31,148.0397218681512
2023-08-31,193.0229414534891
2023-09-30,43.1061164255197
2023-10-31,67.75013018638072
2023-11-30,142.63725884022855
2023-12-31,133.44555554322235
2024-01-31,68.26697130302318
2024-02-29,51.3169651846552
2024-03-31,63.5570344984095
2024-04-30,75.38698421985438
2024-05-31,141.38353935787754
2024-06-30,172.62449261179808
2024-07-31,129.7791366250397
2024-08-31,110.16943367942986
2024-09-30,240.20437692775465
2024-10-31,75.63255718336094
2024-11-30,26.581616449480244
2024-12-31,50.65144102685547
2025-01-31,37.485623808669395
2025-02-28,18.52418510457378
2025-03-31,84.29485019835234
2025-04-30,49.022672384875214
2025-05-31,106.71234354910068
2025-06-30,109.0265771189189
2025-07-31,198.04261658313905
2025-08-31,91.87248260115025
2025-09-30,109.58773287499993
2025-10-31,70.60736316436763
2025-11-30,65.43502023903322
2025-12-31,22.808430033466728
