date;humidity_ethiopia
1/31/2018;42.32424506
2/28/2018;44.16160708
3/31/2018;46.17334978
4/30/2018;62.84845902
5/31/2018;65.08196215
6/30/2018;66.4368563
7/31/2018;66.90544593
8/31/2018;66.3067708
9/30/2018;61.23957583
10/31/2018;62.30472769
11/30/2018;59.24170983
12/31/2018;51.8901506
1/31/2019;37.14277779
2/28/2019;42.30945926
3/31/2019;43.25172523
4/30/2019;54.01192687
5/31/2019;57.25768912
6/30/2019;64.67197978
7/31/2019;64.07460894
8/31/2019;65.26901783
9/30/2019;65.69770537
10/31/2019;72.03960786
11/30/2019;70.07461918
12/31/2019;63.42966703
1/31/2020;55.82347487
2/29/2020;48.27251837
3/31/2020;48.90116996
4/30/2020;60.17558716
5/31/2020;69.89012846
6/30/2020;68.29337343
7/31/2020;70.65880256
8/31/2020;72.1447153
9/30/2020;69.1137256
10/31/2020;64.17349444
11/30/2020;60.87221774
12/31/2020;52.92909009
1/31/2021;49.58372392
2/28/2021;45.85821828
3/31/2021;39.42953902
4/30/2021;51.87470501
5/31/2021;66.83731292
6/30/2021;63.76188613
7/31/2021;71.92533672
8/31/2021;69.91522289
9/30/2021;67.97525234
10/31/2021;63.71433915
11/30/2021;56.00882401
12/31/2021;58.45291093
1/31/2022;55.06868681
2/28/2022;46.24656301
3/31/2022;42.57096338
4/30/2022;55.54598732
5/31/2022;59.66533107
6/30/2022;64.33428441
7/31/2022;70.53670722
8/31/2022;71.90849639
9/30/2022;66.84793995
10/31/2022;65.01192497
11/30/2022;57.34796238
12/31/2022;53.3319997
1/31/2023;45.58613551
2/28/2023;36.766498
3/31/2023;52.84419839
4/30/2023;64.01524873
5/31/2023;70.03683686
6/30/2023;70.97525985
7/31/2023;69.89184904
8/31/2023;67.39589153
9/30/2023;63.65840421
10/31/2023;69.02418646
11/30/2023;75.43352953
12/31/2023;64.97583738
1/31/2024;56.45726655
2/29/2024;52.04265544
3/31/2024;49.27603187
4/30/2024;60.0818705
5/31/2024;64.56067486
6/30/2024;65.6493
7/31/2024;70.35742994
8/31/2024;73.16483294
9/30/2024;66.17239432
10/31/2024;68.23681208
11/30/2024;63.05853527
12/31/2024;49.49335967
1/31/2025;43.67692308
2/28/2025;39.82856176
3/31/2025;49.09831562
4/30/2025;54.83132302
5/31/2025;62.31449521
6/30/2025;58.56396821
7/31/2025;65.39130263
8/31/2025;70.7388602
9/30/2025;67.00169826
10/31/2025;66.21681279
11/30/2025;54.69150654
12/31/2025;54.30402676
