date,humidity_romania
2018-01-31,90.7166140952268
2018-02-28,89.05838748629506
2018-03-31,89.05731970502721
2018-04-30,75.71312220665081
2018-05-31,70.20994566598469
2018-06-30,73.10198813613074
2018-07-31,75.67332778358276
2018-08-31,62.88535359950035
2018-09-30,63.49357315016638
2018-10-31,67.66638011987584
2018-11-30,82.02027311322506
2018-12-31,91.27719762775561
2019-01-31,93.45520944882925
2019-02-28,84.74509445767134
2019-03-31,75.29254674014682
2019-04-30,73.58453814163278
2019-05-31,77.29341587523288
2019-06-30,71.823103417915
2019-07-31,61.58779004191559
2019-08-31,55.344709569626865
2019-09-30,54.854087020533534
2019-10-31,67.36326900559217
2019-11-30,86.19878201712054
2019-12-31,86.34548215439038
2020-01-31,83.76754970041338
2020-02-29,80.84957672366288
2020-03-31,75.34162541006977
2020-04-30,58.941359291453075
2020-05-31,69.6328195081353
2020-06-30,74.70263130519385
2020-07-31,68.00447841555227
2020-08-31,61.02853238530102
2020-09-30,62.83398061530073
2020-10-31,81.8003456812967
2020-11-30,85.41125681785286
2020-12-31,93.27457806255374
2021-01-31,91.92202867124838
2021-02-28,87.4284630885571
2021-03-31,81.6067115950874
2021-04-30,78.27356108203105
2021-05-31,75.03174466099509
2021-06-30,72.78284326557025
2021-07-31,63.04096463151432
2021-08-31,58.1260611208475
2021-09-30,62.96154468584684
2021-10-31,71.13764689444983
2021-11-30,83.23269698659226
2021-12-31,91.12538084736958
2022-01-31,86.95926397850185
2022-02-28,83.6386866903615
2022-03-31,71.77493644068564
2022-04-30,73.22954049790589
2022-05-31,63.40660956078889
2022-06-30,58.36638736606252
2022-07-31,49.71496573084316
2022-08-31,61.033479181606154
2022-09-30,73.90528735357526
2022-10-31,74.97141100682079
2022-11-30,86.20529050376692
2022-12-31,89.94801472818702
2023-01-31,91.0704700914653
2023-02-28,87.34979557850438
2023-03-31,78.81975943842312
2023-04-30,80.18204501824086
2023-05-31,73.51034290371364
2023-06-30,71.77809253122913
2023-07-31,64.07163216403025
2023-08-31,58.26987890597481
2023-09-30,61.17147631185019
2023-10-31,64.39719613135229
2023-11-30,84.45041744768866
2023-12-31,89.77581321210434
2024-01-31,86.79563618390058
2024-02-29,84.14074696119802
2024-03-31,79.13164692800869
2024-04-30,69.17914905035163
2024-05-31,66.50578678398831
2024-06-30,61.126370788554254
2024-07-31,52.88345845940899
2024-08-31,49.18882297582813
2024-09-30,60.67959426633181
2024-10-31,71.23948292462839
2024-11-30,79.33487865786921
2024-12-31,90.43147935698923
2025-01-31,86.58950225556428
2025-02-28,79.7668152417587
2025-03-31,73.3669972040548
2025-04-30,69.88460776233748
2025-05-31,71.78124792552862
2025-06-30,56.606319600648725
2025-07-31,53.66485661720131
2025-08-31,50.29951697057447
2025-09-30,60.67038723881096
2025-10-31,79.42585098346987
2025-11-30,88.95803069014386
2025-12-31,89.01666749655713
