date,temp_angola
2018-01-31,23.06040507050929
2018-02-28,23.242682887351137
2018-03-31,22.51165809948572
2018-04-30,21.94388779030644
2018-05-31,21.550885231013716
2018-06-30,19.62816719753343
2018-07-31,20.102523622379895
2018-08-31,23.23008681246235
2018-09-30,24.374847750305268
2018-10-31,25.05612689922886
2018-11-30,25.270489807494215
2018-12-31,24.45108217806332
2019-01-31,23.551597189035885
2019-02-28,24.379596638317228
2019-03-31,25.546139024304118
2019-04-30,25.64515795726029
2019-05-31,24.48840657927995
2019-06-30,20.91257524008493
2019-07-31,20.799464021240755
2019-08-31,23.257718198213308
2019-09-30,25.20730214773686
2019-10-31,25.78851598448529
2019-11-30,25.19315545634178
2019-12-31,24.384683235044736
2020-01-31,23.814826756180093
2020-02-29,23.665883097775833
2020-03-31,22.99378532760032
2020-04-30,22.06757331477355
2020-05-31,20.465892912364662
2020-06-30,18.6601165069661
2020-07-31,18.663283504024317
2020-08-31,22.051764512305187
2020-09-30,24.729896435560622
2020-10-31,26.50291850715262
2020-11-30,24.792008677963963
2020-12-31,23.521177020691447
2021-01-31,23.168154999369843
2021-02-28,22.899395786176008
2021-03-31,22.917085459143287
2021-04-30,22.33403604422834
2021-05-31,20.966970752396904
2021-06-30,20.013762395302766
2021-07-31,19.75084601767157
2021-08-31,22.884922827937928
2021-09-30,25.554329072204194
2021-10-31,25.943460926701643
2021-11-30,25.14866163449633
2021-12-31,24.521405859936866
2022-01-31,23.205674844440455
2022-02-28,23.228318050234535
2022-03-31,22.87302893071273
2022-04-30,22.261546346607624
2022-05-31,21.22970274643734
2022-06-30,19.728621635640245
2022-07-31,20.73398889838509
2022-08-31,22.411450373827414
2022-09-30,25.069279294815104
2022-10-31,26.3692487619867
2022-11-30,24.762393648357808
2022-12-31,24.524380464508322
2023-01-31,22.84101893937234
2023-02-28,24.193928090141636
2023-03-31,23.896318217383655
2023-04-30,23.61137206497092
2023-05-31,23.523632013273517
2023-06-30,21.92348255714067
2023-07-31,21.239152620518176
2023-08-31,23.360214967874168
2023-09-30,26.03198773991759
2023-10-31,27.361313048711345
2023-11-30,25.97428502024609
2023-12-31,25.219298791939448
2024-01-31,25.2708823667786
2024-02-29,26.55276762974301
2024-03-31,26.369632268103945
2024-04-30,24.64093811901428
2024-05-31,23.709784136833147
2024-06-30,21.493159794880466
2024-07-31,21.320934546278814
2024-08-31,23.115964491185405
2024-09-30,26.481929145677572
2024-10-31,27.20207082048295
2024-11-30,26.055574631643648
2024-12-31,25.916523143686845
2025-01-31,24.82438771697008
2025-02-28,23.785297956542852
2025-03-31,24.10569506579673
2025-04-30,23.509569957529635
2025-05-31,22.810319199408
2025-06-30,21.64270694161157
2025-07-31,20.84602554728437
2025-08-31,22.147879126122763
2025-09-30,25.732708077478847
2025-10-31,27.025606134307754
2025-11-30,26.076114369808476
2025-12-31,25.008491767607236
