date;solar_venezuela
1/31/2018;162.1413844
2/28/2018;156.3026905
3/31/2018;172.881855
4/30/2018;148.4265743
5/31/2018;148.885937
6/30/2018;141.2838122
7/31/2018;151.1235935
8/31/2018;170.7123335
9/30/2018;162.7354067
10/31/2018;166.545777
11/30/2018;148.2669782
12/31/2018;165.3042986
1/31/2019;162.6220695
2/28/2019;156.7418396
3/31/2019;168.5646421
4/30/2019;154.6126099
5/31/2019;150.2149804
6/30/2019;145.6499613
7/31/2019;159.5359147
8/31/2019;165.2922777
9/30/2019;165.8538211
10/31/2019;166.072851
11/30/2019;148.7187537
12/31/2019;149.6402338
1/31/2020;169.9190008
2/29/2020;168.8321411
3/31/2020;178.2534241
4/30/2020;162.7822395
5/31/2020;155.6287652
6/30/2020;148.9177002
7/31/2020;155.6293466
8/31/2020;154.3284064
9/30/2020;169.8561201
10/31/2020;169.7071164
11/30/2020;139.6951012
12/31/2020;151.9753337
1/31/2021;157.4113409
2/28/2021;149.7600837
3/31/2021;160.6232557
4/30/2021;152.7064649
5/31/2021;151.0528929
6/30/2021;146.5378259
7/31/2021;149.9710462
8/31/2021;157.6662046
9/30/2021;170.4587316
10/31/2021;162.6239484
11/30/2021;154.7683526
12/31/2021;144.9767566
1/31/2022;170.1711334
2/28/2022;143.5089005
3/31/2022;160.7704452
4/30/2022;151.3353467
5/31/2022;151.6859804
6/30/2022;136.0135766
7/31/2022;154.1821208
8/31/2022;158.4837488
9/30/2022;162.1096012
10/31/2022;156.1485062
11/30/2022;134.0122517
12/31/2022;154.6350254
1/31/2023;152.3357461
2/28/2023;143.9179754
3/31/2023;170.7391192
4/30/2023;148.7337543
5/31/2023;153.5697946
6/30/2023;142.462828
7/31/2023;153.3964017
8/31/2023;176.6727016
9/30/2023;174.9940826
10/31/2023;167.3548085
11/30/2023;151.4237586
12/31/2023;150.8831673
1/31/2024;174.6974055
2/29/2024;161.5309211
3/31/2024;171.5583342
4/30/2024;155.8422278
5/31/2024;143.9472128
6/30/2024;138.1912551
7/31/2024;145.8251984
8/31/2024;168.2023413
9/30/2024;162.3282957
10/31/2024;170.6287234
11/30/2024;148.071889
12/31/2024;152.4937443
1/31/2025;164.4469663
2/28/2025;147.4300689
3/31/2025;173.8666352
4/30/2025;143.2351745
5/31/2025;142.855502
6/30/2025;137.2347026
7/31/2025;150.4715545
8/31/2025;161.1503728
9/30/2025;165.7952349
10/31/2025;162.6769643
11/30/2025;143.189873
12/31/2025;152.78440089153702
