date,solar_poland
2018-01-31,19.369617466696706
2018-02-28,40.87957789066157
2018-03-31,76.7728036733839
2018-04-30,137.85840247978328
2018-05-31,195.94894813490217
2018-06-30,174.16554807046674
2018-07-31,165.03627076388418
2018-08-31,149.2916470466409
2018-09-30,104.29959830792399
2018-10-31,64.24107962236536
2018-11-30,25.606431776604293
2018-12-31,12.833090621471639
2019-01-31,19.823801707202918
2019-02-28,42.975625147465564
2019-03-31,77.84407867216854
2019-04-30,144.56583281729385
2019-05-31,140.65776748130313
2019-06-30,203.59396185402346
2019-07-31,161.96711884330736
2019-08-31,145.70245939298945
2019-09-30,93.42899106520261
2019-10-31,57.7322637047436
2019-11-30,21.723777100512013
2019-12-31,16.13744099743855
2020-01-31,20.659294669183023
2020-02-29,39.188684560535464
2020-03-31,92.24249091594008
2020-04-30,148.68177665463554
2020-05-31,158.7818519935913
2020-06-30,159.61813770850387
2020-07-31,167.21117346475756
2020-08-31,148.06683622070148
2020-09-30,100.72706076647187
2020-10-31,46.57248724556275
2020-11-30,21.676527379726984
2020-12-31,14.80486783560669
2021-01-31,18.561833311460184
2021-02-28,43.309818054267936
2021-03-31,77.14024721948374
2021-04-30,114.22108837209387
2021-05-31,150.94469219107285
2021-06-30,192.7326371059204
2021-07-31,160.85676592328767
2021-08-31,120.14236705728047
2021-09-30,96.28749222977255
2021-10-31,63.40282754296389
2021-11-30,21.84745522322552
2021-12-31,14.811789901366598
2022-01-31,20.123443477348182
2022-02-28,40.350343080976565
2022-03-31,106.91961179879468
2022-04-30,115.53953954137599
2022-05-31,166.1627695577147
2022-06-30,180.92584677421257
2022-07-31,166.3196465583327
2022-08-31,148.09569572275316
2022-09-30,93.31061724919975
2022-10-31,60.05139486598837
2022-11-30,23.18234972275626
2022-12-31,13.835957926446387
2023-01-31,16.977088472980256
2023-02-28,37.65392400713799
2023-03-31,73.40017479893055
2023-04-30,110.86518288344102
2023-05-31,180.3185743319908
2023-06-30,178.61175555875298
2023-07-31,166.83021261675236
2023-08-31,131.76759593612775
2023-09-30,115.39359414394607
2023-10-31,51.58851752250971
2023-11-30,24.165378573091665
2023-12-31,13.929821518363328
2024-01-31,21.243926798956366
2024-02-29,34.43129115449599
2024-03-31,76.65510654515784
2024-04-30,111.59472974421078
2024-05-31,190.6328460301199
2024-06-30,168.4477214394377
2024-07-31,170.67744047127624
2024-08-31,149.5937615767734
2024-09-30,105.90056395993496
2024-10-31,57.725033301678195
2024-11-30,22.915791603043193
2024-12-31,15.622395596546232
2025-01-31,21.11766574546797
2025-02-28,42.41003569185138
2025-03-31,92.43194723062368
2025-04-30,139.54045020898408
2025-05-31,157.6727539464838
2025-06-30,170.3730660111638
2025-07-31,150.21968828484296
2025-08-31,145.4941366393161
2025-09-30,97.49853532915826
2025-10-31,52.77336404125583
2025-11-30,24.47288064500193
2025-12-31,17.24031264607046
