date,solar_cameroon
2018-01-31,180.61306425772258
2018-02-28,145.2484171589738
2018-03-31,165.65643133183255
2018-04-30,156.03853948673242
2018-05-31,158.26595712763358
2018-06-30,141.88937588000599
2018-07-31,131.50820231994297
2018-08-31,136.1315920718324
2018-09-30,146.8971796715919
2018-10-31,156.8039125425449
2018-11-30,156.00450011217023
2018-12-31,165.1359203086804
2019-01-31,165.56180957490167
2019-02-28,146.56049104280459
2019-03-31,174.06727751807085
2019-04-30,163.65084490966754
2019-05-31,159.04497513277636
2019-06-30,134.64821156246458
2019-07-31,129.53726446823376
2019-08-31,131.954466006092
2019-09-30,139.169306132028
2019-10-31,141.48669363686733
2019-11-30,154.05769261791028
2019-12-31,172.96637218125156
2020-01-31,178.51914575564973
2020-02-29,164.29079686949405
2020-03-31,165.71463336963907
2020-04-30,162.72560669284695
2020-05-31,163.6774719733391
2020-06-30,138.58038193789648
2020-07-31,128.60092894584582
2020-08-31,133.3440096354843
2020-09-30,130.37275854640973
2020-10-31,154.89449144741263
2020-11-30,162.75444660513747
2020-12-31,165.59455503852683
2021-01-31,173.17627143583968
2021-02-28,159.68171003504338
2021-03-31,164.0656800746822
2021-04-30,166.72827684689798
2021-05-31,160.0620068730307
2021-06-30,141.03663366924783
2021-07-31,126.87484078367272
2021-08-31,133.96085768736532
2021-09-30,141.5556682374834
2021-10-31,155.96818153979208
2021-11-30,153.9708133316279
2021-12-31,164.2028586360345
2022-01-31,170.92708552949244
2022-02-28,166.13360546007596
2022-03-31,167.66520476455182
2022-04-30,154.78038906717384
2022-05-31,157.8827577938387
2022-06-30,134.16448308112686
2022-07-31,124.68597904887632
2022-08-31,123.72708609687078
2022-09-30,136.0026522132452
2022-10-31,153.08125234473093
2022-11-30,164.33754008880936
2022-12-31,169.55201572886534
2023-01-31,171.6215090862731
2023-02-28,163.2928085909886
2023-03-31,163.78842419629459
2023-04-30,157.31583831166296
2023-05-31,160.0617794353239
2023-06-30,132.05443064504826
2023-07-31,135.94782128939235
2023-08-31,132.38096710029606
2023-09-30,141.802383698487
2023-10-31,154.83037667238975
2023-11-30,139.95432208632286
2023-12-31,170.57972637293162
2024-01-31,184.54630284289794
2024-02-29,161.45295133365
2024-03-31,169.61126368656045
2024-04-30,159.90054336721312
2024-05-31,162.3097793905828
2024-06-30,137.15022391748883
2024-07-31,123.01160448460828
2024-08-31,115.3204871029487
2024-09-30,133.4897032060365
2024-10-31,147.2638902379381
2024-11-30,168.87217442462028
2024-12-31,173.15027345346317
2025-01-31,172.2827239682141
2025-02-28,150.18271589810902
2025-03-31,172.6137095786868
2025-04-30,155.11564039167567
2025-05-31,161.92586843356017
2025-06-30,142.48429725347313
2025-07-31,118.97925201175485
2025-08-31,121.01119471599259
2025-09-30,134.47635752924035
2025-10-31,145.6541680089179
2025-11-30,155.88082535095123
2025-12-31,174.07352538736913
