date;solar_kenya
1/31/2018;201.4373867
2/28/2018;188.0805239
3/31/2018;171.5133688
4/30/2018;157.0886456
5/31/2018;176.7960872
6/30/2018;150.805428
7/31/2018;158.6958233
8/31/2018;171.5316953
9/30/2018;190.7398614
10/31/2018;184.7079844
11/30/2018;176.8538382
12/31/2018;180.0208543
1/31/2019;200.7076058
2/28/2019;188.959643
3/31/2019;215.4349518
4/30/2019;189.3815901
5/31/2019;175.6564474
6/30/2019;148.3991821
7/31/2019;164.2905774
8/31/2019;175.3749711
9/30/2019;184.3709342
10/31/2019;174.0934917
11/30/2019;170.1309823
12/31/2019;175.3318682
1/31/2020;180.3446329
2/29/2020;185.5073719
3/31/2020;183.8051718
4/30/2020;167.5750663
5/31/2020;183.8094861
6/30/2020;158.4337627
7/31/2020;153.7308563
8/31/2020;166.9195057
9/30/2020;177.550642
10/31/2020;184.2629317
11/30/2020;172.4886068
12/31/2020;190.2141299
1/31/2021;193.3082791
2/28/2021;176.2976465
3/31/2021;208.3016449
4/30/2021;177.1674699
5/31/2021;170.8877294
6/30/2021;159.7947421
7/31/2021;145.550982
8/31/2021;180.4676619
9/30/2021;176.6380918
10/31/2021;189.1415017
11/30/2021;177.4285326
12/31/2021;172.6671695
1/31/2022;195.452196
2/28/2022;180.4684781
3/31/2022;209.4730907
4/30/2022;174.9201522
5/31/2022;176.9215119
6/30/2022;158.3605035
7/31/2022;154.616472
8/31/2022;163.3017488
9/30/2022;178.8586866
10/31/2022;190.0379812
11/30/2022;158.2456987
12/31/2022;175.8225144
1/31/2023;202.9502291
2/28/2023;193.5324478
3/31/2023;186.4252387
4/30/2023;166.1819854
5/31/2023;179.4998997
6/30/2023;159.4020468
7/31/2023;159.2276902
8/31/2023;179.0419338
9/30/2023;181.6877012
10/31/2023;182.7713004
11/30/2023;154.5743969
12/31/2023;183.2243985
1/31/2024;182.7941309
2/29/2024;182.5087858
3/31/2024;203.463959
4/30/2024;165.0332015
5/31/2024;176.0726597
6/30/2024;166.6379661
7/31/2024;150.0093922
8/31/2024;160.0627789
9/30/2024;186.8364651
10/31/2024;190.540504
11/30/2024;159.8494468
12/31/2024;184.8412286
1/31/2025;196.2861715
2/28/2025;196.7519047
3/31/2025;186.4094539
4/30/2025;172.3643819
5/31/2025;174.4925033
6/30/2025;157.5102595
7/31/2025;152.8848336
8/31/2025;156.1308219
9/30/2025;191.7407363
10/31/2025;179.8891305
11/30/2025;174.7775014
12/31/2025;173.8625229
