date,value
2019-01-31,7.454441244239631
2019-02-28,8.012506377551022
2019-03-31,13.100345622119814
2019-04-30,20.28065476190476
2019-05-31,23.647379032258065
2019-06-30,26.713261904761904
2019-07-31,28.076981566820272
2019-08-31,25.683139400921657
2019-09-30,23.933970238095238
2019-10-31,18.741849078341016
2019-11-30,11.790113095238096
2019-12-31,8.147298387096773
2020-01-31,5.300351382488479
2020-02-29,9.83519088669951
2020-03-31,12.963006912442397
2020-04-30,18.95525595238095
2020-05-31,23.659228110599077
2020-06-30,26.361583333333332
2020-07-31,27.081693548387097
2020-08-31,25.858761520737325
2020-09-30,22.141613095238096
2020-10-31,17.385535714285716
2020-11-30,11.58220238095238
2020-12-31,6.8783755760368654
2021-01-31,6.497569124423964
2021-02-28,11.630905612244899
2021-03-31,15.80389400921659
2021-04-30,19.95017261904762
2021-05-31,24.171382488479264
2021-06-30,26.89459523809524
2021-07-31,27.669648617511516
2021-08-31,25.52233870967742
2021-09-30,23.79104166666667
2021-10-31,17.598715437788016
2021-11-30,12.520470238095239
2021-12-31,9.002793778801843
2022-01-31,6.7025115207373265
2022-02-28,9.428698979591838
2022-03-31,16.73051843317972
2022-04-30,22.81942857142857
2022-05-31,25.178790322580646
2022-06-30,27.05126190476191
2022-07-31,26.637730414746546
2022-08-31,24.305691244239632
2022-09-30,22.87831547619048
2022-10-31,18.310092165898617
2022-11-30,13.482750000000001
2022-12-31,8.73036866359447
2023-01-31,5.037701612903225
2023-02-28,11.267595663265308
2023-03-31,15.931705069124423
2023-04-30,19.349845238095238
2023-05-31,23.26129608294931
2023-06-30,27.074202380952382
2023-07-31,26.848767281105992
2023-08-31,25.44091589861751
2023-09-30,23.175619047619044
2023-10-31,19.48349078341014
2023-11-30,14.875934523809523
2023-12-31,10.459585253456222
2024-01-31,9.192004608294932
2024-02-29,9.14600985221675
2024-03-31,13.556042626728111
2024-04-30,18.81649404761905
2024-05-31,24.760224654377883
2024-06-30,27.708125
2024-07-31,27.993110599078342
2024-08-31,25.91850806451613
2024-09-30,23.167595238095238
2024-10-31,20.11581221198157
2024-11-30,15.19039880952381
2024-12-31,7.60200460829493
2025-01-31,7.167718894009217
2025-02-28,10.249738520408162
2025-03-31,14.892471198156683
2025-04-30,22.49734523809524
2025-05-31,25.929959677419355
2025-06-30,27.21149404761905
2025-07-31,27.154936635944704
2025-08-31,25.724804147465438
2025-09-30,23.331803571428573
2025-10-31,18.949971198156682
2025-11-30,12.949428571428571
2025-12-31,10.17038594470046
2026-01-31,6.725305299539171
2026-02-28,-131.48336096938775
2026-03-31,-999.0
