date,solar_kazakhstan
2018-01-31,52.841421802630215
2018-02-28,71.30147662531678
2018-03-31,111.98077443087311
2018-04-30,153.22703175242782
2018-05-31,204.38080249344577
2018-06-30,211.08666847574983
2018-07-31,210.2653813130422
2018-08-31,177.43675347560801
2018-09-30,136.24350401201735
2018-10-31,85.41570605768533
2018-11-30,45.82647882836917
2018-12-31,37.21885168915445
2019-01-31,45.63628596230973
2019-02-28,73.05693335932705
2019-03-31,117.75985306428583
2019-04-30,145.5759013299742
2019-05-31,209.56752162732303
2019-06-30,205.52095923186317
2019-07-31,209.22405014228636
2019-08-31,179.4348242003394
2019-09-30,124.14915404443002
2019-10-31,91.75171184592233
2019-11-30,49.04909495087126
2019-12-31,33.574057444621694
2020-01-31,42.01835238532369
2020-02-29,69.95981467354567
2020-03-31,131.9856441723256
2020-04-30,151.47334374175068
2020-05-31,203.00860013347116
2020-06-30,214.28678515445208
2020-07-31,207.0067472225821
2020-08-31,175.2318581963594
2020-09-30,133.26392738933515
2020-10-31,91.30052560380845
2020-11-30,48.050577291456726
2020-12-31,40.67837544247986
2021-01-31,49.49785852402817
2021-02-28,66.64397410286401
2021-03-31,115.56518716792726
2021-04-30,161.71646424043502
2021-05-31,213.13738761601965
2021-06-30,213.13913739296927
2021-07-31,205.47232241034072
2021-08-31,183.61698820507712
2021-09-30,133.70627849126458
2021-10-31,86.54969160985048
2021-11-30,47.509016435852416
2021-12-31,33.12763147384752
2022-01-31,41.99928628464131
2022-02-28,72.31326720488593
2022-03-31,112.51374495672054
2022-04-30,155.4866467928506
2022-05-31,185.18016076654283
2022-06-30,210.94091422643768
2022-07-31,205.34692529418936
2022-08-31,187.4947586935686
2022-09-30,134.57785128978477
2022-10-31,86.62392037977922
2022-11-30,39.331982481124555
2022-12-31,42.580726102059884
2023-01-31,52.33660807749452
2023-02-28,69.60464140686642
2023-03-31,125.36659354814513
2023-04-30,162.69118026289223
2023-05-31,196.95633528998025
2023-06-30,211.33475318667712
2023-07-31,208.4540609408972
2023-08-31,171.4769710098173
2023-09-30,120.80470606758789
2023-10-31,80.15765026026608
2023-11-30,45.05085409431368
2023-12-31,33.1815115492469
2024-01-31,44.686810177428775
2024-02-29,75.86047618707633
2024-03-31,115.47810020051821
2024-04-30,160.8597294750284
2024-05-31,186.70121250367865
2024-06-30,204.14309871636266
2024-07-31,196.7530825192682
2024-08-31,172.12288263443344
2024-09-30,135.16446982610475
2024-10-31,77.647555551195
2024-11-30,44.53121738902766
2024-12-31,34.95470054972401
2025-01-31,45.733047178173514
2025-02-28,71.62139636886582
2025-03-31,120.63443075659023
2025-04-30,155.629382233044
2025-05-31,201.58129015387382
2025-06-30,193.58818288108043
2025-07-31,208.92523117914962
2025-08-31,178.16667460902156
2025-09-30,125.49711711248645
2025-10-31,92.05500912018043
2025-11-30,45.74020745238541
2025-12-31,32.94729715389673
