date,value
2019-01-31,12163.759999999998
2019-02-28,7933.66
2019-03-31,11186.119999999999
2019-04-30,9478.46
2019-05-31,8804.88
2019-06-30,7764.539999999999
2019-07-31,6193.34
2019-08-31,4746.700000000001
2019-09-30,4731.06
2019-10-31,7778.77
2019-11-30,9118.56
2019-12-31,9555.73
2020-01-31,9835.419999999998
2020-02-29,10903.9
2020-03-31,7194.549999999999
2020-04-30,7738.74
2020-05-31,8561.849999999999
2020-06-30,10423.06
2020-07-31,6617.089999999999
2020-08-31,6644.799999999999
2020-09-30,4974.7300000000005
2020-10-31,7015.539999999999
2020-11-30,6233.53
2020-12-31,9417.569999999998
2021-01-31,11838.55
2021-02-28,7080.119999999999
2021-03-31,9922.58
2021-04-30,7834.999999999999
2021-05-31,6037.650000000001
2021-06-30,5981.57
2021-07-31,4704.27
2021-08-31,5383.83
2021-09-30,6151.599999999999
2021-10-31,6923.66
2021-11-30,9224.8
2021-12-31,6094.700000000001
2022-01-31,9897.159999999998
2022-02-28,8057.349999999999
2022-03-31,11258.399999999998
2022-04-30,9219.929999999998
2022-05-31,5390.04
2022-06-30,5068.12
2022-07-31,6511.82
2022-08-31,5198.67
2022-09-30,6095.94
2022-10-31,6970.56
2022-11-30,6362.259999999999
2022-12-31,6540.76
2023-01-31,8904.74
2023-02-28,8163.69
2023-03-31,9383.06
2023-04-30,6851.039999999999
2023-05-31,7166.669999999999
2023-06-30,5723.32
2023-07-31,7074.899999999999
2023-08-31,6577.879999999999
2023-09-30,6912.03
2023-10-31,7343.4400000000005
2023-11-30,8749.0
2023-12-31,10904.309999999998
2024-01-31,7831.83
2024-02-29,9486.179999999998
2024-03-31,10041.73
2024-04-30,11553.039999999999
2024-05-31,6448.91
2024-06-30,7985.459999999998
2024-07-31,3223.9400000000005
2024-08-31,5995.92
2024-09-30,6539.44
2024-10-31,6815.000000000001
2024-11-30,9212.01
2024-12-31,8177.24
2025-01-31,8596.480000000001
2025-02-28,9197.9
2025-03-31,11886.529999999999
2025-04-30,7561.819999999999
2025-05-31,8444.759999999998
2025-06-30,12736.63
2025-07-31,5823.36
2025-08-31,6919.879999999998
2025-09-30,8088.669999999999
2025-10-31,7524.889999999999
2025-11-30,8425.119999999999
2025-12-31,10448.05
2026-01-31,7779.86
2026-02-28,-532780.61
2026-03-31,-269730.0
