date,temp_cameroon
2018-01-31,22.68386100431625
2018-02-28,25.74054014655581
2018-03-31,25.640183437816383
2018-04-30,25.54108066083509
2018-05-31,24.90663920208051
2018-06-30,24.198975807125937
2018-07-31,23.26099424329256
2018-08-31,22.905471379289345
2018-09-30,23.217957004766173
2018-10-31,23.69641745815131
2018-11-30,24.164578262499422
2018-12-31,23.464461689810673
2019-01-31,24.352119853275425
2019-02-28,25.18247446572592
2019-03-31,26.71594572082336
2019-04-30,26.77264809949192
2019-05-31,26.254408360145572
2019-06-30,24.88930697813264
2019-07-31,23.653013485024942
2019-08-31,22.894349606218462
2019-09-30,23.402962811723093
2019-10-31,23.044622932068222
2019-11-30,23.874668180576766
2019-12-31,23.437603114595962
2020-01-31,23.60284206155176
2020-02-29,25.8144080061833
2020-03-31,26.233893050113604
2020-04-30,25.665561191300068
2020-05-31,25.197417724621328
2020-06-30,24.362829610388022
2020-07-31,22.999524150504133
2020-08-31,22.906986272249853
2020-09-30,22.73054822016287
2020-10-31,23.31528779630892
2020-11-30,23.694290852827415
2020-12-31,24.05231297022113
2021-01-31,24.166198379830462
2021-02-28,24.825829682881032
2021-03-31,25.63563244985373
2021-04-30,25.676619191873453
2021-05-31,25.14936229407703
2021-06-30,24.408365092405635
2021-07-31,23.277269364368525
2021-08-31,23.16802040962319
2021-09-30,23.22894943610231
2021-10-31,23.93681989776204
2021-11-30,24.4078931538469
2021-12-31,24.28745365697555
2022-01-31,24.131232528087562
2022-02-28,25.18948437261724
2022-03-31,26.546375300764417
2022-04-30,26.00042942127001
2022-05-31,25.004410952057977
2022-06-30,24.03766794391808
2022-07-31,23.061441093037505
2022-08-31,22.5290050644863
2022-09-30,22.796231486368814
2022-10-31,23.158159429081746
2022-11-30,23.351279128372035
2022-12-31,22.72419112412432
2023-01-31,23.551690825789308
2023-02-28,24.871785167472662
2023-03-31,25.235700675867964
2023-04-30,25.86130039180094
2023-05-31,25.80658016968572
2023-06-30,24.050759312026173
2023-07-31,24.391360604158386
2023-08-31,23.87480963014997
2023-09-30,24.036592553134742
2023-10-31,24.827633823363907
2023-11-30,24.85913172705865
2023-12-31,24.652860243296022
2024-01-31,24.513341000078515
2024-02-29,27.183350870538057
2024-03-31,28.105306878319897
2024-04-30,27.25111340084109
2024-05-31,27.275328663281808
2024-06-30,25.673425009625916
2024-07-31,24.396840724098812
2024-08-31,23.828711207299605
2024-09-30,23.763240977322788
2024-10-31,23.902397796031252
2024-11-30,24.366924162309058
2024-12-31,25.21743767249324
2025-01-31,26.00916875788087
2025-02-28,27.84262828585806
2025-03-31,28.712372421759103
2025-04-30,27.932496074193207
2025-05-31,27.073482812251754
2025-06-30,25.537267609070692
2025-07-31,23.35692579048588
2025-08-31,23.2938844329595
2025-09-30,23.644977474837443
2025-10-31,23.655741143913247
2025-11-30,24.499332071170976
2025-12-31,25.290459680505588
