date,solar_romania
2018-01-31,41.666152973920234
2018-02-28,48.2788192447808
2018-03-31,84.42891456760758
2018-04-30,158.64780954491923
2018-05-31,188.87843924148243
2018-06-30,167.61576530142855
2018-07-31,171.0272686509469
2018-08-31,184.3251687587731
2018-09-30,125.56485032963143
2018-10-31,95.33015250096682
2018-11-30,43.43820996611332
2018-12-31,29.463215994567857
2019-01-31,35.65023800063937
2019-02-28,65.03452490620063
2019-03-31,118.14112611773639
2019-04-30,130.0105472351114
2019-05-31,148.9651654795311
2019-06-30,195.22550144217936
2019-07-31,189.35384112139525
2019-08-31,180.95078315562958
2019-09-30,127.81230246312926
2019-10-31,91.72144054602947
2019-11-30,40.33463672794089
2019-12-31,36.85106801932207
2020-01-31,47.44006909954523
2020-02-29,63.172363302240434
2020-03-31,103.80918136128587
2020-04-30,171.27257522960642
2020-05-31,157.40521993739569
2020-06-30,167.48400559084914
2020-07-31,188.98647133922097
2020-08-31,180.18357653831586
2020-09-30,132.47688804210046
2020-10-31,72.46422408395902
2020-11-30,43.0634064574455
2020-12-31,26.946427576709866
2021-01-31,36.235700411557374
2021-02-28,60.195844433064565
2021-03-31,102.73553260059259
2021-04-30,127.31714320686066
2021-05-31,170.98692783844558
2021-06-30,179.07019987790906
2021-07-31,198.89390954573759
2021-08-31,170.27448957476585
2021-09-30,122.14145135645745
2021-10-31,86.428982896945
2021-11-30,48.593443189987795
2021-12-31,27.26920929990312
2022-01-31,43.71126320641077
2022-02-28,64.26827599157333
2022-03-31,116.73677984751998
2022-04-30,128.5167691493293
2022-05-31,188.71048004254374
2022-06-30,198.13983736987944
2022-07-31,195.84247383615875
2022-08-31,161.8881782718262
2022-09-30,103.01525281698595
2022-10-31,91.83853352256936
2022-11-30,43.19157153146777
2022-12-31,33.39790197103485
2023-01-31,34.06037063744685
2023-02-28,61.235727601896855
2023-03-31,103.46225488836825
2023-04-30,111.2324117036105
2023-05-31,161.7598580897346
2023-06-30,169.04541456409797
2023-07-31,196.66295920941073
2023-08-31,174.2476549740278
2023-09-30,133.07759108651473
2023-10-31,89.54144191598436
2023-11-30,41.830724791594335
2023-12-31,33.55571256191151
2024-01-31,43.58682104053434
2024-02-29,61.34819711583556
2024-03-31,97.78989954299223
2024-04-30,145.18323012357172
2024-05-31,170.92644101388018
2024-06-30,199.1730172019143
2024-07-31,202.14157963728576
2024-08-31,169.75202854078253
2024-09-30,118.14830506901993
2024-10-31,90.43692911373279
2024-11-30,49.48460395907999
2024-12-31,29.447514147576356
2025-01-31,48.42493392473822
2025-02-28,67.55581930529478
2025-03-31,99.66809923014922
2025-04-30,139.06816296429278
2025-05-31,150.5720091390995
2025-06-30,213.1631698980808
2025-07-31,190.4013972251994
2025-08-31,181.8086361038186
2025-09-30,121.77190729345986
2025-10-31,70.45174624554825
2025-11-30,39.69350324904228
2025-12-31,31.027962033604336
