date;solar_mongolia
1/31/2018;59.35143513
2/28/2018;86.66715374
3/31/2018;136.1031374
4/30/2018;171.4011348
5/31/2018;218.1649489
6/30/2018;207.5234482
7/31/2018;191.7036443
8/31/2018;174.5345686
9/30/2018;142.6754468
10/31/2018;108.3681067
11/30/2018;65.45057125
12/31/2018;50.09783632
1/31/2019;60.00692406
2/28/2019;81.02750312
3/31/2019;140.4487185
4/30/2019;177.7661799
5/31/2019;207.9142402
6/30/2019;205.3377639
7/31/2019;193.977548
8/31/2019;178.0334033
9/30/2019;144.7076022
10/31/2019;107.5877562
11/30/2019;61.40433908
12/31/2019;48.10154667
1/31/2020;59.09716856
2/29/2020;87.47590559
3/31/2020;146.6323431
4/30/2020;193.7227509
5/31/2020;209.3699106
6/30/2020;206.5521724
7/31/2020;195.0418223
8/31/2020;168.6438444
9/30/2020;143.0674925
10/31/2020;104.3836334
11/30/2020;60.03026007
12/31/2020;51.89745006
1/31/2021;60.1901543
2/28/2021;85.29668274
3/31/2021;134.4062295
4/30/2021;172.3679145
5/31/2021;204.0860941
6/30/2021;208.1300533
7/31/2021;192.9810414
8/31/2021;165.0688787
9/30/2021;141.6049555
10/31/2021;105.4636065
11/30/2021;60.75438373
12/31/2021;48.58818877
1/31/2022;58.20327268
2/28/2022;84.89803428
3/31/2022;134.6262868
4/30/2022;173.4221437
5/31/2022;215.2343609
6/30/2022;211.1706455
7/31/2022;199.7813714
8/31/2022;180.6671872
9/30/2022;146.9545842
10/31/2022;104.1109208
11/30/2022;61.41400188
12/31/2022;49.1170431
1/31/2023;59.06155695
2/28/2023;86.55743972
3/31/2023;144.1021707
4/30/2023;172.5298757
5/31/2023;190.034575
6/30/2023;211.7227122
7/31/2023;197.2503212
8/31/2023;178.6891324
9/30/2023;134.2283134
10/31/2023;108.1075687
11/30/2023;61.01415263
12/31/2023;49.02012657
1/31/2024;62.02621998
2/29/2024;91.38308579
3/31/2024;146.2906173
4/30/2024;168.7448481
5/31/2024;209.6859738
6/30/2024;203.7475357
7/31/2024;190.7174012
8/31/2024;171.2002601
9/30/2024;134.1962105
10/31/2024;99.4681223
11/30/2024;62.37785598
12/31/2024;49.63209325
1/31/2025;60.00452041
2/28/2025;91.33349113
3/31/2025;139.2039863
4/30/2025;178.2298967
5/31/2025;200.95161
6/30/2025;202.0283981
7/31/2025;200.9759135
8/31/2025;177.238409
9/30/2025;137.6234095
10/31/2025;102.4433837
11/30/2025;62.10686086
12/31/2025;51.54471706
