date;precip_thailand
1/31/2018;44.56849254
2/28/2018;27.24085836
3/31/2018;45.13894643
4/30/2018;125.0331873
5/31/2018;195.0643654
6/30/2018;203.2864653
7/31/2018;283.3086276
8/31/2018;238.2714958
9/30/2018;204.4498448
10/31/2018;149.0550803
11/30/2018;63.57689609
12/31/2018;62.54504396
1/31/2019;29.42049502
2/28/2019;13.97155191
3/31/2019;22.69841503
4/30/2019;51.1694335
5/31/2019;164.9252942
6/30/2019;172.3598445
7/31/2019;177.0531925
8/31/2019;337.2701328
9/30/2019;257.5459782
10/31/2019;100.1181436
11/30/2019;52.21772991
12/31/2019;16.02013878
1/31/2020;3.823099925
2/29/2020;7.35331282
3/31/2020;31.15474455
4/30/2020;100.6659818
5/31/2020;150.627475
6/30/2020;233.4752591
7/31/2020;196.9915512
8/31/2020;291.1035456
9/30/2020;285.3686165
10/31/2020;302.6875558
11/30/2020;79.9298001
12/31/2020;66.75434793
1/31/2021;12.32969072
2/28/2021;21.4592334
3/31/2021;36.83247834
4/30/2021;199.3061994
5/31/2021;150.9383003
6/30/2021;167.5898951
7/31/2021;292.7617919
8/31/2021;236.9515567
9/30/2021;357.6538488
10/31/2021;239.5260352
11/30/2021;108.1018554
12/31/2021;25.51219931
1/31/2022;18.78937988
2/28/2022;104.4750901
3/31/2022;107.9919126
4/30/2022;109.0007298
5/31/2022;284.8722792
6/30/2022;146.9977336
7/31/2022;298.1355177
8/31/2022;326.1753361
9/30/2022;373.6341496
10/31/2022;199.6616636
11/30/2022;106.0943019
12/31/2022;69.83302149
1/31/2023;32.78627358
2/28/2023;20.73429865
3/31/2023;14.04274229
4/30/2023;42.16499017
5/31/2023;143.0374162
6/30/2023;172.878531
7/31/2023;232.0137379
8/31/2023;196.7017297
9/30/2023;362.6736508
10/31/2023;225.6708417
11/30/2023;90.53128383
12/31/2023;37.00211173
1/31/2024;13.43475253
2/29/2024;4.503283594
3/31/2024;41.79155042
4/30/2024;17.83356442
5/31/2024;217.7027403
6/30/2024;175.8504581
7/31/2024;266.9622339
8/31/2024;248.8779482
9/30/2024;316.0149854
10/31/2024;171.21402
11/30/2024;113.0996756
12/31/2024;52.17881389
1/31/2025;12.75943347
2/28/2025;28.70883795
3/31/2025;36.76166536
4/30/2025;104.6280458
5/31/2025;279.8870774
6/30/2025;178.7941758
7/31/2025;213.5827504
8/31/2025;239.2486253
9/30/2025;314.8301276
10/31/2025;154.4609657
11/30/2025;176.3276428
12/31/2025;28.69200126
