date,temp_chile
2018-01-31,12.764395003064738
2018-02-28,13.318727289244876
2018-03-31,10.930173224081198
2018-04-30,9.369545967927198
2018-05-31,7.189727543162746
2018-06-30,4.3529638308948275
2018-07-31,4.087541593149896
2018-08-31,5.722758168990345
2018-09-30,7.0890706365878975
2018-10-31,8.502745283294496
2018-11-30,10.4874370413741
2018-12-31,12.129647802623788
2019-01-31,12.400793015474198
2019-02-28,13.475338540244854
2019-03-31,11.713889879653467
2019-04-30,9.595315056639569
2019-05-31,7.100980523995957
2019-06-30,5.440285374931545
2019-07-31,5.2652725505280475
2019-08-31,6.056798850990653
2019-09-30,6.721416512643519
2019-10-31,8.411179529546203
2019-11-30,11.083368584136986
2019-12-31,12.409783160972522
2020-01-31,13.37732432186894
2020-02-29,13.370703566590198
2020-03-31,12.796275452816984
2020-04-30,10.31519826658929
2020-05-31,8.307579617599805
2020-06-30,4.5149088035144995
2020-07-31,3.467470643239274
2020-08-31,4.682963017733565
2020-09-30,6.834154837700882
2020-10-31,8.952926295783142
2020-11-30,10.812941935485549
2020-12-31,11.897365047395647
2021-01-31,12.487880755336732
2021-02-28,13.431261123199704
2021-03-31,11.898352075462617
2021-04-30,9.91694601204669
2021-05-31,7.368920002491493
2021-06-30,5.165589246715868
2021-07-31,5.623064061309692
2021-08-31,5.557679071828173
2021-09-30,7.367452117814566
2021-10-31,8.609996764063194
2021-11-30,10.550859134433592
2021-12-31,13.055779224461686
2022-01-31,12.842975275929774
2022-02-28,12.968952584601988
2022-03-31,11.084780655347032
2022-04-30,8.342404933393365
2022-05-31,6.6116599202772655
2022-06-30,4.292339574206427
2022-07-31,3.7605301275308674
2022-08-31,5.098829015130404
2022-09-30,5.971973970717927
2022-10-31,8.186725950553837
2022-11-30,11.893513686090673
2022-12-31,12.391922643762266
2023-01-31,13.40524019542839
2023-02-28,13.22415616269091
2023-03-31,11.663308277782816
2023-04-30,9.515783720584349
2023-05-31,7.937662331630375
2023-06-30,6.143737658494162
2023-07-31,5.148077501689944
2023-08-31,6.107697578565673
2023-09-30,6.634667640862693
2023-10-31,8.539610735887596
2023-11-30,9.707639222722438
2023-12-31,12.620970508924588
2024-01-31,14.441959220667833
2024-02-29,14.394504493011656
2024-03-31,12.118315092751185
2024-04-30,9.197218882359843
2024-05-31,5.308498222616533
2024-06-30,4.940838622934572
2024-07-31,4.63785841000761
2024-08-31,5.038104644539375
2024-09-30,6.762777333449127
2024-10-31,9.73446626400497
2024-11-30,10.813320807433684
2024-12-31,12.35593901878022
2025-01-31,13.550851437536991
2025-02-28,13.28890793381441
2025-03-31,11.559260132113103
2025-04-30,9.232103331602907
2025-05-31,7.432409396748147
2025-06-30,4.347418124491515
2025-07-31,5.586523862278688
2025-08-31,5.577087727441864
2025-09-30,7.4786661937597305
2025-10-31,8.802694313011555
2025-11-30,11.115842728783562
2025-12-31,11.818036478654047
