date,precip_sweden
2018-01-31,66.68553325182795
2018-02-28,31.535030258444944
2018-03-31,38.76983221053427
2018-04-30,46.114688902830494
2018-05-31,37.67707107902519
2018-06-30,73.29219843370826
2018-07-31,51.43547722834945
2018-08-31,115.60136761062287
2018-09-30,72.15866005099555
2018-10-31,65.04063344458216
2018-11-30,42.17640914126705
2018-12-31,68.76241300088542
2019-01-31,46.92806276089697
2019-02-28,58.569527082489216
2019-03-31,78.03083255381172
2019-04-30,17.34487039745793
2019-05-31,108.27286061773428
2019-06-30,98.39256004752409
2019-07-31,70.56987390015234
2019-08-31,99.20085029593163
2019-09-30,88.42634321487401
2019-10-31,85.29826078311287
2019-11-30,70.64452182251864
2019-12-31,80.32695007123738
2020-01-31,75.860700510103
2020-02-29,66.75324841105748
2020-03-31,56.378389330694354
2020-04-30,41.66746138126539
2020-05-31,50.86195801672979
2020-06-30,72.12329505993903
2020-07-31,153.1421227035722
2020-08-31,56.68181704225991
2020-09-30,82.51003853425759
2020-10-31,114.71803850406606
2020-11-30,73.46213685320166
2020-12-31,80.77221544856215
2021-01-31,64.77641731634826
2021-02-28,36.06060403903748
2021-03-31,46.98778656181601
2021-04-30,47.25923798904275
2021-05-31,92.67797565361766
2021-06-30,88.1532010969304
2021-07-31,79.34460779126107
2021-08-31,119.20410747770491
2021-09-30,85.64296143632443
2021-10-31,128.19569422519282
2021-11-30,57.99240494010396
2021-12-31,42.339888396425465
2022-01-31,61.73342579508604
2022-02-28,67.53016954865213
2022-03-31,27.156576634434764
2022-04-30,48.3050086745154
2022-05-31,69.75546320399663
2022-06-30,79.46692953112989
2022-07-31,108.13525810175541
2022-08-31,90.65054811342493
2022-09-30,74.62738753724464
2022-10-31,72.06359166127237
2022-11-30,54.436765915834265
2022-12-31,60.268498786921505
2023-01-31,87.0559657336253
2023-02-28,45.85291770572915
2023-03-31,67.25621628965906
2023-04-30,59.08690642954292
2023-05-31,48.48545931064868
2023-06-30,59.70407225712854
2023-07-31,130.660181369157
2023-08-31,169.63115672995286
2023-09-30,99.01661062131365
2023-10-31,76.26794000387947
2023-11-30,72.83319204536613
2023-12-31,58.62593184996231
2024-01-31,61.26115603853738
2024-02-29,63.05044342827176
2024-03-31,64.36177746351551
2024-04-30,72.787197518458
2024-05-31,37.316928915634335
2024-06-30,107.70105009574277
2024-07-31,156.26450390402724
2024-08-31,110.531983724181
2024-09-30,85.17341616349549
2024-10-31,89.71190865024879
2024-11-30,56.674080792206375
2024-12-31,72.15366452358671
2025-01-31,79.3755802604841
2025-02-28,31.566853779003004
2025-03-31,44.92088826420262
2025-04-30,43.324902230911526
2025-05-31,71.61682580691829
2025-06-30,106.53474496464919
2025-07-31,94.77821966849604
2025-08-31,78.60274756606943
2025-09-30,108.17578185908306
2025-10-31,110.59901036523668
2025-11-30,70.65957552494683
2025-12-31,75.59290804860268
